"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"JUEGOS PARA WEB Y REDES SOCIALES","Hristov Kalamov, Nikola","2025-09-01","2175038-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hristov Kalamov, Nikola (2025). JUEGOS PARA WEB Y REDES SOCIALES. Universdiad Rey Juan Carlos","2025-26_2175_2175038_nikola.hristov (Universidad Rey Juan Carlos)"
"JUEGOS PARA WEB Y REDES SOCIALES","Hristov Kalamov, Nikola","2025-09-01","2321042-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hristov Kalamov, Nikola (2025). JUEGOS PARA WEB Y REDES SOCIALES. Universdiad Rey Juan Carlos","2025-26_2321_2321042_nikola.hristov (Universidad Rey Juan Carlos)"
"DESARROLLO DE MINIJUEGOS EN REALIDAD VIRTUAL PARA LA CAPTURA Y TRATAMIENTO SEGURO DE DATOS DE PACIENTES PARKINSONIANOS MEDIANTE AES, CLASIFICADOS CON UNA RED NEURONAL FULLY CONNECTED","Palacios Alonso, Daniel (Tutor); Hristov Kalamov, Nikola (Cotutor)","2025-07-15","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Palacios Alonso, Daniel (Tutor); Hristov Kalamov, Nikola (Cotutor) (2025). DESARROLLO DE MINIJUEGOS EN REALIDAD VIRTUAL PARA LA CAPTURA Y TRATAMIENTO SEGURO DE DATOS DE PACIENTES PARKINSONIANOS MEDIANTE AES, CLASIFICADOS CON UNA RED NEURONAL FULLY CONNECTED.","-"
"UTILIZACIÓN DE UNA API PARA CONEXIÓN DE VIDEOJUEGOS Y SDK DE INVESTIGACIÓN","Palacios Alonso, Daniel (Tutor); Hristov Kalamov, Nikola (Cotutor)","2025-05-30","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Palacios Alonso, Daniel (Tutor); Hristov Kalamov, Nikola (Cotutor) (2025). UTILIZACIÓN DE UNA API PARA CONEXIÓN DE VIDEOJUEGOS Y SDK DE INVESTIGACIÓN.","-"
"DISEÑO ARTÍSTICO, CONCEPT ART Y UI PARA JUEGO ONLINE DE CARTAS POR TURNOS.","Hristov Kalamov, Nikola (Cotutor); Palacios Alonso, Daniel (Tutor)","2025-01-10","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Hristov Kalamov, Nikola (Cotutor); Palacios Alonso, Daniel (Tutor) (2025). DISEÑO ARTÍSTICO, CONCEPT ART Y UI PARA JUEGO ONLINE DE CARTAS POR TURNOS..","-"
"Generación de informes previos a la partida.","Hristov Kalamov, Nikola","2024-09-01","435506-4355","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hristov Kalamov, Nikola (2024). Generación de informes previos a la partida.. Universdiad Rey Juan Carlos","2024-25_4355_435506_nikola.hristov (Universidad Rey Juan Carlos)"
"Videojuegos electrónicos, escuela de valores","Hristov Kalamov, Nikola","2024-09-01","435501-4355","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hristov Kalamov, Nikola (2024). Videojuegos electrónicos, escuela de valores. Universdiad Rey Juan Carlos","2024-25_4355_435501_nikola.hristov (Universidad Rey Juan Carlos)"
"Uso de Discord y otras aplicaciones informáticas necesarias","Hristov Kalamov, Nikola","2024-09-01","435507-4355","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hristov Kalamov, Nikola (2024). Uso de Discord y otras aplicaciones informáticas necesarias. Universdiad Rey Juan Carlos","2024-25_4355_435507_nikola.hristov (Universidad Rey Juan Carlos)"
"Reglas y ""errores"" del juego dedicado.","Hristov Kalamov, Nikola","2024-09-01","435510-4355","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hristov Kalamov, Nikola (2024). Reglas y ""errores"" del juego dedicado.. Universdiad Rey Juan Carlos","2024-25_4355_435510_nikola.hristov (Universidad Rey Juan Carlos)"
"Ecosistema y legislación de los videojuegos electrónicos en España.","Hristov Kalamov, Nikola","2024-09-01","435502-4355","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Hristov Kalamov, Nikola (2024). Ecosistema y legislación de los videojuegos electrónicos en España.. Universdiad Rey Juan Carlos","2024-25_4355_435502_nikola.hristov (Universidad Rey Juan Carlos)"
