"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"REDES DE COMPUTADORES","Isasia Infante, Tomás","2025-09-01","2059018-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Isasia Infante, Tomás (2025). REDES DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2059_2059018_tomas.isasia (Universidad Rey Juan Carlos)"
"REDES DE COMPUTADORES","Isasia Infante, Tomás","2025-09-01","2073027-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Isasia Infante, Tomás (2025). REDES DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2073_2073027_tomas.isasia (Universidad Rey Juan Carlos)"
"PRINCIPIOS JURIDICOS BASICOS APLICADOS A LA CIBERSEGURIDAD","Isasia Infante, Tomás","2025-09-01","2285012-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Isasia Infante, Tomás (2025). PRINCIPIOS JURIDICOS BASICOS APLICADOS A LA CIBERSEGURIDAD. Universdiad Rey Juan Carlos","2025-26_2285_2285012_tomas.isasia (Universidad Rey Juan Carlos)"
"PRINCIPIOS JURIDICOS BASICOS: DEONTOLOGIA PROFESIONAL E IGUALDAD","Isasia Infante, Tomás","2025-09-01","2117009-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Isasia Infante, Tomás (2025). PRINCIPIOS JURIDICOS BASICOS: DEONTOLOGIA PROFESIONAL E IGUALDAD. Universdiad Rey Juan Carlos","2025-26_2117_2117009_tomas.isasia (Universidad Rey Juan Carlos)"
"REDES DE COMPUTADORES","Isasia Infante, Tomás","2025-09-01","2243021-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Isasia Infante, Tomás (2025). REDES DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2243_2243021_tomas.isasia (Universidad Rey Juan Carlos)"
"PRINCIPIOS JURIDICOS BASICOS, DEONTOLOGIA PROFESIONAL E IGUALDAD","Isasia Infante, Tomás","2025-09-01","2316007-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Isasia Infante, Tomás (2025). PRINCIPIOS JURIDICOS BASICOS, DEONTOLOGIA PROFESIONAL E IGUALDAD. Universdiad Rey Juan Carlos","2025-26_2316_2316007_tomas.isasia (Universidad Rey Juan Carlos)"
"PRINCIPIOS JURIDICOS BASICOS, DEONTOLOGIA PROFESIONAL E IGUALDAD","Isasia Infante, Tomás","2025-09-01","2114008-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Isasia Infante, Tomás (2025). PRINCIPIOS JURIDICOS BASICOS, DEONTOLOGIA PROFESIONAL E IGUALDAD. Universdiad Rey Juan Carlos","2025-26_2114_2114008_tomas.isasia (Universidad Rey Juan Carlos)"
"PENTESTING","Isasia Infante, Tomás","2025-09-01","2285034-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Isasia Infante, Tomás (2025). PENTESTING. Universdiad Rey Juan Carlos","2025-26_2285_2285034_tomas.isasia (Universidad Rey Juan Carlos)"
"PRINCIPIOS JURIDICOS BASICOS, DEONTOLOGIA PROFESIONAL E IGUALDAD","Isasia Infante, Tomás","2025-09-01","2061007-2061","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Isasia Infante, Tomás (2025). PRINCIPIOS JURIDICOS BASICOS, DEONTOLOGIA PROFESIONAL E IGUALDAD. Universdiad Rey Juan Carlos","2025-26_2061_2061007_tomas.isasia (Universidad Rey Juan Carlos)"
"SEGURIDAD INFORMATICA","Isasia Infante, Tomás","2025-09-01","2316044-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Isasia Infante, Tomás (2025). SEGURIDAD INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2316_2316044_tomas.isasia (Universidad Rey Juan Carlos)"
"PRINCIPIOS JURIDICOS BASICOS, DEONTOLOGIA PROFESIONAL E IGUALDAD","Isasia Infante, Tomás","2025-09-01","2315007-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Isasia Infante, Tomás (2025). PRINCIPIOS JURIDICOS BASICOS, DEONTOLOGIA PROFESIONAL E IGUALDAD. Universdiad Rey Juan Carlos","2025-26_2315_2315007_tomas.isasia (Universidad Rey Juan Carlos)"
"REDES DE COMPUTADORES","Isasia Infante, Tomás","2025-09-01","2269027-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Isasia Infante, Tomás (2025). REDES DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2269_2269027_tomas.isasia (Universidad Rey Juan Carlos)"
"SEGURIDAD INFORMATICA","Isasia Infante, Tomás","2025-09-01","2118043-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Isasia Infante, Tomás (2025). SEGURIDAD INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2118_2118043_tomas.isasia (Universidad Rey Juan Carlos)"
