"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"DESARROLLO DE JUEGOS CON INTELIGENCIA ARTIFICIAL","Karanik, Marcelo Javier","2025-09-01","2175024-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Karanik, Marcelo Javier (2025). DESARROLLO DE JUEGOS CON INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2175_2175024_marcelo.karanik (Universidad Rey Juan Carlos)"
"ALGORITMOS DE BUSQUEDA I","Karanik, Marcelo Javier","2025-09-01","2361015-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Karanik, Marcelo Javier (2025). ALGORITMOS DE BUSQUEDA I. Universdiad Rey Juan Carlos","2025-26_2361_2361015_marcelo.karanik (Universidad Rey Juan Carlos)"
"INGENIERIA DEL CONOCIMIENTO","Karanik, Marcelo Javier","2025-09-01","2034022-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Karanik, Marcelo Javier (2025). INGENIERIA DEL CONOCIMIENTO. Universdiad Rey Juan Carlos","2025-26_2034_2034022_marcelo.karanik (Universidad Rey Juan Carlos)"
"REPRESENTACION DE CONOCIMIENTO Y RAZONAMIENTO I","Karanik, Marcelo Javier","2025-09-01","2361025-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Karanik, Marcelo Javier (2025). REPRESENTACION DE CONOCIMIENTO Y RAZONAMIENTO I. Universdiad Rey Juan Carlos","2025-26_2361_2361025_marcelo.karanik (Universidad Rey Juan Carlos)"
"REPRESENTACION DE CONOCIMIENTO Y RAZONAMIENTO II","Karanik, Marcelo Javier","2025-09-01","2361027-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Karanik, Marcelo Javier (2025). REPRESENTACION DE CONOCIMIENTO Y RAZONAMIENTO II. Universdiad Rey Juan Carlos","2025-26_2361_2361027_marcelo.karanik (Universidad Rey Juan Carlos)"
"INGENIERIA DEL CONOCIMIENTO","Karanik, Marcelo Javier","2025-09-01","2118039-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Karanik, Marcelo Javier (2025). INGENIERIA DEL CONOCIMIENTO. Universdiad Rey Juan Carlos","2025-26_2118_2118039_marcelo.karanik (Universidad Rey Juan Carlos)"
"BÚSQUEDA Y OPTIMIZACIÓN","Karanik, Marcelo Javier","2025-09-01","635503-6355","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Karanik, Marcelo Javier (2025). BÚSQUEDA Y OPTIMIZACIÓN. Universdiad Rey Juan Carlos","2025-26_6355_635503_marcelo.karanik (Universidad Rey Juan Carlos)"
"INGENIERIA DEL CONOCIMIENTO","Karanik, Marcelo Javier","2025-09-01","2316037-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Karanik, Marcelo Javier (2025). INGENIERIA DEL CONOCIMIENTO. Universdiad Rey Juan Carlos","2025-26_2316_2316037_marcelo.karanik (Universidad Rey Juan Carlos)"
"LINKMYCITY: UNA APLICACIÓN DE VISUALIZACIÓN DE DATOS PARA LA GESTIÓN DE SISTEMAS DE TRANSPORTE COMPARTIDO","Fernández Gil, Alberto (Tutor); Karanik, Marcelo Javier (Cotutor)","2025-06-25","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Fernández Gil, Alberto (Tutor); Karanik, Marcelo Javier (Cotutor) (2025). LINKMYCITY: UNA APLICACIÓN DE VISUALIZACIÓN DE DATOS PARA LA GESTIÓN DE SISTEMAS DE TRANSPORTE COMPARTIDO.","-"
"INGENIERIA DEL CONOCIMIENTO","Karanik, Marcelo Javier","2024-09-01","2118039-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Karanik, Marcelo Javier (2024). INGENIERIA DEL CONOCIMIENTO. Universdiad Rey Juan Carlos","2024-25_2118_2118039_marcelo.karanik (Universidad Rey Juan Carlos)"
