"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"Estadística","Lancho Martín, María del Carmen","2025-09-01","2400006-2400","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lancho Martín, María del Carmen (2025). Estadística. Universdiad Rey Juan Carlos","2025-26_2400_2400006_carmen.lancho (Universidad Rey Juan Carlos)"
"ESTADISTICA","Lancho Martín, María del Carmen","2025-09-01","2122008-2122","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lancho Martín, María del Carmen (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2122_2122008_carmen.lancho (Universidad Rey Juan Carlos)"
"Visualización y Comunicación de Datos Deportivos","Lancho Martín, María del Carmen","2025-09-01","641210-6412","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lancho Martín, María del Carmen (2025). Visualización y Comunicación de Datos Deportivos. Universdiad Rey Juan Carlos","2025-26_6412_641210_carmen.lancho (Universidad Rey Juan Carlos)"
"MODELOS DE REGRESION","Lancho Martín, María del Carmen","2025-09-01","2360018-2360","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lancho Martín, María del Carmen (2025). MODELOS DE REGRESION. Universdiad Rey Juan Carlos","2025-26_2360_2360018_carmen.lancho (Universidad Rey Juan Carlos)"
"ESTADISTICA","Lancho Martín, María del Carmen","2025-09-01","2030008-2030","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lancho Martín, María del Carmen (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2030_2030008_carmen.lancho (Universidad Rey Juan Carlos)"
"Aprendizaje Automático","Lancho Martín, María del Carmen","2025-09-01","641209-6412","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lancho Martín, María del Carmen (2025). Aprendizaje Automático. Universdiad Rey Juan Carlos","2025-26_6412_641209_carmen.lancho (Universidad Rey Juan Carlos)"
"ESTADISTICA","Lancho Martín, María del Carmen","2025-09-01","2163020-2163","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lancho Martín, María del Carmen (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2163_2163020_carmen.lancho (Universidad Rey Juan Carlos)"
"Estadística (IM)","Lancho Martín, María del Carmen","2025-09-01","2419011-2419","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lancho Martín, María del Carmen (2025). Estadística (IM). Universdiad Rey Juan Carlos","2025-26_2419_2419011_carmen.lancho (Universidad Rey Juan Carlos)"
"APRENDIZAJE AUTOMATICO I","Lancho Martín, María del Carmen","2025-09-01","2360017-2360","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lancho Martín, María del Carmen (2025). APRENDIZAJE AUTOMATICO I. Universdiad Rey Juan Carlos","2025-26_2360_2360017_carmen.lancho (Universidad Rey Juan Carlos)"
"OPTIMIZACION II","Lancho Martín, María del Carmen","2025-09-01","2360019-2360","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lancho Martín, María del Carmen (2025). OPTIMIZACION II. Universdiad Rey Juan Carlos","2025-26_2360_2360019_carmen.lancho (Universidad Rey Juan Carlos)"
"ANÁLISIS Y DESARROLLO DE UN CUADRO DE MANDO INTEGRAL EN QLIKSENSE","Fernández Isabel, Alberto (Cotutor); Lancho Martín, María del Carmen (Tutor)","2025-07-15","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Fernández Isabel, Alberto (Cotutor); Lancho Martín, María del Carmen (Tutor) (2025). ANÁLISIS Y DESARROLLO DE UN CUADRO DE MANDO INTEGRAL EN QLIKSENSE.","-"
"MÉTODOS CLÁSICOS Y MACHINE LEARNING EN SERIES TEMPORALES: APLICACIÓN A DATOS DE TURISMO","Lancho Martín, María del Carmen (Tutor)","2025-07-12","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Lancho Martín, María del Carmen (Tutor) (2025). MÉTODOS CLÁSICOS Y MACHINE LEARNING EN SERIES TEMPORALES: APLICACIÓN A DATOS DE TURISMO.","-"
"UNA DOBLE PERSPECTIVA PARA EL ANÁLISIS Y LA VISUALIZACIÓN DE ESTRATEGIAS DE CARRERA EN NATACIÓN: CLUSTERING ESTÁTICO Y DINÁMICO","Lancho Martín, María del Carmen (Tutor); Martín de Diego, Isaac (Cotutor)","2025-07-08","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Lancho Martín, María del Carmen (Tutor); Martín de Diego, Isaac (Cotutor) (2025). UNA DOBLE PERSPECTIVA PARA EL ANÁLISIS Y LA VISUALIZACIÓN DE ESTRATEGIAS DE CARRERA EN NATACIÓN: CLUSTERING ESTÁTICO Y DINÁMICO.","-"
"ANÁLISIS Y SEGMENTACIÓN DEL RITMO DE CARRERA EN PRUEBAS DE MEDIO FONDO","Lancho Martín, María del Carmen (Cotutor); Aceña Gil, Víctor (Tutor)","2025-07-07","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Lancho Martín, María del Carmen (Cotutor); Aceña Gil, Víctor (Tutor) (2025). ANÁLISIS Y SEGMENTACIÓN DEL RITMO DE CARRERA EN PRUEBAS DE MEDIO FONDO.","-"
"CLUSTERIZACIÓN DE SERIES TEMPORALES BASADA EN DETECCIÓN DE COMUNIDADES EN REDES","Lancho Martín, María del Carmen (Tutor); Aceña Gil, Víctor (Cotutor)","2025-06-21","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Lancho Martín, María del Carmen (Tutor); Aceña Gil, Víctor (Cotutor) (2025). CLUSTERIZACIÓN DE SERIES TEMPORALES BASADA EN DETECCIÓN DE COMUNIDADES EN REDES.","-"
"CARACTERIZACIÓN DE JUGADORES DE FÚTBOL: UNA APROXIMACIÓN MEDIANTE CLUSTERING DE SERIES TEMPORALES","Lancho Martín, María del Carmen (Tutor); Aceña Gil, Víctor (Cotutor)","2025-06-10","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Lancho Martín, María del Carmen (Tutor); Aceña Gil, Víctor (Cotutor) (2025). CARACTERIZACIÓN DE JUGADORES DE FÚTBOL: UNA APROXIMACIÓN MEDIANTE CLUSTERING DE SERIES TEMPORALES.","-"
"Importance of Visual Support Through Lipreading in the Identification of Words in Spanish Language","Gómez-Vicente, V; Esquiva, G; Lancho, C; Benzerdjeb, K; Jerez, AA; Ausó, E","2025-06-01","10.1177/00238309241270741","Y","Publicaciones","Artículo","Applied linguistics; Audiology & speech-language pathology; Ciencias humanas; Ciencias sociales; Educació; Educación; Filología lingüística y sociolingüística; Filologia, lingüística i sociolingüística; General medicine; Language & linguistics; Language and linguistics; Letras / linguística; Linguistics; Linguistics and language; Medicine (miscellaneous); Psychology; Psychology, experimental; Sociologia i política; Sociología y política; Sociology; Sociology and political science; Speech and hearing","Language And Speech","0.772","-","-","-","Q1","Gómez-Vicente, V; Esquiva, G; Lancho, C; Benzerdjeb, K; Jerez, AA; Ausó, E (2025). Importance of Visual Support Through Lipreading in the Identification of Words in Spanish Language. Language And Speech, 68(2), 344-364. DOI: 10.1177/00238309241270741","2-s2.0-85202537450 (Scopus);WOS:001299398000001 (WoS)"
"Exploration, Visualization and Analysis for Sustainable Tourism","López Cano, Emilio (Investigador principal (IP)); Aceña Gil, Víctor (Investigador principal (IP)); Redchuk Cisterna, Andrés (Investigador/a); Lancho Martín, María del Carmen (Investigador/a)","2025-01-01","2024/SOLCON-138037","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","","-","-","-","-","-","-","Ref.:2024/SOLCON-138037. Exploration, Visualization and Analysis for Sustainable Tourism. López Cano, Emilio (Investigador principal (IP)); Aceña Gil, Víctor (Investigador principal (IP)); Redchuk Cisterna, Andrés (Investigador/a); Lancho Martín, María del Carmen (Investigador/a).  Financiadora: Universidad Rey Juan Carlos  (2025-01-01 / 2025-12-31)","M3731 (Universidad Rey Juan Carlos)"
