"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"Inglés","Llopis Ibor, Laura","2025-09-18","-","-","Idiomas","Conocimiento de idiomas","-","-","-","-","-","-","-","Inglés:  () 2025","laura.llopis_Inglés_C1 (Universidad Rey Juan Carlos)"
"RECONOCIMIENTO DE PATRONES","Llopis Ibor, Laura","2025-09-01","623016-6230","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Llopis Ibor, Laura (2025). RECONOCIMIENTO DE PATRONES. Universdiad Rey Juan Carlos","2025-26_6230_623016_laura.llopis (Universidad Rey Juan Carlos)"
"PERSONAJES Y ESCENARIOS","Llopis Ibor, Laura","2025-09-01","2265032-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Llopis Ibor, Laura (2025). PERSONAJES Y ESCENARIOS. Universdiad Rey Juan Carlos","2025-26_2265_2265032_laura.llopis (Universidad Rey Juan Carlos)"
"DISEÑO DIGITAL 3D","Llopis Ibor, Laura","2025-09-01","2321018-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Llopis Ibor, Laura (2025). DISEÑO DIGITAL 3D. Universdiad Rey Juan Carlos","2025-26_2321_2321018_laura.llopis (Universidad Rey Juan Carlos)"
"DISEÑO DIGITAL 2D","Llopis Ibor, Laura","2025-09-01","2265001-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Llopis Ibor, Laura (2025). DISEÑO DIGITAL 2D. Universdiad Rey Juan Carlos","2025-26_2265_2265001_laura.llopis (Universidad Rey Juan Carlos)"
"DISEÑO DIGITAL 2D","Llopis Ibor, Laura","2025-09-01","2321017-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Llopis Ibor, Laura (2025). DISEÑO DIGITAL 2D. Universdiad Rey Juan Carlos","2025-26_2321_2321017_laura.llopis (Universidad Rey Juan Carlos)"
"DISEÑO DIGITAL 3D","Llopis Ibor, Laura","2025-09-01","2175006-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Llopis Ibor, Laura (2025). DISEÑO DIGITAL 3D. Universdiad Rey Juan Carlos","2025-26_2175_2175006_laura.llopis (Universidad Rey Juan Carlos)"
"PERSONAJES Y ESCENARIOS","Llopis Ibor, Laura","2025-09-01","2321034-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Llopis Ibor, Laura (2025). PERSONAJES Y ESCENARIOS. Universdiad Rey Juan Carlos","2025-26_2321_2321034_laura.llopis (Universidad Rey Juan Carlos)"
"DISEÑO DIGITAL 2D","Llopis Ibor, Laura","2025-09-01","2175001-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Llopis Ibor, Laura (2025). DISEÑO DIGITAL 2D. Universdiad Rey Juan Carlos","2025-26_2175_2175001_laura.llopis (Universidad Rey Juan Carlos)"
"PERSONAJES Y ESCENARIOS","Llopis Ibor, Laura","2025-09-01","2175032-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Llopis Ibor, Laura (2025). PERSONAJES Y ESCENARIOS. Universdiad Rey Juan Carlos","2025-26_2175_2175032_laura.llopis (Universidad Rey Juan Carlos)"
"INGENIERIA DE VIDEOJUEGOS","Llopis Ibor, Laura","2025-09-01","2175025-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Llopis Ibor, Laura (2025). INGENIERIA DE VIDEOJUEGOS. Universdiad Rey Juan Carlos","2025-26_2175_2175025_laura.llopis (Universidad Rey Juan Carlos)"
"INGENIERIA DE VIDEOJUEGOS","Llopis Ibor, Laura","2025-09-01","2321026-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Llopis Ibor, Laura (2025). INGENIERIA DE VIDEOJUEGOS. Universdiad Rey Juan Carlos","2025-26_2321_2321026_laura.llopis (Universidad Rey Juan Carlos)"
"MULTIMEDIA","Llopis Ibor, Laura","2025-09-01","2321011-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Llopis Ibor, Laura (2025). MULTIMEDIA. Universdiad Rey Juan Carlos","2025-26_2321_2321011_laura.llopis (Universidad Rey Juan Carlos)"
"MULTIMEDIA","Llopis Ibor, Laura","2025-09-01","2175010-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Llopis Ibor, Laura (2025). MULTIMEDIA. Universdiad Rey Juan Carlos","2025-26_2175_2175010_laura.llopis (Universidad Rey Juan Carlos)"
"FOTOGRAMETRÍA Y GAUSSIAN SPLATTING: ANÁLISIS DE CALIDAD VISUAL Y EFICIENCIA EN LA GENERACIÓN DE ASSETS 3D PARA VIDEOJUEGOS","Llopis Ibor, Laura (Tutor)","2025-07-23","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Llopis Ibor, Laura (Tutor) (2025). FOTOGRAMETRÍA Y GAUSSIAN SPLATTING: ANÁLISIS DE CALIDAD VISUAL Y EFICIENCIA EN LA GENERACIÓN DE ASSETS 3D PARA VIDEOJUEGOS.","-"
