"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"INTERACCION PERSONA-ORDENADOR","Lovillo Gil, Ascensión","2025-09-01","2033022-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lovillo Gil, Ascensión (2025). INTERACCION PERSONA-ORDENADOR. Universdiad Rey Juan Carlos","2025-26_2033_2033022_ascension.lovillo (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Lovillo Gil, Ascensión","2025-09-01","2118004-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lovillo Gil, Ascensión (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2118_2118004_ascension.lovillo (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Lovillo Gil, Ascensión","2025-09-01","2114005-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lovillo Gil, Ascensión (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2114_2114005_ascension.lovillo (Universidad Rey Juan Carlos)"
"INFORMATICA Y COMPETENCIA DIGITAL DOCENTE","Lovillo Gil, Ascensión","2025-09-01","2101006-2101","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lovillo Gil, Ascensión (2025). INFORMATICA Y COMPETENCIA DIGITAL DOCENTE. Universdiad Rey Juan Carlos","2025-26_2101_2101006_ascension.lovillo (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Lovillo Gil, Ascensión","2025-09-01","2316002-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lovillo Gil, Ascensión (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2316_2316002_ascension.lovillo (Universidad Rey Juan Carlos)"
"INTERACCION PERSONA-ORDENADOR","Lovillo Gil, Ascensión","2025-09-01","2032024-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lovillo Gil, Ascensión (2025). INTERACCION PERSONA-ORDENADOR. Universdiad Rey Juan Carlos","2025-26_2032_2032024_ascension.lovillo (Universidad Rey Juan Carlos)"
"INTERACCION PERSONA-ORDENADOR","Lovillo Gil, Ascensión","2025-09-01","2321027-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lovillo Gil, Ascensión (2025). INTERACCION PERSONA-ORDENADOR. Universdiad Rey Juan Carlos","2025-26_2321_2321027_ascension.lovillo (Universidad Rey Juan Carlos)"
"INFORMATICA Y COMPETENCIA DIGITAL DOCENTE","Lovillo Gil, Ascensión","2025-09-01","2173006-2173","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lovillo Gil, Ascensión (2025). INFORMATICA Y COMPETENCIA DIGITAL DOCENTE. Universdiad Rey Juan Carlos","2025-26_2173_2173006_ascension.lovillo (Universidad Rey Juan Carlos)"
"INTERACCION PERSONA-ORDENADOR","Lovillo Gil, Ascensión","2025-09-01","2315035-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lovillo Gil, Ascensión (2025). INTERACCION PERSONA-ORDENADOR. Universdiad Rey Juan Carlos","2025-26_2315_2315035_ascension.lovillo (Universidad Rey Juan Carlos)"
"INTERACCION PERSONA-ORDENADOR","Lovillo Gil, Ascensión","2025-09-01","2114025-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lovillo Gil, Ascensión (2025). INTERACCION PERSONA-ORDENADOR. Universdiad Rey Juan Carlos","2025-26_2114_2114025_ascension.lovillo (Universidad Rey Juan Carlos)"
"INTERACCION PERSONA-ORDENADOR","Lovillo Gil, Ascensión","2025-09-01","2113025-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lovillo Gil, Ascensión (2025). INTERACCION PERSONA-ORDENADOR. Universdiad Rey Juan Carlos","2025-26_2113_2113025_ascension.lovillo (Universidad Rey Juan Carlos)"
"LAS TIC EN LA EDUCACION","Lovillo Gil, Ascensión","2025-09-01","2210009-2210","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lovillo Gil, Ascensión (2025). LAS TIC EN LA EDUCACION. Universdiad Rey Juan Carlos","2025-26_2210_2210009_ascension.lovillo (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Lovillo Gil, Ascensión","2025-09-01","2034004-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lovillo Gil, Ascensión (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2034_2034004_ascension.lovillo (Universidad Rey Juan Carlos)"
"PRINCIPIOS JURIDICOS BASICOS, DEONTOLOGIA PROFESIONAL E IGUALDAD","Lovillo Gil, Ascensión","2025-09-01","2059007-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lovillo Gil, Ascensión (2025). PRINCIPIOS JURIDICOS BASICOS, DEONTOLOGIA PROFESIONAL E IGUALDAD. Universdiad Rey Juan Carlos","2025-26_2059_2059007_ascension.lovillo (Universidad Rey Juan Carlos)"
"INFORMATICA Y COMPETENCIA DIGITAL DOCENTE","Lovillo Gil, Ascensión","2025-09-01","2177007-2177","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lovillo Gil, Ascensión (2025). INFORMATICA Y COMPETENCIA DIGITAL DOCENTE. Universdiad Rey Juan Carlos","2025-26_2177_2177007_ascension.lovillo (Universidad Rey Juan Carlos)"
"INTERACCION PERSONA-ORDENADOR","Lovillo Gil, Ascensión","2025-09-01","2097055-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lovillo Gil, Ascensión (2025). INTERACCION PERSONA-ORDENADOR. Universdiad Rey Juan Carlos","2025-26_2097_2097055_ascension.lovillo (Universidad Rey Juan Carlos)"
"LAS TIC EN LA EDUCACION","Lovillo Gil, Ascensión","2025-09-01","2102006-2102","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lovillo Gil, Ascensión (2025). LAS TIC EN LA EDUCACION. Universdiad Rey Juan Carlos","2025-26_2102_2102006_ascension.lovillo (Universidad Rey Juan Carlos)"
"INTERACCION PERSONA-ORDENADOR","Lovillo Gil, Ascensión","2025-09-01","2117029-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lovillo Gil, Ascensión (2025). INTERACCION PERSONA-ORDENADOR. Universdiad Rey Juan Carlos","2025-26_2117_2117029_ascension.lovillo (Universidad Rey Juan Carlos)"
"LAS TIC EN LA EDUCACION","Lovillo Gil, Ascensión","2024-09-01","2102006-2102","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lovillo Gil, Ascensión (2024). LAS TIC EN LA EDUCACION. Universdiad Rey Juan Carlos","2024-25_2102_2102006_ascension.lovillo (Universidad Rey Juan Carlos)"
"INFORMATICA Y COMPETENCIA DIGITAL DOCENTE","Lovillo Gil, Ascensión","2024-09-01","2173006-2173","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lovillo Gil, Ascensión (2024). INFORMATICA Y COMPETENCIA DIGITAL DOCENTE. Universdiad Rey Juan Carlos","2024-25_2173_2173006_ascension.lovillo (Universidad Rey Juan Carlos)"
