"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"TECNOLOGIA DE COMPUTADORES","Aranda Barjola, Luis Alberto","2025-09-01","2321005-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Aranda Barjola, Luis Alberto (2025). TECNOLOGIA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2321_2321005_luis.aranda (Universidad Rey Juan Carlos)"
"TECNOLOGIA DE COMPUTADORES","Aranda Barjola, Luis Alberto","2025-09-01","2032002-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Aranda Barjola, Luis Alberto (2025). TECNOLOGIA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2032_2032002_luis.aranda (Universidad Rey Juan Carlos)"
"ROBOTICA","Aranda Barjola, Luis Alberto","2025-09-01","2361028-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Aranda Barjola, Luis Alberto (2025). ROBOTICA. Universdiad Rey Juan Carlos","2025-26_2361_2361028_luis.aranda (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LA INFORMATICA","Aranda Barjola, Luis Alberto","2025-09-01","2285001-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Aranda Barjola, Luis Alberto (2025). FUNDAMENTOS FISICOS DE LA INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2285_2285001_luis.aranda (Universidad Rey Juan Carlos)"
"TECNOLOGIA DE COMPUTADORES","Aranda Barjola, Luis Alberto","2025-09-01","2113001-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Aranda Barjola, Luis Alberto (2025). TECNOLOGIA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2113_2113001_luis.aranda (Universidad Rey Juan Carlos)"
"HERRAMIENTAS SOFTWARE PARA TRATAMIENTO DE IMÁGENES","Aranda Barjola, Luis Alberto","2025-09-01","623002-6230","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Aranda Barjola, Luis Alberto (2025). HERRAMIENTAS SOFTWARE PARA TRATAMIENTO DE IMÁGENES. Universdiad Rey Juan Carlos","2025-26_6230_623002_luis.aranda (Universidad Rey Juan Carlos)"
"ANÁLISIS DE ALGORITMOS DE CUANTIFICACIÓN EN REDES LÓGICAS BASADAS EN TABLAS DE CONSULTA","García Espinosa, Francisco José (Cotutor); Aranda Barjola, Luis Alberto (Tutor)","2025-07-11","-","-","Dirección de Tesis, TFG, TFM, etc.","DEA, máster, etc.","-","-","-","-","-","-","-","García Espinosa, Francisco José (Cotutor); Aranda Barjola, Luis Alberto (Tutor) (2025). ANÁLISIS DE ALGORITMOS DE CUANTIFICACIÓN EN REDES LÓGICAS BASADAS EN TABLAS DE CONSULTA.","-"
"Logic Neural Networks for Efficient FPGA Implementation","Ramirez, Ivan; Garcia-Espinosa, Francisco J; Concha, David; Aranda, Luis Alberto","2025-07-01","10.1109/TCSI.2024.3488119","G","Publicaciones","Artículo","Astronomia / física; Ciência da computação; Electrical and electronic engineering; Engenharias iii; Engenharias iv; Engineering (all); Engineering, electrical & electronic; Hardware and architecture; Interdisciplinar; Matemática / probabilidade e estatística","Ieee Transactions On Circuits And Systems I-Regular Papers","1.734","-","-","-","Q1","Ramirez, Ivan; Garcia-Espinosa, Francisco J; Concha, David; Aranda, Luis Alberto (2025). Logic Neural Networks for Efficient FPGA Implementation. Ieee Transactions On Circuits And Systems I-Regular Papers, 72(7), 3390-3398. DOI: 10.1109/TCSI.2024.3488119","10.1109/tcsi.2024.3488119 (Crossref);2-s2.0-85210176911 (Scopus);WOS:001351415500001 (WoS)"
"Miembro. Programa de Doctorado en Tecnologías de la Información y las Comunicaciones","Aranda Barjola, Luis Alberto","2025-01-01","1813462-4788","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
"Diseño, implementación y evaluación de redes neuronales tolerantes a fallos en hardware de alto rendimiento, destinadas a aplicaciones de conducción y control autónomo de vehículos espaciales.","Hortelano Haro, Diego (Investigador/a); Schiavi, Emanuele (Investigador/a); Aranda Barjola, Luis Alberto (Investigador principal (IP)); Ramírez Díaz, Iván (Investigador principal (IP)); Cuesta Infante, Alfredo (Investigador/a)","2025-01-01","2024/SOLCON-135334","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","","-","-","-","-","-","-","Ref.:2024/SOLCON-135334. Diseño, implementación y evaluación de redes neuronales tolerantes a fallos en hardware de alto rendimiento, destinadas a aplicaciones de conducción y control autónomo de vehículos espaciales.. Hortelano Haro, Diego (Investigador/a); Schiavi, Emanuele (Investigador/a); Aranda Barjola, Luis Alberto (Investigador principal (IP)); Ramírez Díaz, Iván (Investigador principal (IP)); Cuesta Infante, Alfredo (Investigador/a).  Financiadora: Universidad Rey Juan Carlos  (2025-01-01 / 2025-12-31)","M3710 (Universidad Rey Juan Carlos)"
"Adquisición de equipamiento para Altas Capacidades Computación.","Concha Gómez, David (Investigador/a); Lozano Osorio, Isaac (Investigador/a); Martín Santamaría, Raúl (Investigador principal (IP)); Cavero Díaz, Sergio (Investigador/a); Pérez Peló, Sergio (Investigador/a); Aranda Barjola, Luis Alberto (Investigador/a); García Espinosa, Francisco José (Investigador/a); Rodríguez Uribe, Nicolás (Investigador/a); Maes Bermejo, Michel (Investigador/a); Moreno San Segundo, José Ángel (Investigador/a); Ramírez Díaz, Iván (Investigador/a); Hortelano Haro, Diego (Investigador/a); Yuste Moure, Javier (Investigador/a)","2025-01-01","2024/SOLCON-64631","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","","-","-","-","-","-","-","Ref.:2024/SOLCON-64631. Adquisición de equipamiento para Altas Capacidades Computación.. Concha Gómez, David (Investigador/a); Lozano Osorio, Isaac (Investigador/a); Martín Santamaría, Raúl (Investigador principal (IP)); Cavero Díaz, Sergio (Investigador/a); Pérez Peló, Sergio (Investigador/a); Aranda Barjola, Luis Alberto (Investigador/a); García Espinosa, Francisco José (Investigador/a); Rodríguez Uribe, Nicolás (Investigador/a); Maes Bermejo, Michel (Investigador/a); Moreno San Segundo, José Ángel (Investigador/a); Ramírez Díaz, Iván (Investigador/a); Hortelano Haro, Diego (Investigador/a); Yuste Moure, Javier (Investigador/a).  Financiadora: Universidad Rey Juan Carlos  (2025-01-01 / 2025-12-31)","M3693 (Universidad Rey Juan Carlos)"
"HERRAMIENTAS SOFTWARE PARA TRATAMIENTO DE IMÁGENES","Aranda Barjola, Luis Alberto","2024-09-01","623002-6230","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Aranda Barjola, Luis Alberto (2024). HERRAMIENTAS SOFTWARE PARA TRATAMIENTO DE IMÁGENES. Universdiad Rey Juan Carlos","2024-25_6230_623002_luis.aranda (Universidad Rey Juan Carlos)"
"TECNOLOGIA DE COMPUTADORES","Aranda Barjola, Luis Alberto","2024-09-01","2113001-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Aranda Barjola, Luis Alberto (2024). TECNOLOGIA DE COMPUTADORES. Universdiad Rey Juan Carlos","2024-25_2113_2113001_luis.aranda (Universidad Rey Juan Carlos)"
"INTELIGENCIA ARTIFICIAL","Aranda Barjola, Luis Alberto","2024-09-01","2285026-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Aranda Barjola, Luis Alberto (2024). INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2024-25_2285_2285026_luis.aranda (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LA INFORMATICA","Aranda Barjola, Luis Alberto","2024-09-01","2285001-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Aranda Barjola, Luis Alberto (2024). FUNDAMENTOS FISICOS DE LA INFORMATICA. Universdiad Rey Juan Carlos","2024-25_2285_2285001_luis.aranda (Universidad Rey Juan Carlos)"
"TECNOLOGIA DE COMPUTADORES","Aranda Barjola, Luis Alberto","2024-09-01","2032002-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Aranda Barjola, Luis Alberto (2024). TECNOLOGIA DE COMPUTADORES. Universdiad Rey Juan Carlos","2024-25_2032_2032002_luis.aranda (Universidad Rey Juan Carlos)"
"ROBOTICA","Aranda Barjola, Luis Alberto","2024-09-01","2361028-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Aranda Barjola, Luis Alberto (2024). ROBOTICA. Universdiad Rey Juan Carlos","2024-25_2361_2361028_luis.aranda (Universidad Rey Juan Carlos)"
"TECNOLOGIA DE COMPUTADORES","Aranda Barjola, Luis Alberto","2024-09-01","2321005-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Aranda Barjola, Luis Alberto (2024). TECNOLOGIA DE COMPUTADORES. Universdiad Rey Juan Carlos","2024-25_2321_2321005_luis.aranda (Universidad Rey Juan Carlos)"
"AUDITORIA","Aranda Barjola, Luis Alberto","2024-09-01","2285032-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Aranda Barjola, Luis Alberto (2024). AUDITORIA. Universdiad Rey Juan Carlos","2024-25_2285_2285032_luis.aranda (Universidad Rey Juan Carlos)"
