"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"PROGRAMACION ORIENTADA A OBJETOS","Lázaro Carrascosa, Carlos Alfredo","2025-09-01","2032012-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lázaro Carrascosa, Carlos Alfredo (2025). PROGRAMACION ORIENTADA A OBJETOS. Universdiad Rey Juan Carlos","2025-26_2032_2032012_carlos.lazaro (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Lázaro Carrascosa, Carlos Alfredo","2025-09-01","2061004-2061","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lázaro Carrascosa, Carlos Alfredo (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2061_2061004_carlos.lazaro (Universidad Rey Juan Carlos)"
"INTERACCION PERSONA-ORDENADOR","Lázaro Carrascosa, Carlos Alfredo","2025-09-01","2243037-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lázaro Carrascosa, Carlos Alfredo (2025). INTERACCION PERSONA-ORDENADOR. Universdiad Rey Juan Carlos","2025-26_2243_2243037_carlos.lazaro (Universidad Rey Juan Carlos)"
"INTERACCION PERSONA-ORDENADOR","Lázaro Carrascosa, Carlos Alfredo","2025-09-01","2059022-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lázaro Carrascosa, Carlos Alfredo (2025). INTERACCION PERSONA-ORDENADOR. Universdiad Rey Juan Carlos","2025-26_2059_2059022_carlos.lazaro (Universidad Rey Juan Carlos)"
"PROGRAMACION ORIENTADA A OBJETOS","Lázaro Carrascosa, Carlos Alfredo","2025-09-01","2113012-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lázaro Carrascosa, Carlos Alfredo (2025). PROGRAMACION ORIENTADA A OBJETOS. Universdiad Rey Juan Carlos","2025-26_2113_2113012_carlos.lazaro (Universidad Rey Juan Carlos)"
"PROGRAMACION ORIENTADA A OBJETOS","Lázaro Carrascosa, Carlos Alfredo","2025-09-01","2059012-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lázaro Carrascosa, Carlos Alfredo (2025). PROGRAMACION ORIENTADA A OBJETOS. Universdiad Rey Juan Carlos","2025-26_2059_2059012_carlos.lazaro (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE DISEÑO DE SOFTWARE","Lázaro Carrascosa, Carlos Alfredo","2025-09-01","2032020-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lázaro Carrascosa, Carlos Alfredo (2025). FUNDAMENTOS DE DISEÑO DE SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2032_2032020_carlos.lazaro (Universidad Rey Juan Carlos)"
"PROGRAMACION AVANZADA","Lázaro Carrascosa, Carlos Alfredo","2025-09-01","2265017-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lázaro Carrascosa, Carlos Alfredo (2025). PROGRAMACION AVANZADA. Universdiad Rey Juan Carlos","2025-26_2265_2265017_carlos.lazaro (Universidad Rey Juan Carlos)"
"INTERACCION PERSONA-ORDENADOR","Lázaro Carrascosa, Carlos Alfredo","2025-09-01","2269055-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lázaro Carrascosa, Carlos Alfredo (2025). INTERACCION PERSONA-ORDENADOR. Universdiad Rey Juan Carlos","2025-26_2269_2269055_carlos.lazaro (Universidad Rey Juan Carlos)"
"Área Competencial de Creación de Contenidos Digitales","Lázaro Carrascosa, Carlos Alfredo","2025-09-01","641904-6419","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Lázaro Carrascosa, Carlos Alfredo (2025). Área Competencial de Creación de Contenidos Digitales. Universdiad Rey Juan Carlos","2025-26_6419_641904_carlos.lazaro (Universidad Rey Juan Carlos)"
