"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"BASES DE DATOS","López Balboa, Adrián","2025-09-01","2113013-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Balboa, Adrián (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2113_2113013_adrian.lbalboa (Universidad Rey Juan Carlos)"
"BASES DE DATOS","López Balboa, Adrián","2025-09-01","2032015-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Balboa, Adrián (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2032_2032015_adrian.lbalboa (Universidad Rey Juan Carlos)"
"ARQUITECTURAS GRAFICAS","López Balboa, Adrián","2025-09-01","2265018-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Balboa, Adrián (2025). ARQUITECTURAS GRAFICAS. Universdiad Rey Juan Carlos","2025-26_2265_2265018_adrian.lbalboa (Universidad Rey Juan Carlos)"
"ARQUITECTURAS GRAFICAS","López Balboa, Adrián","2024-09-01","2265018-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Balboa, Adrián (2024). ARQUITECTURAS GRAFICAS. Universdiad Rey Juan Carlos","2024-25_2265_2265018_adrian.lbalboa (Universidad Rey Juan Carlos)"
"BASES DE DATOS","López Balboa, Adrián","2024-09-01","2032015-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Balboa, Adrián (2024). BASES DE DATOS. Universdiad Rey Juan Carlos","2024-25_2032_2032015_adrian.lbalboa (Universidad Rey Juan Carlos)"
"BASES DE DATOS","López Balboa, Adrián","2024-09-01","2113013-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Balboa, Adrián (2024). BASES DE DATOS. Universdiad Rey Juan Carlos","2024-25_2113_2113013_adrian.lbalboa (Universidad Rey Juan Carlos)"
"ARQUITECTURA DE COMPUTADORES","López Balboa, Adrián","2023-09-01","2285021-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Balboa, Adrián (2023). ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2023-24_2285_2285021_adrian.lbalboa (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA CIBERSEGURIDAD","López Balboa, Adrián","2023-09-01","2285002-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Balboa, Adrián (2023). INTRODUCCION A LA CIBERSEGURIDAD. Universdiad Rey Juan Carlos","2023-24_2285_2285002_adrian.lbalboa (Universidad Rey Juan Carlos)"
"ARQUITECTURAS GRAFICAS","López Balboa, Adrián","2023-09-01","2175018-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Balboa, Adrián (2023). ARQUITECTURAS GRAFICAS. Universdiad Rey Juan Carlos","2023-24_2175_2175018_adrian.lbalboa (Universidad Rey Juan Carlos)"
"ARQUITECTURAS GRAFICAS","López Balboa, Adrián","2023-09-01","2265018-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Balboa, Adrián (2023). ARQUITECTURAS GRAFICAS. Universdiad Rey Juan Carlos","2023-24_2265_2265018_adrian.lbalboa (Universidad Rey Juan Carlos)"
"ARQUITECTURAS GRAFICAS","López Balboa, Adrián","2022-09-01","2175018-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Balboa, Adrián (2022). ARQUITECTURAS GRAFICAS. Universdiad Rey Juan Carlos","2022-23_2175_2175018_adrian.lbalboa (Universidad Rey Juan Carlos)"
"BASE DE DATOS","López Balboa, Adrián","2022-09-01","2265012-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Balboa, Adrián (2022). BASE DE DATOS. Universdiad Rey Juan Carlos","2022-23_2265_2265012_adrian.lbalboa (Universidad Rey Juan Carlos)"
"ARQUITECTURAS GRAFICAS","López Balboa, Adrián","2022-09-01","2265018-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Balboa, Adrián (2022). ARQUITECTURAS GRAFICAS. Universdiad Rey Juan Carlos","2022-23_2265_2265018_adrian.lbalboa (Universidad Rey Juan Carlos)"
"Macro level measuring of organization legitimacy: Its implication for open innovation","López-Balboa A; Blanco-González A; Díez-Martín F; Prado-Román C","2021-01-01","10.3390/joitmc7010053","Y","Publicaciones","Artículo","Ciencias sociales; Development; Economics, econometrics and finance (all); Economics, econometrics and finance (miscellaneous); General economics,econometrics and finance; Sociology and political science","Journal Of Open Innovation: Technology, Market, And Complexity","0.588","-","-","-","Q1","López-Balboa A; Blanco-González A; Díez-Martín F; Prado-Román C (2021). Macro level measuring of organization legitimacy: Its implication for open innovation. Journal Of Open Innovation: Technology, Market, And Complexity, 7(1), 1-14. DOI: 10.3390/joitmc7010053","2-s2.0-85101141519 (Scopus)"
