"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"ESTADISTICA","López Cano, Emilio","2025-09-01","2120017-2120","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Cano, Emilio (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2120_2120017_emilio.lopez (Universidad Rey Juan Carlos)"
"Programación Orientada al Análisis de Datos","López Cano, Emilio","2025-09-01","641204-6412","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Cano, Emilio (2025). Programación Orientada al Análisis de Datos. Universdiad Rey Juan Carlos","2025-26_6412_641204_emilio.lopez (Universidad Rey Juan Carlos)"
"Visualización y Comunicación de Datos Deportivos","López Cano, Emilio","2025-09-01","641210-6412","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Cano, Emilio (2025). Visualización y Comunicación de Datos Deportivos. Universdiad Rey Juan Carlos","2025-26_6412_641210_emilio.lopez (Universidad Rey Juan Carlos)"
"INFORMATION TECHNOLOGY AND SYSTEMS","López Cano, Emilio","2025-09-01","626205-6262","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Cano, Emilio (2025). INFORMATION TECHNOLOGY AND SYSTEMS. Universdiad Rey Juan Carlos","2025-26_6262_626205_emilio.lopez (Universidad Rey Juan Carlos)"
"ESTADISTICA (IA)","López Cano, Emilio","2025-09-01","2123019-2123","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Cano, Emilio (2025). ESTADISTICA (IA). Universdiad Rey Juan Carlos","2025-26_2123_2123019_emilio.lopez (Universidad Rey Juan Carlos)"
"QUANTITATIVE METHODS FOR DECISION MAKING IN TOURISM","López Cano, Emilio","2025-09-01","626208-6262","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Cano, Emilio (2025). QUANTITATIVE METHODS FOR DECISION MAKING IN TOURISM. Universdiad Rey Juan Carlos","2025-26_6262_626208_emilio.lopez (Universidad Rey Juan Carlos)"
"ESTADISTICA","López Cano, Emilio","2025-09-01","2265014-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Cano, Emilio (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2265_2265014_emilio.lopez (Universidad Rey Juan Carlos)"
"ESTADISTICA","López Cano, Emilio","2025-09-01","2107019-2107","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Cano, Emilio (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2107_2107019_emilio.lopez (Universidad Rey Juan Carlos)"
"SISTEMAS Y TECNOLOGÍAS DE LA INFORMACIÓN","López Cano, Emilio","2025-09-01","619305-6193","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Cano, Emilio (2025). SISTEMAS Y TECNOLOGÍAS DE LA INFORMACIÓN. Universdiad Rey Juan Carlos","2025-26_6193_619305_emilio.lopez (Universidad Rey Juan Carlos)"
"MÉTODOS CUANTITATIVOS PARA LA TOMA DE DECISIONES EN TURISMO","López Cano, Emilio","2025-09-01","619308-6193","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Cano, Emilio (2025). MÉTODOS CUANTITATIVOS PARA LA TOMA DE DECISIONES EN TURISMO. Universdiad Rey Juan Carlos","2025-26_6193_619308_emilio.lopez (Universidad Rey Juan Carlos)"
"ESTADISTICA","López Cano, Emilio","2025-09-01","2243015-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Cano, Emilio (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2243_2243015_emilio.lopez (Universidad Rey Juan Carlos)"
"ESTADISTICA","López Cano, Emilio","2025-09-01","2059011-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Cano, Emilio (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2059_2059011_emilio.lopez (Universidad Rey Juan Carlos)"
"SOLUCIONES TECNOLÓGICAS PARA CIUDADES INTELIGENTES","López Cano, Emilio","2025-09-01","635508-6355","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Cano, Emilio (2025). SOLUCIONES TECNOLÓGICAS PARA CIUDADES INTELIGENTES. Universdiad Rey Juan Carlos","2025-26_6355_635508_emilio.lopez (Universidad Rey Juan Carlos)"
"ESTADISTICA","López Cano, Emilio","2025-09-01","2108018-2108","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Cano, Emilio (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2108_2108018_emilio.lopez (Universidad Rey Juan Carlos)"
"DESARROLLO DE UN PAQUETE EN R Y APLICACIÓN SHINY PARA ANÁLISIS DE DATOS","Fernández Isabel, Alberto (Tutor); López Cano, Emilio (Cotutor)","2025-06-24","-","-","Dirección de Tesis, TFG, TFM, etc.","DEA, máster, etc.","-","-","-","-","-","-","-","Fernández Isabel, Alberto (Tutor); López Cano, Emilio (Cotutor) (2025). DESARROLLO DE UN PAQUETE EN R Y APLICACIÓN SHINY PARA ANÁLISIS DE DATOS.","-"
"Effects of Personality Types on the Performance of Educational Teams","Criado, Juan Manuel; Gutierrez, Gema; Cano, Emilio L; Garzas, Javier; de Lena, Maria Teresa Gonzalez; Moguerza, Javier M; Munoz, Juan Jose Fernandez","2025-03-05","10.3390/bs15030312","Y","Publicaciones","Artículo","Behavioral neuroscience; Ciencias sociales; Development; Ecology, evolution, behavior and systematics; General psychology; Genetics; Psychology (all); Psychology (miscellaneous); Psychology, multidisciplinary","Behavioral Sciences","0.718","-","-","-","Q1","Criado, Juan Manuel; Gutierrez, Gema; Cano, Emilio L; Garzas, Javier; de Lena, Maria Teresa Gonzalez; Moguerza, Javier M; Munoz, Juan Jose Fernandez (2025). Effects of Personality Types on the Performance of Educational Teams. Behavioral Sciences, 15(3), 312-. DOI: 10.3390/bs15030312","10.3390/bs15030312 (Crossref);10295223 (iMarina);2-s2.0-105001153820 (Scopus);W4408218681 (OpenAlex);WOS:001453030200001 (WoS)"
"Inglés","López Cano, Emilio","2025-01-29","-","-","Idiomas","Conocimiento de idiomas","-","-","-","-","-","-","-","Inglés:  () 2025","emilio.lopez_Inglés_C1 (Universidad Rey Juan Carlos)"
"Miembro. Programa de Doctorado en Tecnologías de la Información y las Comunicaciones","López Cano, Emilio","2025-01-01","1813520-4648","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
"Exploration, Visualization and Analysis for Sustainable Tourism","López Cano, Emilio (Investigador principal (IP)); Aceña Gil, Víctor (Investigador principal (IP)); Redchuk Cisterna, Andrés (Investigador/a); Lancho Martín, María del Carmen (Investigador/a)","2025-01-01","2024/SOLCON-138037","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","","-","-","-","-","-","-","Ref.:2024/SOLCON-138037. Exploration, Visualization and Analysis for Sustainable Tourism. López Cano, Emilio (Investigador principal (IP)); Aceña Gil, Víctor (Investigador principal (IP)); Redchuk Cisterna, Andrés (Investigador/a); Lancho Martín, María del Carmen (Investigador/a).  Financiadora: Universidad Rey Juan Carlos  (2025-01-01 / 2025-12-31)","M3731 (Universidad Rey Juan Carlos)"
