"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"Rendering Avanzado-I","López Moreno, Jorge Félix","2025-09-01","634311-6343","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Moreno, Jorge Félix (2025). Rendering Avanzado-I. Universdiad Rey Juan Carlos","2025-26_6343_634311_jorge.lopez (Universidad Rey Juan Carlos)"
"INFORMATICA GRAFICA","López Moreno, Jorge Félix","2025-09-01","2265016-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Moreno, Jorge Félix (2025). INFORMATICA GRAFICA. Universdiad Rey Juan Carlos","2025-26_2265_2265016_jorge.lopez (Universidad Rey Juan Carlos)"
"Motores de Videojuegos","López Moreno, Jorge Félix","2025-09-01","634305-6343","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Moreno, Jorge Félix (2025). Motores de Videojuegos. Universdiad Rey Juan Carlos","2025-26_6343_634305_jorge.lopez (Universidad Rey Juan Carlos)"
"Rendering Avanzado-II","López Moreno, Jorge Félix","2025-09-01","634314-6343","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Moreno, Jorge Félix (2025). Rendering Avanzado-II. Universdiad Rey Juan Carlos","2025-26_6343_634314_jorge.lopez (Universidad Rey Juan Carlos)"
"DISEÑO DIGITAL 2D","López Moreno, Jorge Félix","2025-09-01","2265001-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Moreno, Jorge Félix (2025). DISEÑO DIGITAL 2D. Universdiad Rey Juan Carlos","2025-26_2265_2265001_jorge.lopez (Universidad Rey Juan Carlos)"
"PROCESO DE DESARROLLO DE VIDEOJUEGOS","López Moreno, Jorge Félix","2025-09-01","2265021-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Moreno, Jorge Félix (2025). PROCESO DE DESARROLLO DE VIDEOJUEGOS. Universdiad Rey Juan Carlos","2025-26_2265_2265021_jorge.lopez (Universidad Rey Juan Carlos)"
"Aprendizaje Automático","López Moreno, Jorge Félix","2025-09-01","634308-6343","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Moreno, Jorge Félix (2025). Aprendizaje Automático. Universdiad Rey Juan Carlos","2025-26_6343_634308_jorge.lopez (Universidad Rey Juan Carlos)"
"Animación por Computador","López Moreno, Jorge Félix","2025-09-01","634304-6343","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","López Moreno, Jorge Félix (2025). Animación por Computador. Universdiad Rey Juan Carlos","2025-26_6343_634304_jorge.lopez (Universidad Rey Juan Carlos)"
"DESARROLLO DE UN SDK BASADO EN RHI ( RENDERING HARDWARE INTERFACE ) MULTI-API","Sánchez Campos, Alberto (Tutor); López Moreno, Jorge Félix (Cotutor)","2025-07-28","-","-","Dirección de Tesis, TFG, TFM, etc.","DEA, máster, etc.","-","-","-","-","-","-","-","Sánchez Campos, Alberto (Tutor); López Moreno, Jorge Félix (Cotutor) (2025). DESARROLLO DE UN SDK BASADO EN RHI ( RENDERING HARDWARE INTERFACE ) MULTI-API.","-"
"CORTO ANIMADO: AFTER THE STORM","López Moreno, Jorge Félix (Tutor)","2025-07-22","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","López Moreno, Jorge Félix (Tutor) (2025). CORTO ANIMADO: AFTER THE STORM.","-"
