"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"DESARROLLO DE APLICACIONES DISTRIBUIDAS","Madrueño Sierro, Natalia","2025-09-01","2113038-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Madrueño Sierro, Natalia (2025). DESARROLLO DE APLICACIONES DISTRIBUIDAS. Universdiad Rey Juan Carlos","2025-26_2113_2113038_natalia.madrueno (Universidad Rey Juan Carlos)"
"DESARROLLO DE APLICACIONES DISTRIBUIDAS","Madrueño Sierro, Natalia","2025-09-01","2321044-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Madrueño Sierro, Natalia (2025). DESARROLLO DE APLICACIONES DISTRIBUIDAS. Universdiad Rey Juan Carlos","2025-26_2321_2321044_natalia.madrueno (Universidad Rey Juan Carlos)"
"DESARROLLO DE APLICACIONES DISTRIBUIDAS","Madrueño Sierro, Natalia","2025-09-01","2032027-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Madrueño Sierro, Natalia (2025). DESARROLLO DE APLICACIONES DISTRIBUIDAS. Universdiad Rey Juan Carlos","2025-26_2032_2032027_natalia.madrueno (Universidad Rey Juan Carlos)"
"Big Data Processing II","Madrueño Sierro, Natalia","2025-09-01","641211-6412","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Madrueño Sierro, Natalia (2025). Big Data Processing II. Universdiad Rey Juan Carlos","2025-26_6412_641211_natalia.madrueno (Universidad Rey Juan Carlos)"
"JUEGOS EN RED","Madrueño Sierro, Natalia","2025-09-01","2175027-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Madrueño Sierro, Natalia (2025). JUEGOS EN RED. Universdiad Rey Juan Carlos","2025-26_2175_2175027_natalia.madrueno (Universidad Rey Juan Carlos)"
"JUEGOS EN RED","Madrueño Sierro, Natalia","2025-09-01","2265027-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Madrueño Sierro, Natalia (2025). JUEGOS EN RED. Universdiad Rey Juan Carlos","2025-26_2265_2265027_natalia.madrueno (Universidad Rey Juan Carlos)"
"PROCESAMIENTO DEL LENGUAJE NATURAL I","Madrueño Sierro, Natalia","2025-09-01","2361026-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Madrueño Sierro, Natalia (2025). PROCESAMIENTO DEL LENGUAJE NATURAL I. Universdiad Rey Juan Carlos","2025-26_2361_2361026_natalia.madrueno (Universidad Rey Juan Carlos)"
"PROCESAMIENTO DE LENGUAJE NATURAL Y MINERIA DE TEXTO","Madrueño Sierro, Natalia","2025-09-01","2360040-2360","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Madrueño Sierro, Natalia (2025). PROCESAMIENTO DE LENGUAJE NATURAL Y MINERIA DE TEXTO. Universdiad Rey Juan Carlos","2025-26_2360_2360040_natalia.madrueno (Universidad Rey Juan Carlos)"
"INTELIGENCIA ARTIFICIAL","Madrueño Sierro, Natalia","2025-09-01","2285026-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Madrueño Sierro, Natalia (2025). INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2285_2285026_natalia.madrueno (Universidad Rey Juan Carlos)"
"Programación Orientada al Análisis de Datos","Madrueño Sierro, Natalia","2025-09-01","641204-6412","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Madrueño Sierro, Natalia (2025). Programación Orientada al Análisis de Datos. Universdiad Rey Juan Carlos","2025-26_6412_641204_natalia.madrueno (Universidad Rey Juan Carlos)"
"PROCESAMIENTO DEL LENGUAJE NATURAL I","Madrueño Sierro, Natalia","2024-09-01","2361026-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Madrueño Sierro, Natalia (2024). PROCESAMIENTO DEL LENGUAJE NATURAL I. Universdiad Rey Juan Carlos","2024-25_2361_2361026_natalia.madrueno (Universidad Rey Juan Carlos)"
"ESTADISTICA","Madrueño Sierro, Natalia","2024-09-01","2120017-2120","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Madrueño Sierro, Natalia (2024). ESTADISTICA. Universdiad Rey Juan Carlos","2024-25_2120_2120017_natalia.madrueno (Universidad Rey Juan Carlos)"
