"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"HEALTHCARER: UNA APLICACIÓN WEB ORIENTADA A LA GESTIÓN Y SEGUIMIENTO DE LOS TRATAMIENTOS MÉDICOS.","Maes Bermejo, Michel (Tutor)","2025-09-26","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Maes Bermejo, Michel (Tutor) (2025). HEALTHCARER: UNA APLICACIÓN WEB ORIENTADA A LA GESTIÓN Y SEGUIMIENTO DE LOS TRATAMIENTOS MÉDICOS..","-"
"Big Data Processing I","Maes Bermejo, Michel","2025-09-01","641207-6412","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Maes Bermejo, Michel (2025). Big Data Processing I. Universdiad Rey Juan Carlos","2025-26_6412_641207_michel.maes (Universidad Rey Juan Carlos)"
"DESARROLLO WEB SEGURO","Maes Bermejo, Michel","2025-09-01","2285017-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Maes Bermejo, Michel (2025). DESARROLLO WEB SEGURO. Universdiad Rey Juan Carlos","2025-26_2285_2285017_michel.maes (Universidad Rey Juan Carlos)"
"AMPLIACION DE INGENIERIA DEL SOFTWARE","Maes Bermejo, Michel","2025-09-01","2097048-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Maes Bermejo, Michel (2025). AMPLIACION DE INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2097_2097048_michel.maes (Universidad Rey Juan Carlos)"
"CALIDAD DEL SOFTWARE","Maes Bermejo, Michel","2025-09-01","2114037-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Maes Bermejo, Michel (2025). CALIDAD DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2114_2114037_michel.maes (Universidad Rey Juan Carlos)"
"CALIDAD DEL SOFTWARE","Maes Bermejo, Michel","2025-09-01","2034030-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Maes Bermejo, Michel (2025). CALIDAD DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2034_2034030_michel.maes (Universidad Rey Juan Carlos)"
"AMPLIACION DE INGENIERIA DEL SOFTWARE","Maes Bermejo, Michel","2025-09-01","2033027-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Maes Bermejo, Michel (2025). AMPLIACION DE INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2033_2033027_michel.maes (Universidad Rey Juan Carlos)"
"CALIDAD DEL SOFTWARE","Maes Bermejo, Michel","2025-09-01","2118042-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Maes Bermejo, Michel (2025). CALIDAD DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2118_2118042_michel.maes (Universidad Rey Juan Carlos)"
"AMPLIACION DE INGENIERIA DEL SOFTWARE","Maes Bermejo, Michel","2025-09-01","2315041-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Maes Bermejo, Michel (2025). AMPLIACION DE INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2315_2315041_michel.maes (Universidad Rey Juan Carlos)"
"AMPLIACION DE INGENIERIA DEL SOFTWARE","Maes Bermejo, Michel","2025-09-01","2117043-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Maes Bermejo, Michel (2025). AMPLIACION DE INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2117_2117043_michel.maes (Universidad Rey Juan Carlos)"
