"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"SEGURIDAD INFORMATICA","Maldonado Correa, David","2025-09-01","2114035-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Maldonado Correa, David (2025). SEGURIDAD INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2114_2114035_david.maldonado (Universidad Rey Juan Carlos)"
"SEGURIDAD INFORMATICA","Maldonado Correa, David","2025-09-01","2097042-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Maldonado Correa, David (2025). SEGURIDAD INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2097_2097042_david.maldonado (Universidad Rey Juan Carlos)"
"FISICA PARA VIDEOJUEGOS","Maldonado Correa, David","2025-09-01","2175002-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Maldonado Correa, David (2025). FISICA PARA VIDEOJUEGOS. Universdiad Rey Juan Carlos","2025-26_2175_2175002_david.maldonado (Universidad Rey Juan Carlos)"
"SEGURIDAD INFORMATICA","Maldonado Correa, David","2025-09-01","2113028-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Maldonado Correa, David (2025). SEGURIDAD INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2113_2113028_david.maldonado (Universidad Rey Juan Carlos)"
"SEGURIDAD INFORMATICA","Maldonado Correa, David","2025-09-01","2032034-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Maldonado Correa, David (2025). SEGURIDAD INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2032_2032034_david.maldonado (Universidad Rey Juan Carlos)"
"SEGURIDAD INFORMATICA","Maldonado Correa, David","2025-09-01","2033021-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Maldonado Correa, David (2025). SEGURIDAD INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2033_2033021_david.maldonado (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LOS COMPUTADORES","Maldonado Correa, David","2025-09-01","2032003-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Maldonado Correa, David (2025). FUNDAMENTOS FISICOS DE LOS COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2032_2032003_david.maldonado (Universidad Rey Juan Carlos)"
"SEGURIDAD INFORMATICA","Maldonado Correa, David","2025-09-01","2321053-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Maldonado Correa, David (2025). SEGURIDAD INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2321_2321053_david.maldonado (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LOS COMPUTADORES","Maldonado Correa, David","2025-09-01","2113003-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Maldonado Correa, David (2025). FUNDAMENTOS FISICOS DE LOS COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2113_2113003_david.maldonado (Universidad Rey Juan Carlos)"
"SEGURIDAD INFORMATICA","Maldonado Correa, David","2025-09-01","2315037-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Maldonado Correa, David (2025). SEGURIDAD INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2315_2315037_david.maldonado (Universidad Rey Juan Carlos)"
"SEGURIDAD INFORMATICA","Maldonado Correa, David","2025-09-01","2117037-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Maldonado Correa, David (2025). SEGURIDAD INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2117_2117037_david.maldonado (Universidad Rey Juan Carlos)"
"FISICA PARA VIDEOJUEGOS","Maldonado Correa, David","2025-09-01","2321001-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Maldonado Correa, David (2025). FISICA PARA VIDEOJUEGOS. Universdiad Rey Juan Carlos","2025-26_2321_2321001_david.maldonado (Universidad Rey Juan Carlos)"
"NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION","Maldonado Correa, David","2024-09-01","2001017-2001","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Maldonado Correa, David (2024). NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION. Universdiad Rey Juan Carlos","2024-25_2001_2001017_david.maldonado (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Maldonado Correa, David","2024-09-01","2097011-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Maldonado Correa, David (2024). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2024-25_2097_2097011_david.maldonado (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Maldonado Correa, David","2024-09-01","2117011-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Maldonado Correa, David (2024). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2024-25_2117_2117011_david.maldonado (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Maldonado Correa, David","2024-09-01","2114007-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Maldonado Correa, David (2024). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2024-25_2114_2114007_david.maldonado (Universidad Rey Juan Carlos)"
"NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION","Maldonado Correa, David","2024-09-01","2187019-2187","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Maldonado Correa, David (2024). NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION. Universdiad Rey Juan Carlos","2024-25_2187_2187019_david.maldonado (Universidad Rey Juan Carlos)"
"MULTIMEDIA","Maldonado Correa, David","2024-09-01","2175010-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Maldonado Correa, David (2024). MULTIMEDIA. Universdiad Rey Juan Carlos","2024-25_2175_2175010_david.maldonado (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Maldonado Correa, David","2024-09-01","2315009-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Maldonado Correa, David (2024). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2024-25_2315_2315009_david.maldonado (Universidad Rey Juan Carlos)"
"NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION","Maldonado Correa, David","2024-09-01","2260011-2260","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Maldonado Correa, David (2024). NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION. Universdiad Rey Juan Carlos","2024-25_2260_2260011_david.maldonado (Universidad Rey Juan Carlos)"
"NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION","Maldonado Correa, David","2024-09-01","2238022-2238","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Maldonado Correa, David (2024). NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION. Universdiad Rey Juan Carlos","2024-25_2238_2238022_david.maldonado (Universidad Rey Juan Carlos)"
"MULTIMEDIA","Maldonado Correa, David","2024-09-01","2321011-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Maldonado Correa, David (2024). MULTIMEDIA. Universdiad Rey Juan Carlos","2024-25_2321_2321011_david.maldonado (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Maldonado Correa, David","2024-09-01","2033009-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Maldonado Correa, David (2024). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2024-25_2033_2033009_david.maldonado (Universidad Rey Juan Carlos)"
"NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION","Maldonado Correa, David","2024-09-01","2161009-2161","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Maldonado Correa, David (2024). NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION. Universdiad Rey Juan Carlos","2024-25_2161_2161009_david.maldonado (Universidad Rey Juan Carlos)"
