"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"PROGRAMACION AVANZADA","Manzano Vázquez, Mario","2025-09-01","2175017-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Manzano Vázquez, Mario (2025). PROGRAMACION AVANZADA. Universdiad Rey Juan Carlos","2025-26_2175_2175017_mario.manzano (Universidad Rey Juan Carlos)"
"ENTORNOS MULTIJUGADOR","Manzano Vázquez, Mario","2025-09-01","2321032-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Manzano Vázquez, Mario (2025). ENTORNOS MULTIJUGADOR. Universdiad Rey Juan Carlos","2025-26_2321_2321032_mario.manzano (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE DISEÑO DE SOFTWARE","Manzano Vázquez, Mario","2025-09-01","2032020-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Manzano Vázquez, Mario (2025). FUNDAMENTOS DE DISEÑO DE SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2032_2032020_mario.manzano (Universidad Rey Juan Carlos)"
"ENTORNOS MULTIJUGADOR","Manzano Vázquez, Mario","2025-09-01","2175030-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Manzano Vázquez, Mario (2025). ENTORNOS MULTIJUGADOR. Universdiad Rey Juan Carlos","2025-26_2175_2175030_mario.manzano (Universidad Rey Juan Carlos)"
"PROGRAMACION AVANZADA","Manzano Vázquez, Mario","2025-09-01","2321022-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Manzano Vázquez, Mario (2025). PROGRAMACION AVANZADA. Universdiad Rey Juan Carlos","2025-26_2321_2321022_mario.manzano (Universidad Rey Juan Carlos)"
"DESARROLLO DE APLICACIÓN WEB CON FRAMEWORK MICRONAUT PARA INTEGRACIÓN DE LLMS SOBRE DATOS DE APIS PÚBLICAS","Manzano Vázquez, Mario (Tutor)","2025-07-05","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Manzano Vázquez, Mario (Tutor) (2025). DESARROLLO DE APLICACIÓN WEB CON FRAMEWORK MICRONAUT PARA INTEGRACIÓN DE LLMS SOBRE DATOS DE APIS PÚBLICAS.","-"
"DESARROLLO DE HERRAMIENTAS PARA LA MODIFICACIÓN DE JUEGOS BASADOS EN XNA","Manzano Vázquez, Mario (Tutor)","2025-07-02","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Manzano Vázquez, Mario (Tutor) (2025). DESARROLLO DE HERRAMIENTAS PARA LA MODIFICACIÓN DE JUEGOS BASADOS EN XNA.","-"
"DESARROLLO DE UN VIDEOJUEGO 2D CON ELEMENTOS METROIDVANIA EN UNITY","Manzano Vázquez, Mario (Tutor)","2025-07-02","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Manzano Vázquez, Mario (Tutor) (2025). DESARROLLO DE UN VIDEOJUEGO 2D CON ELEMENTOS METROIDVANIA EN UNITY.","-"
"APLICACIÓN DE TÉCNICAS DE USABILIDAD Y DE EXPERIENCIA DE USUARIO PARA MEJORAR LA JUGABILIDAD DE UN VIDEOJUEGO","Manzano Vázquez, Mario (Tutor)","2025-04-07","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Manzano Vázquez, Mario (Tutor) (2025). APLICACIÓN DE TÉCNICAS DE USABILIDAD Y DE EXPERIENCIA DE USUARIO PARA MEJORAR LA JUGABILIDAD DE UN VIDEOJUEGO.","-"
"DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES","Manzano Vázquez, Mario","2024-09-01","2175039-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Manzano Vázquez, Mario (2024). DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES. Universdiad Rey Juan Carlos","2024-25_2175_2175039_mario.manzano (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE DISEÑO DE SOFTWARE","Manzano Vázquez, Mario","2024-09-01","2032020-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Manzano Vázquez, Mario (2024). FUNDAMENTOS DE DISEÑO DE SOFTWARE. Universdiad Rey Juan Carlos","2024-25_2032_2032020_mario.manzano (Universidad Rey Juan Carlos)"
"ENTORNOS MULTIJUGADOR","Manzano Vázquez, Mario","2024-09-01","2321032-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Manzano Vázquez, Mario (2024). ENTORNOS MULTIJUGADOR. Universdiad Rey Juan Carlos","2024-25_2321_2321032_mario.manzano (Universidad Rey Juan Carlos)"
"PROGRAMACION AVANZADA","Manzano Vázquez, Mario","2024-09-01","2175017-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Manzano Vázquez, Mario (2024). PROGRAMACION AVANZADA. Universdiad Rey Juan Carlos","2024-25_2175_2175017_mario.manzano (Universidad Rey Juan Carlos)"
"ENTORNOS MULTIJUGADOR","Manzano Vázquez, Mario","2024-09-01","2175030-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Manzano Vázquez, Mario (2024). ENTORNOS MULTIJUGADOR. Universdiad Rey Juan Carlos","2024-25_2175_2175030_mario.manzano (Universidad Rey Juan Carlos)"
"DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES","Manzano Vázquez, Mario","2024-09-01","2321041-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Manzano Vázquez, Mario (2024). DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES. Universdiad Rey Juan Carlos","2024-25_2321_2321041_mario.manzano (Universidad Rey Juan Carlos)"
"PROGRAMACION AVANZADA","Manzano Vázquez, Mario","2024-09-01","2321022-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Manzano Vázquez, Mario (2024). PROGRAMACION AVANZADA. Universdiad Rey Juan Carlos","2024-25_2321_2321022_mario.manzano (Universidad Rey Juan Carlos)"
"DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES","Manzano Vázquez, Mario","2024-09-01","2265039-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Manzano Vázquez, Mario (2024). DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES. Universdiad Rey Juan Carlos","2024-25_2265_2265039_mario.manzano (Universidad Rey Juan Carlos)"
"CREACIÓN DE UN VIDEOJUEGO COMO HERRAMIENTA DIDÁCTICA PARA EL APRENDIZAJE DE LA BIOLOGÍA","Manzano Vázquez, Mario (Tutor)","2024-07-15","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Manzano Vázquez, Mario (Tutor) (2024). CREACIÓN DE UN VIDEOJUEGO COMO HERRAMIENTA DIDÁCTICA PARA EL APRENDIZAJE DE LA BIOLOGÍA.","-"
"EVALUACIÓN DE FLUTTER COMO FRAMEWORK MULTIPLATAFORMA: ANÁLISIS COMPARATIVO CON APLICACIONES MÓVILES ARQUETÍPICAS BASADO EN ARQUITECTURA LIMPIA Y DDD","Manzano Vázquez, Mario (Tutor)","2024-07-12","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Manzano Vázquez, Mario (Tutor) (2024). EVALUACIÓN DE FLUTTER COMO FRAMEWORK MULTIPLATAFORMA: ANÁLISIS COMPARATIVO CON APLICACIONES MÓVILES ARQUETÍPICAS BASADO EN ARQUITECTURA LIMPIA Y DDD.","-"
