"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"Enhancing computational thinking skills in early education: exploring the efficacy and feasibility of unplugged methodologies","Moreno-Leon, Jesus; Roman-Gonzalez, Marcos; Martin-Barroso, Estefania; Zapata-Caceres, Maria; Jimenez, Marcos; Robles, Gregorio","2025-12-01","10.1016/j.tsc.2025.101879","N","Publicaciones","Artículo","Ciencias sociales; Educació; Educación; Education; Education & educational research; Pedagogical & educational research","Thinking Skills And Creativity","1.410","-","-","-","Q1","Moreno-Leon, Jesus; Roman-Gonzalez, Marcos; Martin-Barroso, Estefania; Zapata-Caceres, Maria; Jimenez, Marcos; Robles, Gregorio (2025). Enhancing computational thinking skills in early education: exploring the efficacy and feasibility of unplugged methodologies. Thinking Skills And Creativity, 58(), 101879-. DOI: 10.1016/j.tsc.2025.101879","10317170 (iMarina);2-s2.0-105007299209 (Scopus);WOS:001506758100001 (WoS)"
"INTERACCION PERSONA-ORDENADOR","Martín Barroso, Estefanía","2025-09-01","2269055-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín Barroso, Estefanía (2025). INTERACCION PERSONA-ORDENADOR. Universdiad Rey Juan Carlos","2025-26_2269_2269055_estefania.martin (Universidad Rey Juan Carlos)"
"PROGRAMACION ORIENTADA A OBJETOS","Martín Barroso, Estefanía","2025-09-01","2073018-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín Barroso, Estefanía (2025). PROGRAMACION ORIENTADA A OBJETOS. Universdiad Rey Juan Carlos","2025-26_2073_2073018_estefania.martin (Universidad Rey Juan Carlos)"
"INTERACCION PERSONA-ORDENADOR","Martín Barroso, Estefanía","2025-09-01","2243037-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín Barroso, Estefanía (2025). INTERACCION PERSONA-ORDENADOR. Universdiad Rey Juan Carlos","2025-26_2243_2243037_estefania.martin (Universidad Rey Juan Carlos)"
"INVESTIGACIÓN EDUCATIVA APLICADA A LA INFORMÁTICA Y LA TECNOLOGÍA","Martín Barroso, Estefanía","2025-09-01","638804-6388","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín Barroso, Estefanía (2025). INVESTIGACIÓN EDUCATIVA APLICADA A LA INFORMÁTICA Y LA TECNOLOGÍA. Universdiad Rey Juan Carlos","2025-26_6388_638804_estefania.martin (Universidad Rey Juan Carlos)"
"INTERACCION PERSONA-ORDENADOR","Martín Barroso, Estefanía","2025-09-01","2059022-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín Barroso, Estefanía (2025). INTERACCION PERSONA-ORDENADOR. Universdiad Rey Juan Carlos","2025-26_2059_2059022_estefania.martin (Universidad Rey Juan Carlos)"
"PROGRAMACION ORIENTADA A OBJETOS","Martín Barroso, Estefanía","2025-09-01","2059012-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín Barroso, Estefanía (2025). PROGRAMACION ORIENTADA A OBJETOS. Universdiad Rey Juan Carlos","2025-26_2059_2059012_estefania.martin (Universidad Rey Juan Carlos)"
"PROGRAMACION ORIENTADA A OBJETOS","Martín Barroso, Estefanía","2025-09-01","2243026-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín Barroso, Estefanía (2025). PROGRAMACION ORIENTADA A OBJETOS. Universdiad Rey Juan Carlos","2025-26_2243_2243026_estefania.martin (Universidad Rey Juan Carlos)"
"Educación en informática e informática para la educación","Martín Barroso, Estefanía","2025-09-01","641901-6419","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín Barroso, Estefanía (2025). Educación en informática e informática para la educación. Universdiad Rey Juan Carlos","2025-26_6419_641901_estefania.martin (Universidad Rey Juan Carlos)"
"INTERACCION PERSONA-ORDENADOR","Martín Barroso, Estefanía","2025-09-01","2073055-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín Barroso, Estefanía (2025). INTERACCION PERSONA-ORDENADOR. Universdiad Rey Juan Carlos","2025-26_2073_2073055_estefania.martin (Universidad Rey Juan Carlos)"
