"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"AMPLIACION DE REDES DE COMPUTADORES","Martín Mansilla, Juan","2025-09-01","2321038-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín Mansilla, Juan (2025). AMPLIACION DE REDES DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2321_2321038_juan.martin (Universidad Rey Juan Carlos)"
"SEGURIDAD INFORMATICA","Martín Mansilla, Juan","2025-09-01","2033021-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín Mansilla, Juan (2025). SEGURIDAD INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2033_2033021_juan.martin (Universidad Rey Juan Carlos)"
"SEGURIDAD Y PRIVACIDAD DE DATOS","Martín Mansilla, Juan","2025-09-01","2360031-2360","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín Mansilla, Juan (2025). SEGURIDAD Y PRIVACIDAD DE DATOS. Universdiad Rey Juan Carlos","2025-26_2360_2360031_juan.martin (Universidad Rey Juan Carlos)"
"AUDITORIA","Martín Mansilla, Juan","2025-09-01","2285032-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín Mansilla, Juan (2025). AUDITORIA. Universdiad Rey Juan Carlos","2025-26_2285_2285032_juan.martin (Universidad Rey Juan Carlos)"
"REGULACION Y GOBERNANZA DE LA SEGURIDAD","Martín Mansilla, Juan","2025-09-01","2285038-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín Mansilla, Juan (2025). REGULACION Y GOBERNANZA DE LA SEGURIDAD. Universdiad Rey Juan Carlos","2025-26_2285_2285038_juan.martin (Universidad Rey Juan Carlos)"
"AMPLIACION DE REDES DE COMPUTADORES","Martín Mansilla, Juan","2025-09-01","2032021-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín Mansilla, Juan (2025). AMPLIACION DE REDES DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2032_2032021_juan.martin (Universidad Rey Juan Carlos)"
"SEGURIDAD INFORMATICA","Martín Mansilla, Juan","2025-09-01","2117037-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín Mansilla, Juan (2025). SEGURIDAD INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2117_2117037_juan.martin (Universidad Rey Juan Carlos)"
"SEGURIDAD INFORMATICA","Martín Mansilla, Juan","2025-09-01","2061021-2061","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín Mansilla, Juan (2025). SEGURIDAD INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2061_2061021_juan.martin (Universidad Rey Juan Carlos)"
"SEGURIDAD INFORMATICA","Martín Mansilla, Juan","2025-09-01","2097042-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín Mansilla, Juan (2025). SEGURIDAD INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2097_2097042_juan.martin (Universidad Rey Juan Carlos)"
"AMPLIACION DE REDES DE COMPUTADORES","Martín Mansilla, Juan","2025-09-01","2113027-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín Mansilla, Juan (2025). AMPLIACION DE REDES DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2113_2113027_juan.martin (Universidad Rey Juan Carlos)"
"SEGURIDAD INFORMATICA","Martín Mansilla, Juan","2025-09-01","2315037-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín Mansilla, Juan (2025). SEGURIDAD INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2315_2315037_juan.martin (Universidad Rey Juan Carlos)"
"SEGURIDAD INFORMATICA","Martín Mansilla, Juan","2025-09-01","2113028-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín Mansilla, Juan (2025). SEGURIDAD INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2113_2113028_juan.martin (Universidad Rey Juan Carlos)"
"SEGURIDAD INFORMATICA","Martín Mansilla, Juan","2025-09-01","2114035-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín Mansilla, Juan (2025). SEGURIDAD INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2114_2114035_juan.martin (Universidad Rey Juan Carlos)"
"PENTESTING","Martín Mansilla, Juan","2025-09-01","2285034-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín Mansilla, Juan (2025). PENTESTING. Universdiad Rey Juan Carlos","2025-26_2285_2285034_juan.martin (Universidad Rey Juan Carlos)"
"EASYHACK: PROGRAMA DE ESCRITORIO PARA FACILITAR EL USO Y GESTIO¿ N DE HERRAMIENTAS DE CIBERSEGURIDAD.","Martín Mansilla, Juan (Tutor)","2025-07-24","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Martín Mansilla, Juan (Tutor) (2025). EASYHACK: PROGRAMA DE ESCRITORIO PARA FACILITAR EL USO Y GESTIO¿ N DE HERRAMIENTAS DE CIBERSEGURIDAD..","-"
"DESARROLLO DE UNA APLICACIÓN EN C# PARA AUDITORÍAS DE CIBERSEGURIDAD Y DETECCIÓN DE VULNERABILIDADES","Martín Mansilla, Juan (Tutor)","2025-07-14","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Martín Mansilla, Juan (Tutor) (2025). DESARROLLO DE UNA APLICACIÓN EN C# PARA AUDITORÍAS DE CIBERSEGURIDAD Y DETECCIÓN DE VULNERABILIDADES.","-"
"APLICACIÓN ESCANEO DE VULNERABILIDADES EN SISTEMA LOCAL WINDOWS","Martín Mansilla, Juan (Tutor)","2025-07-04","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Martín Mansilla, Juan (Tutor) (2025). APLICACIÓN ESCANEO DE VULNERABILIDADES EN SISTEMA LOCAL WINDOWS.","-"
