"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"SEGURIDAD EN BASES DE DATOS","Martín Santamaría, Raúl","2025-09-01","2285024-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín Santamaría, Raúl (2025). SEGURIDAD EN BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2285_2285024_raul.martin (Universidad Rey Juan Carlos)"
"TECNICAS DE HACKING","Martín Santamaría, Raúl","2025-09-01","2285015-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín Santamaría, Raúl (2025). TECNICAS DE HACKING. Universdiad Rey Juan Carlos","2025-26_2285_2285015_raul.martin (Universidad Rey Juan Carlos)"
"PROGRAMACION II","Martín Santamaría, Raúl","2025-09-01","2361010-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín Santamaría, Raúl (2025). PROGRAMACION II. Universdiad Rey Juan Carlos","2025-26_2361_2361010_raul.martin (Universidad Rey Juan Carlos)"
"METODOLOGIAS DE DESARROLLO SEGURO","Martín Santamaría, Raúl","2025-09-01","2285028-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín Santamaría, Raúl (2025). METODOLOGIAS DE DESARROLLO SEGURO. Universdiad Rey Juan Carlos","2025-26_2285_2285028_raul.martin (Universidad Rey Juan Carlos)"
"TÉCNICAS HEURÍSTICAS APLICADAS AL PROBLEMA DE DETECCIÓN DE NODOS CRÍTICOS EN REDES","Martín Santamaría, Raúl (Tutor)","2025-07-21","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Martín Santamaría, Raúl (Tutor) (2025). TÉCNICAS HEURÍSTICAS APLICADAS AL PROBLEMA DE DETECCIÓN DE NODOS CRÍTICOS EN REDES.","-"
"DETECCIÓN Y PREVENCIÓN DE ATAQUES RANSOMWARE MEDIANTE EDRS DE CÓDIGO ABIERTO","Martín Santamaría, Raúl (Tutor); Pérez Peló, Sergio (Cotutor)","2025-07-16","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Martín Santamaría, Raúl (Tutor); Pérez Peló, Sergio (Cotutor) (2025). DETECCIÓN Y PREVENCIÓN DE ATAQUES RANSOMWARE MEDIANTE EDRS DE CÓDIGO ABIERTO.","-"
"DESARROLLO DE MODELOS DE APRENDIZAJE AUTOMÁTICO PARA LA DETECCIÓN DE MALWARE","Martín Santamaría, Raúl (Tutor)","2025-07-15","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Martín Santamaría, Raúl (Tutor) (2025). DESARROLLO DE MODELOS DE APRENDIZAJE AUTOMÁTICO PARA LA DETECCIÓN DE MALWARE.","-"
"Tabu search: an application to the minimum dominating set problem","Colmenar, J Manuel; Laguna, Manuel; Martin-Santamaria, Raul","2025-07-01","10.1007/s11750-025-00697-z","N","Publicaciones","Artículo","Ciencias sociales; Discrete mathematics and combinatorics; Engenharias iii; Information systems and management; Interdisciplinar; Management science and operations research; Matemática / probabilidade e estatística; Modeling and simulation; Operations research & management science; Statistics and probability","Top","0.657","-","-","-","Q2","Colmenar, J Manuel; Laguna, Manuel; Martin-Santamaria, Raul (2025). Tabu search: an application to the minimum dominating set problem. Top, 33(2), 304-326. DOI: 10.1007/s11750-025-00697-z","WOS:001532072400003 (WoS)"
"Tabu search: an application to the minimum dominating set problem","Colmenar, J Manuel; Laguna, Manuel; Martin-Santamaria, Raul","2025-06-16","10.1007/s11750-025-00697-z","N","Publicaciones","Artículo","Ciencias sociales; Discrete mathematics and combinatorics; Engenharias iii; Information systems and management; Interdisciplinar; Management science and operations research; Matemática / probabilidade e estatística; Modeling and simulation; Operations research & management science; Statistics and probability","Top","0.657","-","-","-","Q2","Colmenar, J Manuel; Laguna, Manuel; Martin-Santamaria, Raul (2025). Tabu search: an application to the minimum dominating set problem. Top, 33(2), 304-326","WOS:001509419800001 (WoS)"
"SIEM PERSONALIZADO CON PYTHON PARA ENTORNOS CLOUD SEGUROS","Martín Santamaría, Raúl (Tutor)","2025-06-02","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Martín Santamaría, Raúl (Tutor) (2025). SIEM PERSONALIZADO CON PYTHON PARA ENTORNOS CLOUD SEGUROS.","-"
"ANÁLISIS FORENSE DE MEMORIA VOLÁTIL EN DISPOSITIVOS ARM64","Martín Santamaría, Raúl (Tutor)","2025-05-30","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Martín Santamaría, Raúl (Tutor) (2025). ANÁLISIS FORENSE DE MEMORIA VOLÁTIL EN DISPOSITIVOS ARM64.","-"
"DESARROLLO DE MALWARE EN ENTORNOS WINDOWS","Martín Santamaría, Raúl (Tutor)","2025-05-30","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Martín Santamaría, Raúl (Tutor) (2025). DESARROLLO DE MALWARE EN ENTORNOS WINDOWS.","-"
"Multiparent path relinking. An application to the power dominating set problem","Martin-Santamaria, R; Martinez-Gavara, A; Lopez-Sanchez, A D; Laguna, M","2025-05-26","10.1007/s12532-025-00286-y","N","Publicaciones","Artículo pendiente de publicación","Ciência da computação; Ciencias sociales; Computer science, software engineering; Engenharias iii; Matemática / probabilidade e estatística; Mathematics, applied; Operations research & management science; Software; Theoretical computer science","Mathematical Programming Computation","1.351","-","-","-","Q1","Martin-Santamaria, R; Martinez-Gavara, A; Lopez-Sanchez, A D; Laguna, M (2025). Multiparent path relinking. An application to the power dominating set problem. Mathematical Programming Computation, (), -. DOI: 10.1007/s12532-025-00286-y","WOS:001494854900001 (WoS)"
"INFRACTORY: AUTOMATIZACIÓN DE INFRAESTRUCTURA MULTI-CLOUD PARA EJERCICIOS DE RED TEAM","Martín Santamaría, Raúl (Tutor)","2025-05-06","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Martín Santamaría, Raúl (Tutor) (2025). INFRACTORY: AUTOMATIZACIÓN DE INFRAESTRUCTURA MULTI-CLOUD PARA EJERCICIOS DE RED TEAM.","-"
