"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"Ciencia de Datos en Proyectos Deportivos","Martín de Diego, Isaac","2025-09-01","641208-6412","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín de Diego, Isaac (2025). Ciencia de Datos en Proyectos Deportivos. Universdiad Rey Juan Carlos","2025-26_6412_641208_isaac.martin (Universidad Rey Juan Carlos)"
"Visión por Computador para el Deporte","Martín de Diego, Isaac","2025-09-01","641212-6412","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín de Diego, Isaac (2025). Visión por Computador para el Deporte. Universdiad Rey Juan Carlos","2025-26_6412_641212_isaac.martin (Universidad Rey Juan Carlos)"
"Seminarios","Martín de Diego, Isaac","2025-09-01","641217-6412","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín de Diego, Isaac (2025). Seminarios. Universdiad Rey Juan Carlos","2025-26_6412_641217_isaac.martin (Universidad Rey Juan Carlos)"
"MODELOS ESTADISTICOS PARA LA PREDICCION","Martín de Diego, Isaac","2025-09-01","2028034-2028","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín de Diego, Isaac (2025). MODELOS ESTADISTICOS PARA LA PREDICCION. Universdiad Rey Juan Carlos","2025-26_2028_2028034_isaac.martin (Universidad Rey Juan Carlos)"
"INFERENCIA ESTADISTICA","Martín de Diego, Isaac","2025-09-01","2360014-2360","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín de Diego, Isaac (2025). INFERENCIA ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2360_2360014_isaac.martin (Universidad Rey Juan Carlos)"
"MINERIA DE DATOS","Martín de Diego, Isaac","2025-09-01","2347032-2347","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín de Diego, Isaac (2025). MINERIA DE DATOS. Universdiad Rey Juan Carlos","2025-26_2347_2347032_isaac.martin (Universidad Rey Juan Carlos)"
"Trabajo Fin de Máster","Martín de Diego, Isaac","2025-09-01","641219-6412","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín de Diego, Isaac (2025). Trabajo Fin de Máster. Universdiad Rey Juan Carlos","2025-26_6412_641219_isaac.martin (Universidad Rey Juan Carlos)"
"INSTRUMENTACIÓN PARA VISIÓN","Martín de Diego, Isaac","2025-09-01","623013-6230","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín de Diego, Isaac (2025). INSTRUMENTACIÓN PARA VISIÓN. Universdiad Rey Juan Carlos","2025-26_6230_623013_isaac.martin (Universidad Rey Juan Carlos)"
"Aprendizaje Automático","Martín de Diego, Isaac","2025-09-01","641209-6412","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín de Diego, Isaac (2025). Aprendizaje Automático. Universdiad Rey Juan Carlos","2025-26_6412_641209_isaac.martin (Universidad Rey Juan Carlos)"
"APRENDIZAJE AUTOMATICO I","Martín de Diego, Isaac","2025-09-01","2360017-2360","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martín de Diego, Isaac (2025). APRENDIZAJE AUTOMATICO I. Universdiad Rey Juan Carlos","2025-26_2360_2360017_isaac.martin (Universidad Rey Juan Carlos)"
