"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"ESTADISTICA","Martínez Moguerza, Javier","2025-09-01","2265014-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martínez Moguerza, Javier (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2265_2265014_javier.moguerza (Universidad Rey Juan Carlos)"
"ESTADISTICA","Martínez Moguerza, Javier","2025-09-01","2120017-2120","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martínez Moguerza, Javier (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2120_2120017_javier.moguerza (Universidad Rey Juan Carlos)"
"ESTADISTICA (IA)","Martínez Moguerza, Javier","2025-09-01","2123019-2123","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martínez Moguerza, Javier (2025). ESTADISTICA (IA). Universdiad Rey Juan Carlos","2025-26_2123_2123019_javier.moguerza (Universidad Rey Juan Carlos)"
"Minería de Datos","Martínez Moguerza, Javier","2025-09-01","639903-6399","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martínez Moguerza, Javier (2025). Minería de Datos. Universdiad Rey Juan Carlos","2025-26_6399_639903_javier.moguerza (Universidad Rey Juan Carlos)"
"QUANTITATIVE METHODS FOR DECISION MAKING IN TOURISM","Martínez Moguerza, Javier","2025-09-01","626208-6262","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martínez Moguerza, Javier (2025). QUANTITATIVE METHODS FOR DECISION MAKING IN TOURISM. Universdiad Rey Juan Carlos","2025-26_6262_626208_javier.moguerza (Universidad Rey Juan Carlos)"
"MÉTODOS CUANTITATIVOS PARA LA TOMA DE DECISIONES EN TURISMO","Martínez Moguerza, Javier","2025-09-01","619308-6193","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martínez Moguerza, Javier (2025). MÉTODOS CUANTITATIVOS PARA LA TOMA DE DECISIONES EN TURISMO. Universdiad Rey Juan Carlos","2025-26_6193_619308_javier.moguerza (Universidad Rey Juan Carlos)"
"ESTADISTICA","Martínez Moguerza, Javier","2025-09-01","2108018-2108","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martínez Moguerza, Javier (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2108_2108018_javier.moguerza (Universidad Rey Juan Carlos)"
"Gestión y Planificación","Martínez Moguerza, Javier","2025-09-01","639905-6399","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martínez Moguerza, Javier (2025). Gestión y Planificación. Universdiad Rey Juan Carlos","2025-26_6399_639905_javier.moguerza (Universidad Rey Juan Carlos)"
"ESTADISTICA","Martínez Moguerza, Javier","2025-09-01","2243015-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martínez Moguerza, Javier (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2243_2243015_javier.moguerza (Universidad Rey Juan Carlos)"
"SISTEMAS DE INFORMACIÓN PARA GESTIÓN DEL CONOCIMIENTO","Martínez Moguerza, Javier","2025-09-01","609504-6095","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martínez Moguerza, Javier (2025). SISTEMAS DE INFORMACIÓN PARA GESTIÓN DEL CONOCIMIENTO. Universdiad Rey Juan Carlos","2025-26_6095_609504_javier.moguerza (Universidad Rey Juan Carlos)"
