"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"SISTEMAS EMPOTRADOS Y DE TIEMPO REAL","Martínez Torre, José Ignacio","2025-09-01","2061026-2061","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martínez Torre, José Ignacio (2025). SISTEMAS EMPOTRADOS Y DE TIEMPO REAL. Universdiad Rey Juan Carlos","2025-26_2061_2061026_joseignacio.martinez (Universidad Rey Juan Carlos)"
"SISTEMAS EMPOTRADOS Y DE TIEMPO REAL","Martínez Torre, José Ignacio","2025-09-01","2117041-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martínez Torre, José Ignacio (2025). SISTEMAS EMPOTRADOS Y DE TIEMPO REAL. Universdiad Rey Juan Carlos","2025-26_2117_2117041_joseignacio.martinez (Universidad Rey Juan Carlos)"
"SISTEMAS EMPOTRADOS Y DE TIEMPO REAL","Martínez Torre, José Ignacio","2025-09-01","2097014-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martínez Torre, José Ignacio (2025). SISTEMAS EMPOTRADOS Y DE TIEMPO REAL. Universdiad Rey Juan Carlos","2025-26_2097_2097014_joseignacio.martinez (Universidad Rey Juan Carlos)"
"DISEÑO DE SISTEMAS EMPOTRADOS","Martínez Torre, José Ignacio","2025-09-01","2321037-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martínez Torre, José Ignacio (2025). DISEÑO DE SISTEMAS EMPOTRADOS. Universdiad Rey Juan Carlos","2025-26_2321_2321037_joseignacio.martinez (Universidad Rey Juan Carlos)"
"SISTEMAS EMPOTRADOS Y DE TIEMPO REAL","Martínez Torre, José Ignacio","2025-09-01","2073061-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martínez Torre, José Ignacio (2025). SISTEMAS EMPOTRADOS Y DE TIEMPO REAL. Universdiad Rey Juan Carlos","2025-26_2073_2073061_joseignacio.martinez (Universidad Rey Juan Carlos)"
"SISTEMAS EMPOTRADOS Y DE TIEMPO REAL","Martínez Torre, José Ignacio","2025-09-01","2269061-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martínez Torre, José Ignacio (2025). SISTEMAS EMPOTRADOS Y DE TIEMPO REAL. Universdiad Rey Juan Carlos","2025-26_2269_2269061_joseignacio.martinez (Universidad Rey Juan Carlos)"
"SISTEMAS EMPOTRADOS Y DE TIEMPO REAL","Martínez Torre, José Ignacio","2025-09-01","2243044-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martínez Torre, José Ignacio (2025). SISTEMAS EMPOTRADOS Y DE TIEMPO REAL. Universdiad Rey Juan Carlos","2025-26_2243_2243044_joseignacio.martinez (Universidad Rey Juan Carlos)"
"SISTEMAS EMPOTRADOS Y DE TIEMPO REAL","Martínez Torre, José Ignacio","2025-09-01","2033026-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martínez Torre, José Ignacio (2025). SISTEMAS EMPOTRADOS Y DE TIEMPO REAL. Universdiad Rey Juan Carlos","2025-26_2033_2033026_joseignacio.martinez (Universidad Rey Juan Carlos)"
"DISEÑO DE SISTEMAS EMPOTRADOS","Martínez Torre, José Ignacio","2025-09-01","2032023-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martínez Torre, José Ignacio (2025). DISEÑO DE SISTEMAS EMPOTRADOS. Universdiad Rey Juan Carlos","2025-26_2032_2032023_joseignacio.martinez (Universidad Rey Juan Carlos)"
"SISTEMAS EMPOTRADOS Y DE TIEMPO REAL","Martínez Torre, José Ignacio","2025-09-01","2059026-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martínez Torre, José Ignacio (2025). SISTEMAS EMPOTRADOS Y DE TIEMPO REAL. Universdiad Rey Juan Carlos","2025-26_2059_2059026_joseignacio.martinez (Universidad Rey Juan Carlos)"
"SISTEMAS EMPOTRADOS Y DE TIEMPO REAL","Martínez Torre, José Ignacio","2025-09-01","2114038-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martínez Torre, José Ignacio (2025). SISTEMAS EMPOTRADOS Y DE TIEMPO REAL. Universdiad Rey Juan Carlos","2025-26_2114_2114038_joseignacio.martinez (Universidad Rey Juan Carlos)"
"DISEÑO DE SISTEMAS EMPOTRADOS","Martínez Torre, José Ignacio","2025-09-01","2113026-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martínez Torre, José Ignacio (2025). DISEÑO DE SISTEMAS EMPOTRADOS. Universdiad Rey Juan Carlos","2025-26_2113_2113026_joseignacio.martinez (Universidad Rey Juan Carlos)"
"SISTEMAS EMPOTRADOS Y DE TIEMPO REAL","Martínez Torre, José Ignacio","2025-09-01","2315043-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Martínez Torre, José Ignacio (2025). SISTEMAS EMPOTRADOS Y DE TIEMPO REAL. Universdiad Rey Juan Carlos","2025-26_2315_2315043_joseignacio.martinez (Universidad Rey Juan Carlos)"
