"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"INGENIERIA DE VIDEOJUEGOS","María Arribas, David","2025-09-01","2175025-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","María Arribas, David (2025). INGENIERIA DE VIDEOJUEGOS. Universdiad Rey Juan Carlos","2025-26_2175_2175025_david.maria (Universidad Rey Juan Carlos)"
"INGENIERIA DE VIDEOJUEGOS","María Arribas, David","2025-09-01","2265025-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","María Arribas, David (2025). INGENIERIA DE VIDEOJUEGOS. Universdiad Rey Juan Carlos","2025-26_2265_2265025_david.maria (Universidad Rey Juan Carlos)"
"INGENIERIA DE VIDEOJUEGOS","María Arribas, David","2025-09-01","2321026-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","María Arribas, David (2025). INGENIERIA DE VIDEOJUEGOS. Universdiad Rey Juan Carlos","2025-26_2321_2321026_david.maria (Universidad Rey Juan Carlos)"
"SISTEMA DE ANONIMIZACIÓN DE PERSONAS EN IMÁGENES UTILIZANDO REDES DE DETECCIÓN","María Arribas, David (Cotutor); Hernández García, Sergio (Tutor)","2025-07-23","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","María Arribas, David (Cotutor); Hernández García, Sergio (Tutor) (2025). SISTEMA DE ANONIMIZACIÓN DE PERSONAS EN IMÁGENES UTILIZANDO REDES DE DETECCIÓN.","-"
"VIDEOJUEGOS COMO HERRAMIENTA DE APRENDIZAJE EN EL RECONOCIMIENTO DE EMOCIONES E INTELIGENCIA EMOCIONAL","María Arribas, David (Tutor); Zapata Cáceres, María (Cotutor)","2025-07-23","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","María Arribas, David (Tutor); Zapata Cáceres, María (Cotutor) (2025). VIDEOJUEGOS COMO HERRAMIENTA DE APRENDIZAJE EN EL RECONOCIMIENTO DE EMOCIONES E INTELIGENCIA EMOCIONAL.","-"
"BITTERBRINE: DESARROLLO TÉCNICO DE UNA DEMO DE UN VIDEOJUEGO INDEPENDIENTE","María Arribas, David (Tutor); Llopis Ibor, Laura (Cotutor)","2025-07-23","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","María Arribas, David (Tutor); Llopis Ibor, Laura (Cotutor) (2025). BITTERBRINE: DESARROLLO TÉCNICO DE UNA DEMO DE UN VIDEOJUEGO INDEPENDIENTE.","-"
"BITTERBRINE: ILUSTRACIÓN Y ANIMACIÓN DE PERSONAJES Y OBJETOS 2D PARA LA DEMO DE UN VIDEOJUEGO INDEPENDIENTE","María Arribas, David (Tutor); Llopis Ibor, Laura (Cotutor)","2025-07-23","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","María Arribas, David (Tutor); Llopis Ibor, Laura (Cotutor) (2025). BITTERBRINE: ILUSTRACIÓN Y ANIMACIÓN DE PERSONAJES Y OBJETOS 2D PARA LA DEMO DE UN VIDEOJUEGO INDEPENDIENTE.","-"
"MEJORA DE LA IA DE PERSONAJES EN ANIMAL CROSSING: NEW LEAF","María Arribas, David (Tutor); Rodríguez Uribe, Nicolás (Cotutor)","2025-07-18","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","María Arribas, David (Tutor); Rodríguez Uribe, Nicolás (Cotutor) (2025). MEJORA DE LA IA DE PERSONAJES EN ANIMAL CROSSING: NEW LEAF.","-"
"PATTERN WORLD: UN VIDEOJUEGO SERIO PARA LA ENSEÑANZA DE PATRONES DE DISEÑO DE SOFTWARE","María Arribas, David (Tutor)","2025-07-16","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","María Arribas, David (Tutor) (2025). PATTERN WORLD: UN VIDEOJUEGO SERIO PARA LA ENSEÑANZA DE PATRONES DE DISEÑO DE SOFTWARE.","-"
"DESARROLLO DE HERRAMIENTAS PARA EL DESPLIEGUE AUTOMÁTICO DE LIBRERÍAS PYTHON","María Arribas, David (Tutor); Ramírez Díaz, Iván (Cotutor)","2025-07-08","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","María Arribas, David (Tutor); Ramírez Díaz, Iván (Cotutor) (2025). DESARROLLO DE HERRAMIENTAS PARA EL DESPLIEGUE AUTOMÁTICO DE LIBRERÍAS PYTHON.","-"
"LA INFLUENCIA DEL COLOR EN LAS EMOCIONES TRANSMITIDAS A TRAVES DE LOS VIDEOJUEGOS","María Arribas, David (Tutor); Llopis Ibor, Laura (Cotutor)","2025-04-14","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","María Arribas, David (Tutor); Llopis Ibor, Laura (Cotutor) (2025). LA INFLUENCIA DEL COLOR EN LAS EMOCIONES TRANSMITIDAS A TRAVES DE LOS VIDEOJUEGOS.","-"
"SIMULACIÓN DE TRÁFICO EN UN ENTORNO 3D MEDIANTE SUMO Y UNITY","María Arribas, David (Tutor)","2024-11-29","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","María Arribas, David (Tutor) (2024). SIMULACIÓN DE TRÁFICO EN UN ENTORNO 3D MEDIANTE SUMO Y UNITY.","-"
