"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"ESTRUCTURA DE COMPUTADORES","Mata Fernández, Susana","2025-09-01","2032006-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Mata Fernández, Susana (2025). ESTRUCTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2032_2032006_susana.mata (Universidad Rey Juan Carlos)"
"ESTRUCTURA DE COMPUTADORES","Mata Fernández, Susana","2025-09-01","2059013-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Mata Fernández, Susana (2025). ESTRUCTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2059_2059013_susana.mata (Universidad Rey Juan Carlos)"
"ESTRUCTURA DE COMPUTADORES","Mata Fernández, Susana","2025-09-01","2243016-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Mata Fernández, Susana (2025). ESTRUCTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2243_2243016_susana.mata (Universidad Rey Juan Carlos)"
"ESTRUCTURA DE COMPUTADORES","Mata Fernández, Susana","2025-09-01","2269017-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Mata Fernández, Susana (2025). ESTRUCTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2269_2269017_susana.mata (Universidad Rey Juan Carlos)"
"ESTRUCTURA DE COMPUTADORES","Mata Fernández, Susana","2025-09-01","2321008-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Mata Fernández, Susana (2025). ESTRUCTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2321_2321008_susana.mata (Universidad Rey Juan Carlos)"
"Metodología Aplicada","Mata Fernández, Susana","2025-09-01","634306-6343","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Mata Fernández, Susana (2025). Metodología Aplicada. Universdiad Rey Juan Carlos","2025-26_6343_634306_susana.mata (Universidad Rey Juan Carlos)"
"ESTRUCTURA DE COMPUTADORES","Mata Fernández, Susana","2025-09-01","2360008-2360","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Mata Fernández, Susana (2025). ESTRUCTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2360_2360008_susana.mata (Universidad Rey Juan Carlos)"
"ESTRUCTURA DE COMPUTADORES","Mata Fernández, Susana","2025-09-01","2073017-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Mata Fernández, Susana (2025). ESTRUCTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2073_2073017_susana.mata (Universidad Rey Juan Carlos)"
"ESTRUCTURA DE COMPUTADORES","Mata Fernández, Susana","2025-09-01","2113009-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Mata Fernández, Susana (2025). ESTRUCTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2113_2113009_susana.mata (Universidad Rey Juan Carlos)"
"Miembro. Programa de Doctorado en Tecnologías de la Información y las Comunicaciones","Mata Fernández, Susana","2025-01-01","1813533-4954","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
