"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"ARQUITECTURA DE COMPUTADORES","Mazadiego González, Ángel","2025-09-01","2285021-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Mazadiego González, Ángel (2025). ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2285_2285021_angel.mazadiego (Universidad Rey Juan Carlos)"
"ARQUITECTURAS GRAFICAS","Mazadiego González, Ángel","2025-09-01","2265018-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Mazadiego González, Ángel (2025). ARQUITECTURAS GRAFICAS. Universdiad Rey Juan Carlos","2025-26_2265_2265018_angel.mazadiego (Universidad Rey Juan Carlos)"
"ARQUITECTURAS GRAFICAS","Mazadiego González, Ángel","2024-09-01","2265018-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Mazadiego González, Ángel (2024). ARQUITECTURAS GRAFICAS. Universdiad Rey Juan Carlos","2024-25_2265_2265018_angel.mazadiego (Universidad Rey Juan Carlos)"
"ARQUITECTURA DE COMPUTADORES","Mazadiego González, Ángel","2024-09-01","2285021-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Mazadiego González, Ángel (2024). ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2024-25_2285_2285021_angel.mazadiego (Universidad Rey Juan Carlos)"
"ARQUITECTURAS GRAFICAS","Mazadiego González, Ángel","2023-09-01","2265018-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Mazadiego González, Ángel (2023). ARQUITECTURAS GRAFICAS. Universdiad Rey Juan Carlos","2023-24_2265_2265018_angel.mazadiego (Universidad Rey Juan Carlos)"
"ARQUITECTURA DE COMPUTADORES","Mazadiego González, Ángel","2023-09-01","2285021-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Mazadiego González, Ángel (2023). ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2023-24_2285_2285021_angel.mazadiego (Universidad Rey Juan Carlos)"
"ARQUITECTURAS GRAFICAS","Mazadiego González, Ángel","2022-09-01","2265018-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Mazadiego González, Ángel (2022). ARQUITECTURAS GRAFICAS. Universdiad Rey Juan Carlos","2022-23_2265_2265018_angel.mazadiego (Universidad Rey Juan Carlos)"
"ARQUITECTURA DE COMPUTADORES","Mazadiego González, Ángel","2022-09-01","2285021-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Mazadiego González, Ángel (2022). ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2022-23_2285_2285021_angel.mazadiego (Universidad Rey Juan Carlos)"
"ARQUITECTURAS GRAFICAS","Mazadiego González, Ángel","2021-09-01","2265018-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Mazadiego González, Ángel (2021). ARQUITECTURAS GRAFICAS. Universdiad Rey Juan Carlos","2021-22_2265_2265018_angel.mazadiego (Universidad Rey Juan Carlos)"
"ARQUITECTURA DE COMPUTADORES","Mazadiego González, Ángel","2021-09-01","2285021-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Mazadiego González, Ángel (2021). ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2021-22_2285_2285021_angel.mazadiego (Universidad Rey Juan Carlos)"
