"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"ESTADISTICA","Montes Díez, Raquel","2025-09-01","2117001-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Montes Díez, Raquel (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2117_2117001_raquel.montes (Universidad Rey Juan Carlos)"
"ESTADISTICA","Montes Díez, Raquel","2025-09-01","2033011-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Montes Díez, Raquel (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2033_2033011_raquel.montes (Universidad Rey Juan Carlos)"
"ESTADISTICA","Montes Díez, Raquel","2025-09-01","2061011-2061","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Montes Díez, Raquel (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2061_2061011_raquel.montes (Universidad Rey Juan Carlos)"
"PROBABILIDAD Y ESTADISTICA","Montes Díez, Raquel","2025-09-01","2361008-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Montes Díez, Raquel (2025). PROBABILIDAD Y ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2361_2361008_raquel.montes (Universidad Rey Juan Carlos)"
"ESTADISTICA","Montes Díez, Raquel","2025-09-01","2034011-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Montes Díez, Raquel (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2034_2034011_raquel.montes (Universidad Rey Juan Carlos)"
"ESTADISTICA","Montes Díez, Raquel","2025-09-01","2285009-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Montes Díez, Raquel (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2285_2285009_raquel.montes (Universidad Rey Juan Carlos)"
"ESTADISTICA","Montes Díez, Raquel","2025-09-01","2118001-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Montes Díez, Raquel (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2118_2118001_raquel.montes (Universidad Rey Juan Carlos)"
"ESTADISTICA","Montes Díez, Raquel","2025-09-01","2114011-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Montes Díez, Raquel (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2114_2114011_raquel.montes (Universidad Rey Juan Carlos)"
"IMPROVING MOTIVATION IN FUTURE TEACHERS: FLIPPED CLASSROOM AND GAMIFICATION USING DIGITAL BADGES","Borras-Gene, Oriol; Diez, Raquel Montes","2025-01-01","10.28945/5634","Y","Publicaciones","Artículo","Ciencias sociales; Computer science (miscellaneous); Education; Education & educational research","Journal Of Information Technology Education: Innovations In Practice","0.306","-","-","-","Q3","Borras-Gene, Oriol; Diez, Raquel Montes (2025). IMPROVING MOTIVATION IN FUTURE TEACHERS: FLIPPED CLASSROOM AND GAMIFICATION USING DIGITAL BADGES. Journal Of Information Technology Education: Innovations In Practice, 24(), 21-. DOI: 10.28945/5634","10.28945/5634 (Crossref);10399565 (iMarina);W7091328057 (OpenAlex);WOS:001603876000002 (WoS)"
"Miembro. Programa de Doctorado en Ciencias","Montes Díez, Raquel","2025-01-01","1813251-4412","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
