"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"COMPUTACION DE ALTAS PRESTACIONES","Moreno San Segundo, José Ángel","2025-09-01","2321043-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Moreno San Segundo, José Ángel (2025). COMPUTACION DE ALTAS PRESTACIONES. Universdiad Rey Juan Carlos","2025-26_2321_2321043_jose.moreno.san (Universidad Rey Juan Carlos)"
"COMPUTACION DE ALTAS PRESTACIONES","Moreno San Segundo, José Ángel","2025-09-01","2032028-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Moreno San Segundo, José Ángel (2025). COMPUTACION DE ALTAS PRESTACIONES. Universdiad Rey Juan Carlos","2025-26_2032_2032028_jose.moreno.san (Universidad Rey Juan Carlos)"
"AMPLIACION DE SISTEMAS OPERATIVOS","Moreno San Segundo, José Ángel","2025-09-01","2321024-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Moreno San Segundo, José Ángel (2025). AMPLIACION DE SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2025-26_2321_2321024_jose.moreno.san (Universidad Rey Juan Carlos)"
"AMPLIACION DE SISTEMAS OPERATIVOS","Moreno San Segundo, José Ángel","2025-09-01","2032022-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Moreno San Segundo, José Ángel (2025). AMPLIACION DE SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2025-26_2032_2032022_jose.moreno.san (Universidad Rey Juan Carlos)"
"COMPUTACION DE ALTAS PRESTACIONES","Moreno San Segundo, José Ángel","2025-09-01","2113033-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Moreno San Segundo, José Ángel (2025). COMPUTACION DE ALTAS PRESTACIONES. Universdiad Rey Juan Carlos","2025-26_2113_2113033_jose.moreno.san (Universidad Rey Juan Carlos)"
"ARQUITECTURAS DE ALTAS PRESTACIONES Y COMPUTACION EN LA NUBE","Moreno San Segundo, José Ángel","2025-09-01","2360029-2360","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Moreno San Segundo, José Ángel (2025). ARQUITECTURAS DE ALTAS PRESTACIONES Y COMPUTACION EN LA NUBE. Universdiad Rey Juan Carlos","2025-26_2360_2360029_jose.moreno.san (Universidad Rey Juan Carlos)"
"AMPLIACION DE SISTEMAS OPERATIVOS","Moreno San Segundo, José Ángel","2025-09-01","2113023-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Moreno San Segundo, José Ángel (2025). AMPLIACION DE SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2025-26_2113_2113023_jose.moreno.san (Universidad Rey Juan Carlos)"
"SISTEMAS DE ECUACIONES PRECONDICIONADOS: ESTUDIO DE LA GANANCIA EN CONVERGENCIA Y PARALELIZACIÓN","Moreno San Segundo, José Ángel (Tutor)","2025-07-22","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Moreno San Segundo, José Ángel (Tutor) (2025). SISTEMAS DE ECUACIONES PRECONDICIONADOS: ESTUDIO DE LA GANANCIA EN CONVERGENCIA Y PARALELIZACIÓN.","-"
"IMPLEMENTACIÓN DEL MÉTODO DEL GRADIENTE CONJUGADO CON MATRICES LDU UTILIZANDO CUDA PARA ACELERAR LA RESOLUCIÓN DE SISTEMAS DE ECUACIONES LINEALES","Moreno San Segundo, José Ángel (Tutor)","2025-07-22","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Moreno San Segundo, José Ángel (Tutor) (2025). IMPLEMENTACIÓN DEL MÉTODO DEL GRADIENTE CONJUGADO CON MATRICES LDU UTILIZANDO CUDA PARA ACELERAR LA RESOLUCIÓN DE SISTEMAS DE ECUACIONES LINEALES.","-"
"IMPLEMENTACIÓN DE UN ALGORITMO PARA OPTIMIZAR EXPRESSION TEMPLATES","Moreno San Segundo, José Ángel (Tutor)","2025-07-04","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Moreno San Segundo, José Ángel (Tutor) (2025). IMPLEMENTACIÓN DE UN ALGORITMO PARA OPTIMIZAR EXPRESSION TEMPLATES.","-"
