"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"-","Muñoz Mohedano, Miguel Ángel","2025-09-12","-","-","Breve Presentación","Breve Presentación General","-","-","-","-","-","-","-","-","-"
"ARQUITECTURAS AVANZADAS DE COMPUTADORES","Muñoz Mohedano, Miguel Ángel","2025-09-01","2114048-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Muñoz Mohedano, Miguel Ángel (2025). ARQUITECTURAS AVANZADAS DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2114_2114048_miguel.munoz (Universidad Rey Juan Carlos)"
"ARQUITECTURAS AVANZADAS DE COMPUTADORES","Muñoz Mohedano, Miguel Ángel","2025-09-01","2033039-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Muñoz Mohedano, Miguel Ángel (2025). ARQUITECTURAS AVANZADAS DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2033_2033039_miguel.munoz (Universidad Rey Juan Carlos)"
"SEGURIDAD INFORMATICA","Muñoz Mohedano, Miguel Ángel","2025-09-01","2243050-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Muñoz Mohedano, Miguel Ángel (2025). SEGURIDAD INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2243_2243050_miguel.munoz (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Muñoz Mohedano, Miguel Ángel","2025-09-01","2117011-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Muñoz Mohedano, Miguel Ángel (2025). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2117_2117011_miguel.munoz (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Muñoz Mohedano, Miguel Ángel","2025-09-01","2315009-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Muñoz Mohedano, Miguel Ángel (2025). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2315_2315009_miguel.munoz (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Muñoz Mohedano, Miguel Ángel","2025-09-01","2114007-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Muñoz Mohedano, Miguel Ángel (2025). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2114_2114007_miguel.munoz (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LA INFORMATICA","Muñoz Mohedano, Miguel Ángel","2025-09-01","2059003-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Muñoz Mohedano, Miguel Ángel (2025). FUNDAMENTOS FISICOS DE LA INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2059_2059003_miguel.munoz (Universidad Rey Juan Carlos)"
"ARQUITECTURAS AVANZADAS DE COMPUTADORES","Muñoz Mohedano, Miguel Ángel","2025-09-01","2059039-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Muñoz Mohedano, Miguel Ángel (2025). ARQUITECTURAS AVANZADAS DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2059_2059039_miguel.munoz (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Muñoz Mohedano, Miguel Ángel","2025-09-01","2033009-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Muñoz Mohedano, Miguel Ángel (2025). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2033_2033009_miguel.munoz (Universidad Rey Juan Carlos)"
"SEGURIDAD INFORMATICA","Muñoz Mohedano, Miguel Ángel","2025-09-01","2073042-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Muñoz Mohedano, Miguel Ángel (2025). SEGURIDAD INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2073_2073042_miguel.munoz (Universidad Rey Juan Carlos)"
"SISTEMAS OPERATIVOS","Muñoz Mohedano, Miguel Ángel","2025-09-01","2361019-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Muñoz Mohedano, Miguel Ángel (2025). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2025-26_2361_2361019_miguel.munoz (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE COMPUTADORES","Muñoz Mohedano, Miguel Ángel","2025-09-01","2097011-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Muñoz Mohedano, Miguel Ángel (2025). FUNDAMENTOS DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2097_2097011_miguel.munoz (Universidad Rey Juan Carlos)"
"SEGURIDAD INFORMATICA","Muñoz Mohedano, Miguel Ángel","2025-09-01","2269042-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Muñoz Mohedano, Miguel Ángel (2025). SEGURIDAD INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2269_2269042_miguel.munoz (Universidad Rey Juan Carlos)"
"SEGURIDAD INFORMATICA","Muñoz Mohedano, Miguel Ángel","2025-09-01","2059021-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Muñoz Mohedano, Miguel Ángel (2025). SEGURIDAD INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2059_2059021_miguel.munoz (Universidad Rey Juan Carlos)"
"Manejo Básico de Moodle","Muñoz Mohedano, Miguel Ángel","2025-04-09","-","-","Formación","Perfeccionamiento Docente","-","-","-","-","-","-","-","Muñoz Mohedano, Miguel Ángel (2025). Manejo Básico de Moodle. Universidad Politécnica de Madrid","-"
