"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"ESTADISTICA","Olaso Redondo, Pablo","2025-09-01","2034011-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Olaso Redondo, Pablo (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2034_2034011_pablo.olaso (Universidad Rey Juan Carlos)"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Olaso Redondo, Pablo","2025-09-01","2243019-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Olaso Redondo, Pablo (2025). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2025-26_2243_2243019_pablo.olaso (Universidad Rey Juan Carlos)"
"MODELADO GEOMETRICO","Olaso Redondo, Pablo","2025-09-01","2175009-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Olaso Redondo, Pablo (2025). MODELADO GEOMETRICO. Universdiad Rey Juan Carlos","2025-26_2175_2175009_pablo.olaso (Universidad Rey Juan Carlos)"
"ESTADISTICA","Olaso Redondo, Pablo","2025-09-01","2118001-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Olaso Redondo, Pablo (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2118_2118001_pablo.olaso (Universidad Rey Juan Carlos)"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Olaso Redondo, Pablo","2025-09-01","2059017-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Olaso Redondo, Pablo (2025). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2025-26_2059_2059017_pablo.olaso (Universidad Rey Juan Carlos)"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Olaso Redondo, Pablo","2025-09-01","2361014-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Olaso Redondo, Pablo (2025). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2025-26_2361_2361014_pablo.olaso (Universidad Rey Juan Carlos)"
"OPTIMIZACION II","Olaso Redondo, Pablo","2025-09-01","2360019-2360","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Olaso Redondo, Pablo (2025). OPTIMIZACION II. Universdiad Rey Juan Carlos","2025-26_2360_2360019_pablo.olaso (Universidad Rey Juan Carlos)"
"MODELADO GEOMETRICO","Olaso Redondo, Pablo","2025-09-01","2321006-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Olaso Redondo, Pablo (2025). MODELADO GEOMETRICO. Universdiad Rey Juan Carlos","2025-26_2321_2321006_pablo.olaso (Universidad Rey Juan Carlos)"
"ESTADISTICA","Olaso Redondo, Pablo","2025-09-01","2285009-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Olaso Redondo, Pablo (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2285_2285009_pablo.olaso (Universidad Rey Juan Carlos)"
"Estadística","Olaso Redondo, Pablo","2025-09-01","2395010-2395","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Olaso Redondo, Pablo (2025). Estadística. Universdiad Rey Juan Carlos","2025-26_2395_2395010_pablo.olaso (Universidad Rey Juan Carlos)"
"ESTADISTICA","Olaso Redondo, Pablo","2025-09-01","2114011-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Olaso Redondo, Pablo (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2114_2114011_pablo.olaso (Universidad Rey Juan Carlos)"
"ESTADISTICA","Olaso Redondo, Pablo","2021-09-01","2286012-2286","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Olaso Redondo, Pablo (2021). ESTADISTICA. Universdiad Rey Juan Carlos","2021-22_2286_2286012_pablo.olaso (Universidad Rey Juan Carlos)"
