"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"PROGRAMACION ORIENTADA A OBJETOS","Ortega del Campo, David","2025-09-01","2034012-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ortega del Campo, David (2025). PROGRAMACION ORIENTADA A OBJETOS. Universdiad Rey Juan Carlos","2025-26_2034_2034012_david.ortega.delcampo (Universidad Rey Juan Carlos)"
"REDES DE COMPUTADORES","Ortega del Campo, David","2025-09-01","2315029-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ortega del Campo, David (2025). REDES DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2315_2315029_david.ortega.delcampo (Universidad Rey Juan Carlos)"
"REDES DE COMPUTADORES","Ortega del Campo, David","2025-09-01","2321035-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ortega del Campo, David (2025). REDES DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2321_2321035_david.ortega.delcampo (Universidad Rey Juan Carlos)"
"REDES DE COMPUTADORES","Ortega del Campo, David","2025-09-01","2033018-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ortega del Campo, David (2025). REDES DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2033_2033018_david.ortega.delcampo (Universidad Rey Juan Carlos)"
"PROGRAMACION AVANZADA","Ortega del Campo, David","2025-09-01","2285013-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ortega del Campo, David (2025). PROGRAMACION AVANZADA. Universdiad Rey Juan Carlos","2025-26_2285_2285013_david.ortega.delcampo (Universidad Rey Juan Carlos)"
"REDES DE COMPUTADORES","Ortega del Campo, David","2025-09-01","2114018-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ortega del Campo, David (2025). REDES DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2114_2114018_david.ortega.delcampo (Universidad Rey Juan Carlos)"
"PROGRAMACION ORIENTADA A OBJETOS","Ortega del Campo, David","2025-09-01","2114012-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ortega del Campo, David (2025). PROGRAMACION ORIENTADA A OBJETOS. Universdiad Rey Juan Carlos","2025-26_2114_2114012_david.ortega.delcampo (Universidad Rey Juan Carlos)"
"PROGRAMACION ORIENTADA A OBJETOS","Ortega del Campo, David","2025-09-01","2118014-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ortega del Campo, David (2025). PROGRAMACION ORIENTADA A OBJETOS. Universdiad Rey Juan Carlos","2025-26_2118_2118014_david.ortega.delcampo (Universidad Rey Juan Carlos)"
"INSTRUMENTACIÓN PARA VISIÓN","Ortega del Campo, David","2025-09-01","623013-6230","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ortega del Campo, David (2025). INSTRUMENTACIÓN PARA VISIÓN. Universdiad Rey Juan Carlos","2025-26_6230_623013_david.ortega.delcampo (Universidad Rey Juan Carlos)"
"Visión por Computador para el Deporte","Ortega del Campo, David","2025-09-01","641212-6412","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ortega del Campo, David (2025). Visión por Computador para el Deporte. Universdiad Rey Juan Carlos","2025-26_6412_641212_david.ortega.delcampo (Universidad Rey Juan Carlos)"
