"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"INTELIGENCIA ARTIFICIAL","Ossowski, Dirk Sascha","2025-09-01","2097049-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ossowski, Dirk Sascha (2025). INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2097_2097049_sascha.ossowski (Universidad Rey Juan Carlos)"
"INTELIGENCIA ARTIFICIAL","Ossowski, Dirk Sascha","2025-09-01","2061028-2061","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ossowski, Dirk Sascha (2025). INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2061_2061028_sascha.ossowski (Universidad Rey Juan Carlos)"
"SISTEMAS MULTI-AGENTE","Ossowski, Dirk Sascha","2025-09-01","2361029-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ossowski, Dirk Sascha (2025). SISTEMAS MULTI-AGENTE. Universdiad Rey Juan Carlos","2025-26_2361_2361029_sascha.ossowski (Universidad Rey Juan Carlos)"
"INTELIGENCIA ARTIFICIAL","Ossowski, Dirk Sascha","2025-09-01","2243055-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ossowski, Dirk Sascha (2025). INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2243_2243055_sascha.ossowski (Universidad Rey Juan Carlos)"
"INTELIGENCIA ARTIFICIAL","Ossowski, Dirk Sascha","2025-09-01","2315032-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ossowski, Dirk Sascha (2025). INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2315_2315032_sascha.ossowski (Universidad Rey Juan Carlos)"
"INTELIGENCIA ARTIFICIAL","Ossowski, Dirk Sascha","2025-09-01","2033028-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ossowski, Dirk Sascha (2025). INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2033_2033028_sascha.ossowski (Universidad Rey Juan Carlos)"
"SISTEMAS INTELIGENTES","Ossowski, Dirk Sascha","2025-09-01","2032030-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ossowski, Dirk Sascha (2025). SISTEMAS INTELIGENTES. Universdiad Rey Juan Carlos","2025-26_2032_2032030_sascha.ossowski (Universidad Rey Juan Carlos)"
"TRABAJO FIN DE MÁSTER","Ossowski, Dirk Sascha","2025-09-01","635510-6355","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ossowski, Dirk Sascha (2025). TRABAJO FIN DE MÁSTER. Universdiad Rey Juan Carlos","2025-26_6355_635510_sascha.ossowski (Universidad Rey Juan Carlos)"
"INTELIGENCIA ARTIFICIAL","Ossowski, Dirk Sascha","2025-09-01","2059028-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ossowski, Dirk Sascha (2025). INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2059_2059028_sascha.ossowski (Universidad Rey Juan Carlos)"
"SISTEMAS INTELIGENTES","Ossowski, Dirk Sascha","2025-09-01","2113039-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ossowski, Dirk Sascha (2025). SISTEMAS INTELIGENTES. Universdiad Rey Juan Carlos","2025-26_2113_2113039_sascha.ossowski (Universidad Rey Juan Carlos)"
