"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"ANIMACION 3D","Otaduy Tristán, Miguel Ángel","2025-09-01","2175023-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Otaduy Tristán, Miguel Ángel (2025). ANIMACION 3D. Universdiad Rey Juan Carlos","2025-26_2175_2175023_miguel.otaduy (Universidad Rey Juan Carlos)"
"FISICA PARA VIDEOJUEGOS","Otaduy Tristán, Miguel Ángel","2025-09-01","2175002-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Otaduy Tristán, Miguel Ángel (2025). FISICA PARA VIDEOJUEGOS. Universdiad Rey Juan Carlos","2025-26_2175_2175002_miguel.otaduy (Universidad Rey Juan Carlos)"
"Animación y Simulación Avanzada-I","Otaduy Tristán, Miguel Ángel","2025-09-01","634310-6343","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Otaduy Tristán, Miguel Ángel (2025). Animación y Simulación Avanzada-I. Universdiad Rey Juan Carlos","2025-26_6343_634310_miguel.otaduy (Universidad Rey Juan Carlos)"
"ANIMACION 3D","Otaduy Tristán, Miguel Ángel","2025-09-01","2321029-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Otaduy Tristán, Miguel Ángel (2025). ANIMACION 3D. Universdiad Rey Juan Carlos","2025-26_2321_2321029_miguel.otaduy (Universidad Rey Juan Carlos)"
"FISICA PARA VIDEOJUEGOS","Otaduy Tristán, Miguel Ángel","2025-09-01","2321001-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Otaduy Tristán, Miguel Ángel (2025). FISICA PARA VIDEOJUEGOS. Universdiad Rey Juan Carlos","2025-26_2321_2321001_miguel.otaduy (Universidad Rey Juan Carlos)"
"Painless Differentiable Rotation Dynamics","Romanya-serrasolsas, Magi; Casafranca, Juan j; Otaduy, Miguel a","2025-08-01","10.1145/3730944","N","Publicaciones","Artículo","Ciência da computação; Computer graphics and computer-aided design; Computer science, software engineering; Computer science, software, graphics, programming; Matemática / probabilidade e estatística","Acm Transactions On Graphics","2.965","-","-","-","Q1","Romanya-serrasolsas, Magi; Casafranca, Juan j; Otaduy, Miguel a (2025). Painless Differentiable Rotation Dynamics. Acm Transactions On Graphics, 44(4), 157-. DOI: 10.1145/3730944","WOS:001543932600001 (WoS)"
"Characterization of spine and torso stiffness via differentiable biomechanics","Koutras, Christos; Shayestehpour, Hamed; Perez, Jesus; Wong, Christian; Rasmussen, John; Otaduy, Miguel A","2025-07-01","10.1016/j.media.2025.103573","N","Publicaciones","Artículo","Ciência da computação; Computer graphics and computer-aided design; Computer science, artificial intelligence; Computer science, interdisciplinary applications; Computer vision and pattern recognition; Engenharias iv; Engineering, biomedical; Health informatics; Materiais; Radiological and ultrasound technology; Radiology, nuclear medicine & medical imaging; Radiology, nuclear medicine and imaging","Medical Image Analysis","3.289","0","-","-","Q1","Koutras, Christos; Shayestehpour, Hamed; Perez, Jesus; Wong, Christian; Rasmussen, John; Otaduy, Miguel A (2025). Characterization of spine and torso stiffness via differentiable biomechanics. Medical Image Analysis, 103(), 103573-. DOI: 10.1016/j.media.2025.103573","40273726 (PMID);10303316 (iMarina);2-s2.0-105003280409 (Scopus);40273726 (Europe PMC);40273726 (Pubmed);WOS:001479540400001 (WoS)"
"Miembro. Programa de Doctorado en Tecnologías de la Información y las Comunicaciones","Otaduy Tristán, Miguel Ángel","2025-01-01","1813541-5246","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
"Desarrollo de Plataformas para el Estudio de Audio Espacial en Avatares de Telepresencia.","Casas Guix, Dan (Investigador/a); Garre del Olmo, Carlos (Investigador principal (IP)); López Moreno, Jorge Félix (Investigador/a); Sánchez Campos, Alberto (Investigador/a); Otaduy Tristán, Miguel Ángel (Investigador/a)","2025-01-01","2024/SOLCON-138160","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","","-","-","-","-","-","-","Ref.:2024/SOLCON-138160. Desarrollo de Plataformas para el Estudio de Audio Espacial en Avatares de Telepresencia.. Casas Guix, Dan (Investigador/a); Garre del Olmo, Carlos (Investigador principal (IP)); López Moreno, Jorge Félix (Investigador/a); Sánchez Campos, Alberto (Investigador/a); Otaduy Tristán, Miguel Ángel (Investigador/a).  Financiadora: Universidad Rey Juan Carlos  (2025-01-01 / 2025-12-31)","M3734 (Universidad Rey Juan Carlos)"
"Tramo de Investigación (Sexenio)","Otaduy Tristán, Miguel Ángel","2024-12-31","-","-","Reconocimientos","Tramo de Investigación (Sexenio)","-","-","-","-","-","-","-","Tramo de Investigación (Sexenio) (2024)","miguel.otaduy-sexenios (Universidad Rey Juan Carlos)"
"Data-driven design of expressive reduced models for deformation and contact","Otaduy Tristán, Miguel Ángel (Otros) Doctorando: CRISTIAN ROMERO GARCIA","2024-12-04","-","-","Dirección de Tesis, TFG, TFM, etc.","Tesis Doctoral","-","-","-","-","-","-","-","Otaduy Tristán, Miguel Ángel (Otros) Doctorando: CRISTIAN ROMERO GARCIA (2024). Data-driven design of expressive reduced models for deformation and contact.","-"
"A Feasibility Study of a Controlled Standing Fulcrum Side-Bending Test in Adolescent Idiopathic Scoliosis","Wong, CS; Koutras, C; Shayestehpour, H; Dahl, B; Otaduya, MA; Rasmussen, J","2024-12-01","10.3390/jcm13247809","Y","Publicaciones","Artículo","Ciencias humanas; Ciencias sociales; Medicine (all); Medicine (miscellaneous); Medicine, general & internal","Journal Of Clinical Medicine","0.919","0","-","-","Q1","Wong, CS; Koutras, C; Shayestehpour, H; Dahl, B; Otaduya, MA; Rasmussen, J (2024). A Feasibility Study of a Controlled Standing Fulcrum Side-Bending Test in Adolescent Idiopathic Scoliosis. Journal Of Clinical Medicine, 13(24), 7809-. DOI: 10.3390/jcm13247809","39768732 (PMID);10260590 (iMarina);2-s2.0-85213287651 (Scopus);39768732 (Europe PMC);39768732 (Pubmed);WOS:001386813000001 (WoS)"
"Resolving Collisions in Dense 3D Crowd Animations: Supplemental Material","Gomez-Nogales, G; Prieto-Martin, M; Romero, C; Comino-Trinidad, M; Ramon, P; Olivier, AH; Hoyet, L; Otaduy, MA; Pettre, J; Casas, D","2024-10-01","-","-","Publicaciones","Editorial","Ciência da computação; Computer graphics and computer-aided design; Computer science, software engineering; Computer science, software, graphics, programming; Matemática / probabilidade e estatística","Acm Transactions On Graphics","2.965","-","-","-","Q1","Gomez-Nogales, G; Prieto-Martin, M; Romero, C; Comino-Trinidad, M; Ramon, P; Olivier, AH; Hoyet, L; Otaduy, MA; Pettre, J; Casas, D (2024). Resolving Collisions in Dense 3D Crowd Animations: Supplemental Material. Acm Transactions On Graphics, 43(5), 163-","WOS:001326849100002 (WoS)"
"Enrichment of Subspace Models for Fast Simulation and Distance Queries","Otaduy Tristán, Miguel Ángel (Otros) Doctorando: ZHONGYUN HE","2024-09-20","-","-","Dirección de Tesis, TFG, TFM, etc.","Tesis Doctoral","-","-","-","-","-","-","-","Otaduy Tristán, Miguel Ángel (Otros) Doctorando: ZHONGYUN HE (2024). Enrichment of Subspace Models for Fast Simulation and Distance Queries.","-"
"Computational Homogenization of Thin-Shell Microstructures","Otaduy Tristán, Miguel Ángel (Otros) Doctorando: ANTOINE JEAN-EDOUARD CHAN-LOCK","2024-09-13","-","-","Dirección de Tesis, TFG, TFM, etc.","Tesis Doctoral","-","-","-","-","-","-","-","Otaduy Tristán, Miguel Ángel (Otros) Doctorando: ANTOINE JEAN-EDOUARD CHAN-LOCK (2024). Computational Homogenization of Thin-Shell Microstructures.","-"
