"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"JUEGOS PARA WEB Y REDES SOCIALES","Palacios Alonso, Daniel","2025-09-01","2265038-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Palacios Alonso, Daniel (2025). JUEGOS PARA WEB Y REDES SOCIALES. Universdiad Rey Juan Carlos","2025-26_2265_2265038_daniel.palacios (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Palacios Alonso, Daniel","2025-09-01","2265007-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Palacios Alonso, Daniel (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2265_2265007_daniel.palacios (Universidad Rey Juan Carlos)"
"Tecnología de Juegos","Palacios Alonso, Daniel","2025-09-01","634309-6343","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Palacios Alonso, Daniel (2025). Tecnología de Juegos. Universdiad Rey Juan Carlos","2025-26_6343_634309_daniel.palacios (Universidad Rey Juan Carlos)"
"JUEGOS PARA WEB Y REDES SOCIALES","Palacios Alonso, Daniel","2025-09-01","2321042-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Palacios Alonso, Daniel (2025). JUEGOS PARA WEB Y REDES SOCIALES. Universdiad Rey Juan Carlos","2025-26_2321_2321042_daniel.palacios (Universidad Rey Juan Carlos)"
"INTRODUCCIÓN A LA INVESTIGACIÓN EN VISIÓN ARTIFICIAL","Palacios Alonso, Daniel","2025-09-01","623017-6230","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Palacios Alonso, Daniel (2025). INTRODUCCIÓN A LA INVESTIGACIÓN EN VISIÓN ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_6230_623017_daniel.palacios (Universidad Rey Juan Carlos)"
"ÁREAS COMPETENCIALES DE SEGURIDAD Y DE RESOLUCIÓN DE PROBLEMAS","Palacios Alonso, Daniel","2025-09-01","630406-6304","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Palacios Alonso, Daniel (2025). ÁREAS COMPETENCIALES DE SEGURIDAD Y DE RESOLUCIÓN DE PROBLEMAS. Universdiad Rey Juan Carlos","2025-26_6304_630406_daniel.palacios (Universidad Rey Juan Carlos)"
"JUEGOS PARA WEB Y REDES SOCIALES","Palacios Alonso, Daniel","2025-09-01","2175038-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Palacios Alonso, Daniel (2025). JUEGOS PARA WEB Y REDES SOCIALES. Universdiad Rey Juan Carlos","2025-26_2175_2175038_daniel.palacios (Universidad Rey Juan Carlos)"
"Metodología Aplicada","Palacios Alonso, Daniel","2025-09-01","634306-6343","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Palacios Alonso, Daniel (2025). Metodología Aplicada. Universdiad Rey Juan Carlos","2025-26_6343_634306_daniel.palacios (Universidad Rey Juan Carlos)"
"Áreas Competenciales de Seguridad y de Resolución de Problemas","Palacios Alonso, Daniel","2025-09-01","641906-6419","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Palacios Alonso, Daniel (2025). Áreas Competenciales de Seguridad y de Resolución de Problemas. Universdiad Rey Juan Carlos","2025-26_6419_641906_daniel.palacios (Universidad Rey Juan Carlos)"
"Obtención y Almacenamiento de Datos Deportivos","Palacios Alonso, Daniel","2025-09-01","641205-6412","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Palacios Alonso, Daniel (2025). Obtención y Almacenamiento de Datos Deportivos. Universdiad Rey Juan Carlos","2025-26_6412_641205_daniel.palacios (Universidad Rey Juan Carlos)"
