"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"INTERACCION PERSONA-MAQUINA Y USABILIDAD","Palomar González, Esther","2025-09-01","2265026-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Palomar González, Esther (2025). INTERACCION PERSONA-MAQUINA Y USABILIDAD. Universdiad Rey Juan Carlos","2025-26_2265_2265026_esther.palomar (Universidad Rey Juan Carlos)"
"SEGURIDAD INFORMATICA","Palomar González, Esther","2025-09-01","2034027-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Palomar González, Esther (2025). SEGURIDAD INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2034_2034027_esther.palomar (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA INFORMATICA","Palomar González, Esther","2025-09-01","2118011-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Palomar González, Esther (2025). INTRODUCCION A LA INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2118_2118011_esther.palomar (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA INFORMATICA","Palomar González, Esther","2025-09-01","2034009-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Palomar González, Esther (2025). INTRODUCCION A LA INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2034_2034009_esther.palomar (Universidad Rey Juan Carlos)"
"SEGURIDAD INFORMATICA","Palomar González, Esther","2025-09-01","2316044-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Palomar González, Esther (2025). SEGURIDAD INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2316_2316044_esther.palomar (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Palomar González, Esther","2025-09-01","2032008-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Palomar González, Esther (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2032_2032008_esther.palomar (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA INFORMATICA","Palomar González, Esther","2025-09-01","2316009-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Palomar González, Esther (2025). INTRODUCCION A LA INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2316_2316009_esther.palomar (Universidad Rey Juan Carlos)"
"ESTRUCTURA DE COMPUTADORES","Palomar González, Esther","2025-09-01","2285018-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Palomar González, Esther (2025). ESTRUCTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2285_2285018_esther.palomar (Universidad Rey Juan Carlos)"
"SEGURIDAD INFORMATICA","Palomar González, Esther","2025-09-01","2118043-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Palomar González, Esther (2025). SEGURIDAD INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2118_2118043_esther.palomar (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Palomar González, Esther","2025-09-01","2113008-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Palomar González, Esther (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2113_2113008_esther.palomar (Universidad Rey Juan Carlos)"
