"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"INTRODUCCION A LA PROGRAMACION","Pantrigo Fernández, Juan José","2025-09-01","2348016-2348","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pantrigo Fernández, Juan José (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2348_2348016_juanjose.pantrigo (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Pantrigo Fernández, Juan José","2025-09-01","2178016-2178","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pantrigo Fernández, Juan José (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2178_2178016_juanjose.pantrigo (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Pantrigo Fernández, Juan José","2025-09-01","2347004-2347","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pantrigo Fernández, Juan José (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2347_2347004_juanjose.pantrigo (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Pantrigo Fernández, Juan José","2025-09-01","2299015-2299","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pantrigo Fernández, Juan José (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2299_2299015_juanjose.pantrigo (Universidad Rey Juan Carlos)"
"TRATAMIENTO DIGITAL DE IMÁGENES","Pantrigo Fernández, Juan José","2025-09-01","623001-6230","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pantrigo Fernández, Juan José (2025). TRATAMIENTO DIGITAL DE IMÁGENES. Universdiad Rey Juan Carlos","2025-26_6230_623001_juanjose.pantrigo (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Pantrigo Fernández, Juan José","2025-09-01","2028004-2028","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pantrigo Fernández, Juan José (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2028_2028004_juanjose.pantrigo (Universidad Rey Juan Carlos)"
"PRINCIPIOS JURIDICOS BASICOS: DEONTOLOGIA PROFESIONAL E IGUALDAD","Pantrigo Fernández, Juan José","2025-09-01","2175011-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pantrigo Fernández, Juan José (2025). PRINCIPIOS JURIDICOS BASICOS: DEONTOLOGIA PROFESIONAL E IGUALDAD. Universdiad Rey Juan Carlos","2025-26_2175_2175011_juanjose.pantrigo (Universidad Rey Juan Carlos)"
"APLICACIONES DE LA INTELIGENCIA ARTIFICIAL","Pantrigo Fernández, Juan José","2025-09-01","2361037-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pantrigo Fernández, Juan José (2025). APLICACIONES DE LA INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2361_2361037_juanjose.pantrigo (Universidad Rey Juan Carlos)"
"PRINCIPIOS JURIDICOS BASICOS: DEONTOLOGIA PROFESIONAL E IGUALDAD","Pantrigo Fernández, Juan José","2025-09-01","2321007-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pantrigo Fernández, Juan José (2025). PRINCIPIOS JURIDICOS BASICOS: DEONTOLOGIA PROFESIONAL E IGUALDAD. Universdiad Rey Juan Carlos","2025-26_2321_2321007_juanjose.pantrigo (Universidad Rey Juan Carlos)"
"ANÁLISIS Y REPRESENTACIÓN VISUAL DE ALGORITMOS PARA LA RESOLUCIÓN DEL PROBLEMA DEL BINAIRO","Pantrigo Fernández, Juan José (Tutor)","2025-07-14","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Pantrigo Fernández, Juan José (Tutor) (2025). ANÁLISIS Y REPRESENTACIÓN VISUAL DE ALGORITMOS PARA LA RESOLUCIÓN DEL PROBLEMA DEL BINAIRO.","-"
"VIDEORUN2D: SISTEMA DE VISIÓN ARTIFICIAL PARA LA DETECCIÓN AUTOMATIZADA DE EVENTOS DE CARRERA EN FUTBOLISTAS","Pantrigo Fernández, Juan José (Tutor)","2025-06-04","-","-","Dirección de Tesis, TFG, TFM, etc.","DEA, máster, etc.","-","-","-","-","-","-","-","Pantrigo Fernández, Juan José (Tutor) (2025). VIDEORUN2D: SISTEMA DE VISIÓN ARTIFICIAL PARA LA DETECCIÓN AUTOMATIZADA DE EVENTOS DE CARRERA EN FUTBOLISTAS.","-"
"A parametric synthetic data generator for training learning-based sperm analysis systems","Hernandez-Ferrandiz, Daniel; Pantrigo, Juan J; Cabido, Raul","2025-05-01","10.1016/j.eswa.2025.126614","N","Publicaciones","Artículo","Administração pública e de empresas, ciências contábeis e turismo; Administração, ciências contábeis e turismo; Arquitetura, urbanismo e design; Artificial intelligence; Astronomia / física; Biodiversidade; Biotecnología; Ciência da computação; Ciências agrárias i; Ciências ambientais; Ciências biológicas i; Ciências biológicas ii; Ciências biológicas iii; Ciências sociais aplicadas i; Ciencias sociales; Computer science applications; Computer science, artificial intelligence; Direito; Economia; Educação; Enfermagem; Engenharias i; Engenharias ii; Engenharias iii; Engenharias iv; Engineering (all); Engineering (miscellaneous); Engineering, electrical & electronic; Farmacia; General engineering; Geociências; Interdisciplinar; Matemática / probabilidade e estatística; Materiais; Medicina i; Medicina ii; Medicina iii; Operations research & management science; Química","Expert Systems With Applications","1.854","-","-","-","Q1","Hernandez-Ferrandiz, Daniel; Pantrigo, Juan J; Cabido, Raul (2025). A parametric synthetic data generator for training learning-based sperm analysis systems. Expert Systems With Applications, 271(), 126614-. DOI: 10.1016/j.eswa.2025.126614","10.1016/j.eswa.2025.126614 (Crossref);10285592 (iMarina);2-s2.0-85216846279 (Scopus);W4407064642 (OpenAlex);WOS:001422989900001 (WoS)"
"DESCRIPCIÓN DE MODELOS ENTIDAD-RELACIÓN CREADOS SINTÉTICAMENTE","Vélez Serrano, José Francisco (Tutor); Pantrigo Fernández, Juan José (Cotutor)","2025-03-19","-","-","Dirección de Tesis, TFG, TFM, etc.","DEA, máster, etc.","-","-","-","-","-","-","-","Vélez Serrano, José Francisco (Tutor); Pantrigo Fernández, Juan José (Cotutor) (2025). DESCRIPCIÓN DE MODELOS ENTIDAD-RELACIÓN CREADOS SINTÉTICAMENTE.","-"
