"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"INFORMATICA Y COMPETENCIA DIGITAL DOCENTE","Paredes Barragán, Pedro","2025-09-01","2177007-2177","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Barragán, Pedro (2025). INFORMATICA Y COMPETENCIA DIGITAL DOCENTE. Universdiad Rey Juan Carlos","2025-26_2177_2177007_pedro.paredes (Universidad Rey Juan Carlos)"
"DISEÑO CURRICULAR EN LA INFORMÁTICA Y TECNOLOGÍA","Paredes Barragán, Pedro","2025-09-01","638801-6388","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Barragán, Pedro (2025). DISEÑO CURRICULAR EN LA INFORMÁTICA Y TECNOLOGÍA. Universdiad Rey Juan Carlos","2025-26_6388_638801_pedro.paredes (Universidad Rey Juan Carlos)"
"PRÁCTICAS EXTERNAS","Paredes Barragán, Pedro","2025-09-01","630408-6304","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Barragán, Pedro (2025). PRÁCTICAS EXTERNAS. Universdiad Rey Juan Carlos","2025-26_6304_630408_pedro.paredes (Universidad Rey Juan Carlos)"
"Área Competencial de Datos e Información","Paredes Barragán, Pedro","2025-09-01","641902-6419","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Barragán, Pedro (2025). Área Competencial de Datos e Información. Universdiad Rey Juan Carlos","2025-26_6419_641902_pedro.paredes (Universidad Rey Juan Carlos)"
"Prácticas Académicas Externas","Paredes Barragán, Pedro","2025-09-01","641908-6419","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Barragán, Pedro (2025). Prácticas Académicas Externas. Universdiad Rey Juan Carlos","2025-26_6419_641908_pedro.paredes (Universidad Rey Juan Carlos)"
"INFORMATICA Y COMPETENCIA DIGITAL DOCENTE","Paredes Barragán, Pedro","2025-09-01","2101006-2101","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Barragán, Pedro (2025). INFORMATICA Y COMPETENCIA DIGITAL DOCENTE. Universdiad Rey Juan Carlos","2025-26_2101_2101006_pedro.paredes (Universidad Rey Juan Carlos)"
"ÁREA COMPETENCIAL DE DATOS E INFORMACIÓN","Paredes Barragán, Pedro","2025-09-01","630402-6304","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Barragán, Pedro (2025). ÁREA COMPETENCIAL DE DATOS E INFORMACIÓN. Universdiad Rey Juan Carlos","2025-26_6304_630402_pedro.paredes (Universidad Rey Juan Carlos)"
"DISEÑO CURRICULAR EN INFORMÁTICA Y TECNOLOGÍA","Paredes Barragán, Pedro","2025-09-01","618206-6182","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Barragán, Pedro (2025). DISEÑO CURRICULAR EN INFORMÁTICA Y TECNOLOGÍA. Universdiad Rey Juan Carlos","2025-26_6182_618206_pedro.paredes (Universidad Rey Juan Carlos)"
"LA INFORMÁTICA EN PRIMARIA Y LA INFLUENCIA DE LA CREATIVIDAD EN SU ESTUDIO","Paredes Barragán, Pedro (Tutor)","2025-07-11","-","-","Dirección de Tesis, TFG, TFM, etc.","DEA, máster, etc.","-","-","-","-","-","-","-","Paredes Barragán, Pedro (Tutor) (2025). LA INFORMÁTICA EN PRIMARIA Y LA INFLUENCIA DE LA CREATIVIDAD EN SU ESTUDIO.","-"
"DISEÑO DE UNA INTERVENCIÓN PARA EL DESARROLLO DE LA CREATIVIDAD, EN EL PENSAMIENTO COMPUTACIONAL, A TRAVÉS DE ACTIVIDADES DESENCHUFADAS","Paredes Barragán, Pedro (Tutor)","2025-07-11","-","-","Dirección de Tesis, TFG, TFM, etc.","DEA, máster, etc.","-","-","-","-","-","-","-","Paredes Barragán, Pedro (Tutor) (2025). DISEÑO DE UNA INTERVENCIÓN PARA EL DESARROLLO DE LA CREATIVIDAD, EN EL PENSAMIENTO COMPUTACIONAL, A TRAVÉS DE ACTIVIDADES DESENCHUFADAS.","-"
"APRENDIENDO CIBERSEGURIDAD: DISEÑO DE UN ENTORNO INTERACTIVO Y GAMIFICADO PARA ESO","Paredes Barragán, Pedro (Tutor)","2025-07-08","-","-","Dirección de Tesis, TFG, TFM, etc.","DEA, máster, etc.","-","-","-","-","-","-","-","Paredes Barragán, Pedro (Tutor) (2025). APRENDIENDO CIBERSEGURIDAD: DISEÑO DE UN ENTORNO INTERACTIVO Y GAMIFICADO PARA ESO.","-"
"ANÁLISIS COMPARATIVO DEL CURRÍCULO DE TECNOLOGÍA EN EL SISTEMA EDUCATIVO ESPAÑOL RESPECTO A OTROS SISTEMAS EDUCATIVOS","Paredes Barragán, Pedro (Tutor)","2025-07-03","-","-","Dirección de Tesis, TFG, TFM, etc.","DEA, máster, etc.","-","-","-","-","-","-","-","Paredes Barragán, Pedro (Tutor) (2025). ANÁLISIS COMPARATIVO DEL CURRÍCULO DE TECNOLOGÍA EN EL SISTEMA EDUCATIVO ESPAÑOL RESPECTO A OTROS SISTEMAS EDUCATIVOS.","-"
"LOS GRANDES OLVIDADOS: LA VIDA DE NIÑOS EN UNIDADES DE MADRES Y SUS RETOS DE DESARROLLO Y APRENDIZAJE.","Paredes Barragán, Pedro (Tutor)","2025-07-02","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Paredes Barragán, Pedro (Tutor) (2025). LOS GRANDES OLVIDADOS: LA VIDA DE NIÑOS EN UNIDADES DE MADRES Y SUS RETOS DE DESARROLLO Y APRENDIZAJE..","-"
"LA CREATIVIDAD EN LAS AULAS DE EDUCACIÓN INFANTIL A TRAVÉS DE LOS CUENTOS.","Paredes Barragán, Pedro (Tutor)","2025-07-01","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Paredes Barragán, Pedro (Tutor) (2025). LA CREATIVIDAD EN LAS AULAS DE EDUCACIÓN INFANTIL A TRAVÉS DE LOS CUENTOS..","-"
"APRENDIZAJE COOPERATIVO COMO ESTRATEGIA DIDÁCTICA DE LA LECTOESCRITURA","Paredes Barragán, Pedro (Tutor)","2025-06-27","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Paredes Barragán, Pedro (Tutor) (2025). APRENDIZAJE COOPERATIVO COMO ESTRATEGIA DIDÁCTICA DE LA LECTOESCRITURA.","-"
"PENSAMIENTO COMPUTACIONAL DESENCHUFADO EN EL AULA DE EDUCACIÓN INFANTIL","Paredes Barragán, Pedro (Tutor)","2025-06-25","-","-","Dirección de Tesis, TFG, TFM, etc.","DEA, máster, etc.","-","-","-","-","-","-","-","Paredes Barragán, Pedro (Tutor) (2025). PENSAMIENTO COMPUTACIONAL DESENCHUFADO EN EL AULA DE EDUCACIÓN INFANTIL.","-"
"MOVIMIENTO Y ANIMACIÓN: USO DE VÍDEOS EN LA ENSEÑANZA DE EDUCACIÓN FÍSICA","Paredes Barragán, Pedro (Tutor)","2025-06-25","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Paredes Barragán, Pedro (Tutor) (2025). MOVIMIENTO Y ANIMACIÓN: USO DE VÍDEOS EN LA ENSEÑANZA DE EDUCACIÓN FÍSICA.","-"
"EL USO DE LAS TECNOLOGÍAS Y RECURSOS DIGITALES EN EL AULA DE EDUCACIÓN INFANTIL","Paredes Barragán, Pedro (Tutor)","2025-05-08","-","-","Dirección de Tesis, TFG, TFM, etc.","DEA, máster, etc.","-","-","-","-","-","-","-","Paredes Barragán, Pedro (Tutor) (2025). EL USO DE LAS TECNOLOGÍAS Y RECURSOS DIGITALES EN EL AULA DE EDUCACIÓN INFANTIL.","-"
"Miembro. Programa de Doctorado en Tecnologías de la Información y las Comunicaciones","Paredes Barragán, Pedro","2025-01-01","1813544-4342","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
"Reconocimiento, Acreditacion Docente o Referencias","Paredes Barragán, Pedro","2024-12-17","-","-","Reconocimientos","Reconocimiento, Acreditacion Docente o Referencias","-","-","-","-","-","-","-","Reconocimiento, Acreditacion Docente o Referencias (2024)","pedro.paredes-quinquenios (Universidad Rey Juan Carlos)"
"Coordinador/a Máster Universitario en Competencia Digital y Pensamiento Computacional","Paredes Barragán, Pedro (Coordinador)","2024-11-20","-","-","Gestión","Cargos Unipersonales en Equipo de Gobierno Universidad","-","-","-","-","-","-","-","Coordinador/a Máster Universitario en Competencia Digital y Pensamiento Computacional. Universdiad Rey Juan Carlos (2024-2025)","pedro.paredes_e466cb3d702704ae391a8d4f49afe31e (Universidad Rey Juan Carlos)"
"INFORMATICA Y COMPETENCIA DIGITAL DOCENTE","Paredes Barragán, Pedro","2024-09-01","2101006-2101","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Barragán, Pedro (2024). INFORMATICA Y COMPETENCIA DIGITAL DOCENTE. Universdiad Rey Juan Carlos","2024-25_2101_2101006_pedro.paredes (Universidad Rey Juan Carlos)"
"INFORMATICA Y COMPETENCIA DIGITAL DOCENTE","Paredes Barragán, Pedro","2024-09-01","2177007-2177","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Barragán, Pedro (2024). INFORMATICA Y COMPETENCIA DIGITAL DOCENTE. Universdiad Rey Juan Carlos","2024-25_2177_2177007_pedro.paredes (Universidad Rey Juan Carlos)"
"PRÁCTICAS EXTERNAS","Paredes Barragán, Pedro","2024-09-01","630408-6304","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Barragán, Pedro (2024). PRÁCTICAS EXTERNAS. Universdiad Rey Juan Carlos","2024-25_6304_630408_pedro.paredes (Universidad Rey Juan Carlos)"
"DISEÑO CURRICULAR EN INFORMÁTICA Y TECNOLOGÍA","Paredes Barragán, Pedro","2024-09-01","618206-6182","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Barragán, Pedro (2024). DISEÑO CURRICULAR EN INFORMÁTICA Y TECNOLOGÍA. Universdiad Rey Juan Carlos","2024-25_6182_618206_pedro.paredes (Universidad Rey Juan Carlos)"
"ÁREA COMPETENCIAL DE DATOS E INFORMACIÓN","Paredes Barragán, Pedro","2024-09-01","630402-6304","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Barragán, Pedro (2024). ÁREA COMPETENCIAL DE DATOS E INFORMACIÓN. Universdiad Rey Juan Carlos","2024-25_6304_630402_pedro.paredes (Universidad Rey Juan Carlos)"
"DISEÑO CURRICULAR EN LA INFORMÁTICA Y TECNOLOGÍA","Paredes Barragán, Pedro","2024-09-01","638801-6388","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Barragán, Pedro (2024). DISEÑO CURRICULAR EN LA INFORMÁTICA Y TECNOLOGÍA. Universdiad Rey Juan Carlos","2024-25_6388_638801_pedro.paredes (Universidad Rey Juan Carlos)"
"HABILIDADES SOCIALES EN EL AULA","Paredes Barragán, Pedro (Tutor)","2024-07-11","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Paredes Barragán, Pedro (Tutor) (2024). HABILIDADES SOCIALES EN EL AULA.","-"
"HÁBITOS SALUDABLES Y TECNOLOGÍA EN EDUCACIÓN PRIMARIA: UNA MIRADA INTERDISCIPLINAR DESDE LA EDUCACIÓN FÍSICA","Paredes Barragán, Pedro (Tutor)","2024-07-03","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Paredes Barragán, Pedro (Tutor) (2024). HÁBITOS SALUDABLES Y TECNOLOGÍA EN EDUCACIÓN PRIMARIA: UNA MIRADA INTERDISCIPLINAR DESDE LA EDUCACIÓN FÍSICA.","-"
"A Hybrid Escape Room to Foster Motivation and Programming Education for Pre-Service Teachers","Borras-Gene, Oriol; Hijon-Neira, Raquel; Paredes-Barragan, Pedro; Serrano-Lujan, Lucia","2024-01-01","10.4018/IJGBL.343525","N","Publicaciones","Artículo","Ciencias sociales; Developmental and educational psychology; E-learning; Educação; Education; Education & educational research; Interdisciplinar; Psicología","International Journal Of Game-Based Learning","0.311","-","-","-","Q3","Borras-Gene, Oriol; Hijon-Neira, Raquel; Paredes-Barragan, Pedro; Serrano-Lujan, Lucia (2024). A Hybrid Escape Room to Foster Motivation and Programming Education for Pre-Service Teachers. International Journal Of Game-Based Learning, 14(1), 343525-. DOI: 10.4018/IJGBL.343525","10.4018/ijgbl.343525 (Crossref);2-s2.0-85193060507 (Scopus);9814275 (iMarina);WOS:001229581000001 (WoS)"
"Designing Collaborative ScratchJr for Multi-touch Tabletops","Barragán, PP; Velasco, MP; Urquiza-Fuentes, J; Alvarez, GJGD; Anslow, C; Homer, M","2024-01-01","10.1109/SIIE63180.2024.10604572","Y","Publicaciones","Conferencia Publicada","-","2019 International Symposium On Computers In Education (Siie)","-","-","-","-","-","Barragán, PP; Velasco, MP; Urquiza-Fuentes, J; Alvarez, GJGD; Anslow, C; Homer, M (2024). Designing Collaborative ScratchJr for Multi-touch Tabletops. Fort Worth (TX, USA): IEEE","10135651 (iMarina);2-s2.0-85201227459 (Scopus);W4401071127 (OpenAlex);WOS:001286324800019 (WoS)"
"PROPUESTA DIDÁCTICA PARA FAVORECER EL PROCESO DE APRENDIZAJE DE LA PROGRAMACIÓN MEDIANTE EL DESARROLLO DEL PENSAMIENTO ALGORÍTMICO EN LA EDUCACIÓN SECUNDARIA","Paredes Barragán, Pedro (Tutor)","2023-11-24","-","-","Dirección de Tesis, TFG, TFM, etc.","DEA, máster, etc.","-","-","-","-","-","-","-","Paredes Barragán, Pedro (Tutor) (2023). PROPUESTA DIDÁCTICA PARA FAVORECER EL PROCESO DE APRENDIZAJE DE LA PROGRAMACIÓN MEDIANTE EL DESARROLLO DEL PENSAMIENTO ALGORÍTMICO EN LA EDUCACIÓN SECUNDARIA. Universdiad Rey Juan Carlos","TFM_618212_g.tarrio.2022_44dd54500002d565866308ad96914003 (Universidad Rey Juan Carlos)"
"Improving CS1 Programming Learning with Visual Execution Environments","Hijon-Neira, Raquel; Pizarro, Celeste; French, John; Paredes-Barragan, Pedro; Duignan, Michael","2023-10-01","10.3390/info14100579","Y","Publicaciones","Artículo","Ciência da computação; Computer science, information systems; Information systems; Matemática / probabilidade e estatística","Information (Switzerland)","0.703","-","-","-","Q2","Hijon-Neira, Raquel; Pizarro, Celeste; French, John; Paredes-Barragan, Pedro; Duignan, Michael (2023). Improving CS1 Programming Learning with Visual Execution Environments. Information (Switzerland), 14(10), 579-. DOI: 10.3390/info14100579","2-s2.0-85175057759 (Scopus);WOS:001119393100001 (WoS)"
"TRABAJO FIN DE MÁSTER","Paredes Barragán, Pedro","2023-09-01","630409-6304","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Barragán, Pedro (2023). TRABAJO FIN DE MÁSTER. Universdiad Rey Juan Carlos","2023-24_6304_630409_pedro.paredes (Universidad Rey Juan Carlos)"
"PRÁCTICAS EXTERNAS","Paredes Barragán, Pedro","2023-09-01","630408-6304","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Barragán, Pedro (2023). PRÁCTICAS EXTERNAS. Universdiad Rey Juan Carlos","2023-24_6304_630408_pedro.paredes (Universidad Rey Juan Carlos)"
