"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"PRÁCTICAS EXTERNAS","Paredes Velasco, Maximiliano","2025-09-01","630408-6304","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Velasco, Maximiliano (2025). PRÁCTICAS EXTERNAS. Universdiad Rey Juan Carlos","2025-26_6304_630408_maximiliano.paredes (Universidad Rey Juan Carlos)"
"PROGRAMACIÓN Y PENSAMIENTO COMPUTACIONAL I","Paredes Velasco, Maximiliano","2025-09-01","630405-6304","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Velasco, Maximiliano (2025). PROGRAMACIÓN Y PENSAMIENTO COMPUTACIONAL I. Universdiad Rey Juan Carlos","2025-26_6304_630405_maximiliano.paredes (Universidad Rey Juan Carlos)"
"DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES","Paredes Velasco, Maximiliano","2025-09-01","2175039-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Velasco, Maximiliano (2025). DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES. Universdiad Rey Juan Carlos","2025-26_2175_2175039_maximiliano.paredes (Universidad Rey Juan Carlos)"
"INTERACCION PERSONA-ORDENADOR","Paredes Velasco, Maximiliano","2025-09-01","2114025-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Velasco, Maximiliano (2025). INTERACCION PERSONA-ORDENADOR. Universdiad Rey Juan Carlos","2025-26_2114_2114025_maximiliano.paredes (Universidad Rey Juan Carlos)"
"Trabajo Fin de Máster","Paredes Velasco, Maximiliano","2025-09-01","641909-6419","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Velasco, Maximiliano (2025). Trabajo Fin de Máster. Universdiad Rey Juan Carlos","2025-26_6419_641909_maximiliano.paredes (Universidad Rey Juan Carlos)"
"INTERACCION PERSONA-ORDENADOR","Paredes Velasco, Maximiliano","2025-09-01","2315035-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Velasco, Maximiliano (2025). INTERACCION PERSONA-ORDENADOR. Universdiad Rey Juan Carlos","2025-26_2315_2315035_maximiliano.paredes (Universidad Rey Juan Carlos)"
"DISEÑO Y ANALISIS DE ALGORITMOS","Paredes Velasco, Maximiliano","2025-09-01","2028019-2028","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Velasco, Maximiliano (2025). DISEÑO Y ANALISIS DE ALGORITMOS. Universdiad Rey Juan Carlos","2025-26_2028_2028019_maximiliano.paredes (Universidad Rey Juan Carlos)"
"DISEÑO Y ANALISIS DE ALGORITMOS","Paredes Velasco, Maximiliano","2025-09-01","2299042-2299","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Velasco, Maximiliano (2025). DISEÑO Y ANALISIS DE ALGORITMOS. Universdiad Rey Juan Carlos","2025-26_2299_2299042_maximiliano.paredes (Universidad Rey Juan Carlos)"
"INTERACCION PERSONA-ORDENADOR","Paredes Velasco, Maximiliano","2025-09-01","2117029-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Velasco, Maximiliano (2025). INTERACCION PERSONA-ORDENADOR. Universdiad Rey Juan Carlos","2025-26_2117_2117029_maximiliano.paredes (Universidad Rey Juan Carlos)"
"DISEÑO Y ANALISIS DE ALGORITMOS","Paredes Velasco, Maximiliano","2025-09-01","2348044-2348","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Velasco, Maximiliano (2025). DISEÑO Y ANALISIS DE ALGORITMOS. Universdiad Rey Juan Carlos","2025-26_2348_2348044_maximiliano.paredes (Universidad Rey Juan Carlos)"
"INTERACCION PERSONA-ORDENADOR","Paredes Velasco, Maximiliano","2025-09-01","2033022-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Velasco, Maximiliano (2025). INTERACCION PERSONA-ORDENADOR. Universdiad Rey Juan Carlos","2025-26_2033_2033022_maximiliano.paredes (Universidad Rey Juan Carlos)"
"TRABAJO FIN DE MÁSTER","Paredes Velasco, Maximiliano","2025-09-01","630409-6304","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Velasco, Maximiliano (2025). TRABAJO FIN DE MÁSTER. Universdiad Rey Juan Carlos","2025-26_6304_630409_maximiliano.paredes (Universidad Rey Juan Carlos)"
"INTERACCION PERSONA-ORDENADOR","Paredes Velasco, Maximiliano","2025-09-01","2032024-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Velasco, Maximiliano (2025). INTERACCION PERSONA-ORDENADOR. Universdiad Rey Juan Carlos","2025-26_2032_2032024_maximiliano.paredes (Universidad Rey Juan Carlos)"
"DIDÁCTICAS DE LA INFORMÁTICA Y TECNOLOGÍA","Paredes Velasco, Maximiliano","2025-09-01","638810-6388","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Velasco, Maximiliano (2025). DIDÁCTICAS DE LA INFORMÁTICA Y TECNOLOGÍA. Universdiad Rey Juan Carlos","2025-26_6388_638810_maximiliano.paredes (Universidad Rey Juan Carlos)"
"INTERACCION PERSONA-ORDENADOR","Paredes Velasco, Maximiliano","2025-09-01","2321027-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Velasco, Maximiliano (2025). INTERACCION PERSONA-ORDENADOR. Universdiad Rey Juan Carlos","2025-26_2321_2321027_maximiliano.paredes (Universidad Rey Juan Carlos)"
"INTERACCION PERSONA-ORDENADOR","Paredes Velasco, Maximiliano","2025-09-01","2097055-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Velasco, Maximiliano (2025). INTERACCION PERSONA-ORDENADOR. Universdiad Rey Juan Carlos","2025-26_2097_2097055_maximiliano.paredes (Universidad Rey Juan Carlos)"
"DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES","Paredes Velasco, Maximiliano","2025-09-01","2321041-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Velasco, Maximiliano (2025). DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES. Universdiad Rey Juan Carlos","2025-26_2321_2321041_maximiliano.paredes (Universidad Rey Juan Carlos)"
"Programación y Pensamiento Computacional I","Paredes Velasco, Maximiliano","2025-09-01","641905-6419","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Velasco, Maximiliano (2025). Programación y Pensamiento Computacional I. Universdiad Rey Juan Carlos","2025-26_6419_641905_maximiliano.paredes (Universidad Rey Juan Carlos)"
"INTERACCION PERSONA-ORDENADOR","Paredes Velasco, Maximiliano","2025-09-01","2113025-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Velasco, Maximiliano (2025). INTERACCION PERSONA-ORDENADOR. Universdiad Rey Juan Carlos","2025-26_2113_2113025_maximiliano.paredes (Universidad Rey Juan Carlos)"
"COMPLEMENTOS PARA LA FORMACIÓN DISCIPLINAR II: INFORMÁTICA","Paredes Velasco, Maximiliano","2025-09-01","638809-6388","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Velasco, Maximiliano (2025). COMPLEMENTOS PARA LA FORMACIÓN DISCIPLINAR II: INFORMÁTICA. Universdiad Rey Juan Carlos","2025-26_6388_638809_maximiliano.paredes (Universidad Rey Juan Carlos)"
"DISEÑO Y ANALISIS DE ALGORITMOS","Paredes Velasco, Maximiliano","2025-09-01","2347019-2347","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Velasco, Maximiliano (2025). DISEÑO Y ANALISIS DE ALGORITMOS. Universdiad Rey Juan Carlos","2025-26_2347_2347019_maximiliano.paredes (Universidad Rey Juan Carlos)"
"INTERACCION PERSONA-ORDENADOR","Paredes Velasco, Maximiliano","2025-09-01","2061022-2061","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Velasco, Maximiliano (2025). INTERACCION PERSONA-ORDENADOR. Universdiad Rey Juan Carlos","2025-26_2061_2061022_maximiliano.paredes (Universidad Rey Juan Carlos)"
"Prácticas Académicas Externas","Paredes Velasco, Maximiliano","2025-09-01","641908-6419","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Velasco, Maximiliano (2025). Prácticas Académicas Externas. Universdiad Rey Juan Carlos","2025-26_6419_641908_maximiliano.paredes (Universidad Rey Juan Carlos)"
"DISEÑO Y ANALISIS DE ALGORITMOS","Paredes Velasco, Maximiliano","2025-09-01","2178044-2178","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Velasco, Maximiliano (2025). DISEÑO Y ANALISIS DE ALGORITMOS. Universdiad Rey Juan Carlos","2025-26_2178_2178044_maximiliano.paredes (Universidad Rey Juan Carlos)"
"DIDÁCTICAS DE LA INFORMÁTICA Y LA TECNOLOGÍA","Paredes Velasco, Maximiliano","2025-09-01","618205-6182","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Velasco, Maximiliano (2025). DIDÁCTICAS DE LA INFORMÁTICA Y LA TECNOLOGÍA. Universdiad Rey Juan Carlos","2025-26_6182_618205_maximiliano.paredes (Universidad Rey Juan Carlos)"
"MyDanceDown: evaluating dance competence and emotions in individuals with Down syndrome","Matallana, Jeickon Fernando Villamil; Paredes-Velasco, Maximiliano","2025-08-02","10.1007/s11251-025-09743-6","N","Publicaciones","Artículo pendiente de publicación","Ciencias sociales; Developmental and educational psychology; Educació; Educación; Education; Education & educational research; Pedagogical & educational research; Psicología; Psychology; Psychology, educational","Instructional Science","1.022","-","-","-","Q1","Matallana, Jeickon Fernando Villamil; Paredes-Velasco, Maximiliano (2025). MyDanceDown: evaluating dance competence and emotions in individuals with Down syndrome. Instructional Science, (), -. DOI: 10.1007/s11251-025-09743-6","WOS:001541834000001 (WoS)"
"CREACIÓN Y USO DE UNA APLICACIÓN CON SCAFFOLDING APLICADO AL APRENDIZAJE STEM EN EL AULA: IMPACTO EN LAS EMOCIONES DEL ESTUDIANTE Y EFICACIA DE APRENDIZAJE","Paredes Velasco, Maximiliano (Tutor)","2025-07-14","-","-","Dirección de Tesis, TFG, TFM, etc.","DEA, máster, etc.","-","-","-","-","-","-","-","Paredes Velasco, Maximiliano (Tutor) (2025). CREACIÓN Y USO DE UNA APLICACIÓN CON SCAFFOLDING APLICADO AL APRENDIZAJE STEM EN EL AULA: IMPACTO EN LAS EMOCIONES DEL ESTUDIANTE Y EFICACIA DE APRENDIZAJE.","-"
"Augmented Reality for Learning Algorithms: Evaluation of Its Impact on Students' Emotions Using Artificial Intelligence","Gomez-Rios, Monica; Paredes-Velasco, Maximiliano; Velazquez-Iturbide, J angel; Martinez, Miguel angel Quiroz","2025-07-10","10.3390/app15147745","Y","Publicaciones","Artículo","Astronomia / física; Biodiversidade; Chemistry, multidisciplinary; Ciência de alimentos; Ciências agrárias i; Ciências biológicas i; Ciências biológicas ii; Ciências biológicas iii; Computer science applications; Engenharias i; Engenharias ii; Engineering (all); Engineering (miscellaneous); Engineering, multidisciplinary; Fluid flow and transfer processes; General engineering; General materials science; Instrumentation; Materiais; Materials science (all); Materials science (miscellaneous); Materials science, multidisciplinary; Physics, applied; Process chemistry and technology; Química","Applied Sciences-Basel","0.521","-","-","-","Q2","Gomez-Rios, Monica; Paredes-Velasco, Maximiliano; Velazquez-Iturbide, J angel; Martinez, Miguel angel Quiroz (2025). Augmented Reality for Learning Algorithms: Evaluation of Its Impact on Students' Emotions Using Artificial Intelligence. Applied Sciences-Basel, 15(14), 7745-. DOI: 10.3390/app15147745","WOS:001549387200001 (WoS)"
"APLICACIÓN DIDÁCTICA INTERACTIVA PARA EL APRENDIZAJE DE APP INVENTOR PARA NIÑOS","Paredes Velasco, Maximiliano (Tutor)","2025-06-26","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Paredes Velasco, Maximiliano (Tutor) (2025). APLICACIÓN DIDÁCTICA INTERACTIVA PARA EL APRENDIZAJE DE APP INVENTOR PARA NIÑOS.","-"
"DESARROLLO DE UN ASISTENTE EDUCATIVO PARA AVIACIÓN BASADO EN UN ESTUDIO DE MODELOS DE INTELIGENCIA ARTIFICIAL","Paredes Velasco, Maximiliano (Tutor)","2025-06-24","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Paredes Velasco, Maximiliano (Tutor) (2025). DESARROLLO DE UN ASISTENTE EDUCATIVO PARA AVIACIÓN BASADO EN UN ESTUDIO DE MODELOS DE INTELIGENCIA ARTIFICIAL.","-"
"Diseño y desarrollo de un juego serio mediante técnicas de coautoría: impacto en la motivación, la implicación y el aprendizaje del estudiante","Urquiza Fuentes, Jaime (Tutor) ; Paredes Velasco, Maximiliano (Director) Doctorando: LORENA RODRIGUEZ CALZADA","2025-05-23","-","-","Dirección de Tesis, TFG, TFM, etc.","Tesis Doctoral","-","-","-","-","-","-","-","Urquiza Fuentes, Jaime (Tutor) ; Paredes Velasco, Maximiliano (Director) Doctorando: LORENA RODRIGUEZ CALZADA (2025). Diseño y desarrollo de un juego serio mediante técnicas de coautoría: impacto en la motivación, la implicación y el aprendizaje del estudiante. Universdiad Rey Juan Carlos","-"
"Insights into usability, academic outcomes, and emotional responses in an AR-Interactive learning environment","Alvarez-Marín, A; Paredes-Velasco, M; Velázquez-Iturbide, JA; Palma-Chilla, L","2025-04-21","10.1080/10494820.2024.2440862","-","Publicaciones","Artículo","Ciencias sociales; Computer science applications; E-learning; Educació; Educación; Education; Education & educational research; Pedagogical & educational research","Interactive Learning Environments","1.976","-","-","-","Q1","Alvarez-Marín, A; Paredes-Velasco, M; Velázquez-Iturbide, JA; Palma-Chilla, L (2025). Insights into usability, academic outcomes, and emotional responses in an AR-Interactive learning environment. Interactive Learning Environments, 33(4), 3147-3161. DOI: 10.1080/10494820.2024.2440862","10.1080/10494820.2024.2440862 (Crossref);10237610 (iMarina);2-s2.0-85212287928 (Scopus);WOS:001378950600001 (WoS)"
"Teaching methodology for people with intellectual disabilities: a case study in learning ballet with mobile devices","Matallana, Jeickon Fernando Villamil; Paredes-Velasco, Maximiliano","2025-03-01","10.1007/s10209-023-01060-4","N","Publicaciones","Artículo","Administração pública e de empresas, ciências contábeis e turismo; Arquitetura e urbanismo; Ciência da computação; Ciencias sociales; Computer networks and communications; Computer science, cybernetics; Comunicació i informació; Comunicación e información; Engenharias iv; Ergonomics; Human-computer interaction; Información y documentación; Information systems; Interdisciplinar; Matemática / probabilidade e estatística; Software","Universal Access In The Information Society","0.633","-","-","-","Q2","Matallana, Jeickon Fernando Villamil; Paredes-Velasco, Maximiliano (2025). Teaching methodology for people with intellectual disabilities: a case study in learning ballet with mobile devices. Universal Access In The Information Society, 24(1), 409-423. DOI: 10.1007/s10209-023-01060-4","2-s2.0-105001070560 (Scopus);2-s2.0-85175569596 (Scopus);WOS:001092966100001 (WoS)"
"HERRAMIENTA VISUAL DE APRENDIZAJE DEL ALGORITMO DE FIBONACCI","Paredes Velasco, Maximiliano (Tutor)","2025-01-22","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Paredes Velasco, Maximiliano (Tutor) (2025). HERRAMIENTA VISUAL DE APRENDIZAJE DEL ALGORITMO DE FIBONACCI. Universdiad Rey Juan Carlos","-"
"Miembro. Programa de doctorado en Ciencias de la Educación y Ciencias del Deporte","Paredes Velasco, Maximiliano","2025-01-01","1812859-4292","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
"Miembro. Programa de Doctorado en Tecnologías de la Información y las Comunicaciones","Paredes Velasco, Maximiliano","2025-01-01","1813545-4292","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
"Una intervención educativa de cooperativa internacional para el desarrollo de estudiantes en riesgo de exclusión social: aprendiendo pensamiento computacional mediante realidad aumentada","Maximiliano Paredes Velasco; Mónica Gómez","2025-01-01","-","-","Publicaciones","Capítulos de Libro","-","Universidad Y Cooperación Al Desarrollo: Nuevos Escenarios Y Retos","-","-","-","-","-","Maximiliano Paredes Velasco; Mónica Gómez (2025). Una intervención educativa de cooperativa internacional para el desarrollo de estudiantes en riesgo de exclusión social: aprendiendo pensamiento computacional mediante realidad aumentada. En . Universidad Y Cooperación Al Desarrollo: Nuevos Escenarios Y Retos (pp. 374-382). : Universidad de Alcalá, Editorial Universidad de Alcalá","10369395ARTLIB (Dialnet)"
"Effectiveness of cooperative, collaborative, and interdisciplinary learning guided by software development in Spanish universities","Lorente, Sonia; Arnal-Palacian, Monica; Paredes-Velasco, Maximiliano","2024-12-01","10.1007/s10212-024-00881-y","N","Publicaciones","Artículo","Ciencias sociales; Developmental and educational psychology; Educació; Educación; Education; Pedagogical & educational research; Psicología; Psychology; Psychology, educational","European Journal Of Psychology Of Education","1.298","-","-","-","Q1","Lorente, Sonia; Arnal-Palacian, Monica; Paredes-Velasco, Maximiliano (2024). Effectiveness of cooperative, collaborative, and interdisciplinary learning guided by software development in Spanish universities. European Journal Of Psychology Of Education, 39(4), 4467-4491. DOI: 10.1007/s10212-024-00881-y","10200608 (iMarina);10284287 (iMarina);2-s2.0-85198963915 (Scopus);WOS:001271458300001 (WoS);WOS:001598767800047 (WoS)"
"DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES","Paredes Velasco, Maximiliano","2024-09-01","2321041-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Velasco, Maximiliano (2024). DESARROLLO DE APLICACIONES PARA DISPOSITIVOS MOVILES. Universdiad Rey Juan Carlos","2024-25_2321_2321041_maximiliano.paredes (Universidad Rey Juan Carlos)"
"DIDÁCTICAS DE LA INFORMÁTICA Y TECNOLOGÍA","Paredes Velasco, Maximiliano","2024-09-01","638810-6388","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Paredes Velasco, Maximiliano (2024). DIDÁCTICAS DE LA INFORMÁTICA Y TECNOLOGÍA. Universdiad Rey Juan Carlos","2024-25_6388_638810_maximiliano.paredes (Universidad Rey Juan Carlos)"
