"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"ROBOTICA Y DOMOTICA","Pastor Pérez, Luis Ignacio","2025-09-01","2032039-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pastor Pérez, Luis Ignacio (2025). ROBOTICA Y DOMOTICA. Universdiad Rey Juan Carlos","2025-26_2032_2032039_luis.pastor (Universidad Rey Juan Carlos)"
"ROBOTICA Y DOMOTICA","Pastor Pérez, Luis Ignacio","2025-09-01","2321055-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pastor Pérez, Luis Ignacio (2025). ROBOTICA Y DOMOTICA. Universdiad Rey Juan Carlos","2025-26_2321_2321055_luis.pastor (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LA INFORMATICA","Pastor Pérez, Luis Ignacio","2025-09-01","2117002-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pastor Pérez, Luis Ignacio (2025). FUNDAMENTOS FISICOS DE LA INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2117_2117002_luis.pastor (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LOS COMPUTADORES","Pastor Pérez, Luis Ignacio","2025-09-01","2113003-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pastor Pérez, Luis Ignacio (2025). FUNDAMENTOS FISICOS DE LOS COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2113_2113003_luis.pastor (Universidad Rey Juan Carlos)"
"ROBOTICA Y DOMOTICA","Pastor Pérez, Luis Ignacio","2025-09-01","2113047-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pastor Pérez, Luis Ignacio (2025). ROBOTICA Y DOMOTICA. Universdiad Rey Juan Carlos","2025-26_2113_2113047_luis.pastor (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LA INFORMATICA","Pastor Pérez, Luis Ignacio","2025-09-01","2033003-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pastor Pérez, Luis Ignacio (2025). FUNDAMENTOS FISICOS DE LA INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2033_2033003_luis.pastor (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LA INFORMATICA","Pastor Pérez, Luis Ignacio","2025-09-01","2097005-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pastor Pérez, Luis Ignacio (2025). FUNDAMENTOS FISICOS DE LA INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2097_2097005_luis.pastor (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LOS COMPUTADORES","Pastor Pérez, Luis Ignacio","2025-09-01","2032003-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pastor Pérez, Luis Ignacio (2025). FUNDAMENTOS FISICOS DE LOS COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2032_2032003_luis.pastor (Universidad Rey Juan Carlos)"
"FUNDAMENTOS FISICOS DE LA INFORMATICA","Pastor Pérez, Luis Ignacio","2025-09-01","2315001-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pastor Pérez, Luis Ignacio (2025). FUNDAMENTOS FISICOS DE LA INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2315_2315001_luis.pastor (Universidad Rey Juan Carlos)"
"Gráficos 3D","Pastor Pérez, Luis Ignacio","2025-09-01","634301-6343","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pastor Pérez, Luis Ignacio (2025). Gráficos 3D. Universdiad Rey Juan Carlos","2025-26_6343_634301_luis.pastor (Universidad Rey Juan Carlos)"
"DESARROLLO DE JUEGO EDUCATIVO PARA LA CUEVA DE REALIDAD VIRTUAL","Sújar Garrido, Aarón (Tutor); Pastor Pérez, Luis Ignacio (Cotutor)","2025-07-15","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Sújar Garrido, Aarón (Tutor); Pastor Pérez, Luis Ignacio (Cotutor) (2025). DESARROLLO DE JUEGO EDUCATIVO PARA LA CUEVA DE REALIDAD VIRTUAL.","-"
