"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Prieto Martínez, Juan José","2025-09-01","2321015-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Prieto Martínez, Juan José (2025). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2025-26_2321_2321015_juanjose.prieto (Universidad Rey Juan Carlos)"
"ESTADISTICA","Prieto Martínez, Juan José","2025-09-01","2031009-2031","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Prieto Martínez, Juan José (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2031_2031009_juanjose.prieto (Universidad Rey Juan Carlos)"
"ESTADISTICA","Prieto Martínez, Juan José","2025-09-01","2338009-2338","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Prieto Martínez, Juan José (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2338_2338009_juanjose.prieto (Universidad Rey Juan Carlos)"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Prieto Martínez, Juan José","2025-09-01","2032017-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Prieto Martínez, Juan José (2025). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2025-26_2032_2032017_juanjose.prieto (Universidad Rey Juan Carlos)"
"ESTADISTICA","Prieto Martínez, Juan José","2025-09-01","2343006-2343","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Prieto Martínez, Juan José (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2343_2343006_juanjose.prieto (Universidad Rey Juan Carlos)"
"Estadística","Prieto Martínez, Juan José","2025-09-01","2394007-2394","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Prieto Martínez, Juan José (2025). Estadística. Universdiad Rey Juan Carlos","2025-26_2394_2394007_juanjose.prieto (Universidad Rey Juan Carlos)"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Prieto Martínez, Juan José","2025-09-01","2113017-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Prieto Martínez, Juan José (2025). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2025-26_2113_2113017_juanjose.prieto (Universidad Rey Juan Carlos)"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Prieto Martínez, Juan José","2024-09-01","2315017-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Prieto Martínez, Juan José (2024). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2024-25_2315_2315017_juanjose.prieto (Universidad Rey Juan Carlos)"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Prieto Martínez, Juan José","2024-09-01","2033017-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Prieto Martínez, Juan José (2024). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2024-25_2033_2033017_juanjose.prieto (Universidad Rey Juan Carlos)"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Prieto Martínez, Juan José","2024-09-01","2117024-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Prieto Martínez, Juan José (2024). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2024-25_2117_2117024_juanjose.prieto (Universidad Rey Juan Carlos)"
