"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"EVOLUCION Y ADAPTACION DEL SOFTWARE","Puerta Peña, José Manuel","2025-09-01","2034026-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Puerta Peña, José Manuel (2025). EVOLUCION Y ADAPTACION DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2034_2034026_josemanuel.puerta (Universidad Rey Juan Carlos)"
"EVOLUCION Y ADAPTACION DEL SOFTWARE","Puerta Peña, José Manuel","2025-09-01","2114031-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Puerta Peña, José Manuel (2025). EVOLUCION Y ADAPTACION DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2114_2114031_josemanuel.puerta (Universidad Rey Juan Carlos)"
"EVOLUCION Y ADAPTACION DEL SOFTWARE","Puerta Peña, José Manuel","2025-09-01","2316032-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Puerta Peña, José Manuel (2025). EVOLUCION Y ADAPTACION DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2316_2316032_josemanuel.puerta (Universidad Rey Juan Carlos)"
"SISTEMAS OPERATIVOS","Puerta Peña, José Manuel","2025-09-01","2315025-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Puerta Peña, José Manuel (2025). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2025-26_2315_2315025_josemanuel.puerta (Universidad Rey Juan Carlos)"
"SISTEMAS OPERATIVOS","Puerta Peña, José Manuel","2025-09-01","2321023-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Puerta Peña, José Manuel (2025). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2025-26_2321_2321023_josemanuel.puerta (Universidad Rey Juan Carlos)"
"SISTEMAS OPERATIVOS","Puerta Peña, José Manuel","2025-09-01","2114024-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Puerta Peña, José Manuel (2025). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2025-26_2114_2114024_josemanuel.puerta (Universidad Rey Juan Carlos)"
"SISTEMAS OPERATIVOS","Puerta Peña, José Manuel","2025-09-01","2316024-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Puerta Peña, José Manuel (2025). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2025-26_2316_2316024_josemanuel.puerta (Universidad Rey Juan Carlos)"
"SISTEMAS OPERATIVOS","Puerta Peña, José Manuel","2025-09-01","2118028-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Puerta Peña, José Manuel (2025). SISTEMAS OPERATIVOS. Universdiad Rey Juan Carlos","2025-26_2118_2118028_josemanuel.puerta (Universidad Rey Juan Carlos)"
"ORGANIZACION Y ARQUITECTURA DE COMPUTADORES","Puerta Peña, José Manuel","2025-09-01","2033016-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Puerta Peña, José Manuel (2025). ORGANIZACION Y ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2033_2033016_josemanuel.puerta (Universidad Rey Juan Carlos)"
"ORGANIZACION Y ARQUITECTURA DE COMPUTADORES","Puerta Peña, José Manuel","2025-09-01","2097026-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Puerta Peña, José Manuel (2025). ORGANIZACION Y ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2097_2097026_josemanuel.puerta (Universidad Rey Juan Carlos)"
