"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"REGULACION Y GOBERNANZA DE LA SEGURIDAD","Pérez Colmenero, María Raquel","2025-09-01","2285038-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pérez Colmenero, María Raquel (2025). REGULACION Y GOBERNANZA DE LA SEGURIDAD. Universdiad Rey Juan Carlos","2025-26_2285_2285038_raquel.pcolmenero (Universidad Rey Juan Carlos)"
"NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION","Pérez Colmenero, María Raquel","2025-09-01","2053010-2053","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pérez Colmenero, María Raquel (2025). NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION. Universdiad Rey Juan Carlos","2025-26_2053_2053010_raquel.pcolmenero (Universidad Rey Juan Carlos)"
"NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION","Pérez Colmenero, María Raquel","2025-09-01","2004017-2004","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pérez Colmenero, María Raquel (2025). NUEVAS TECNOLOGIAS Y SOCIEDAD DE LA INFORMACION. Universdiad Rey Juan Carlos","2025-26_2004_2004017_raquel.pcolmenero (Universidad Rey Juan Carlos)"
"SISTEMAS DE INFORMACION","Pérez Colmenero, María Raquel","2025-09-01","2285030-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pérez Colmenero, María Raquel (2025). SISTEMAS DE INFORMACION. Universdiad Rey Juan Carlos","2025-26_2285_2285030_raquel.pcolmenero (Universidad Rey Juan Carlos)"
"COMPUTER SCIENCE DIGITAL COMPETENCY","Pérez Colmenero, María Raquel","2025-09-01","2128006-2128","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pérez Colmenero, María Raquel (2025). COMPUTER SCIENCE DIGITAL COMPETENCY. Universdiad Rey Juan Carlos","2025-26_2128_2128006_raquel.pcolmenero (Universidad Rey Juan Carlos)"
"ANALISIS Y GESTION DEL RIESGO","Pérez Colmenero, María Raquel","2025-09-01","2285036-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pérez Colmenero, María Raquel (2025). ANALISIS Y GESTION DEL RIESGO. Universdiad Rey Juan Carlos","2025-26_2285_2285036_raquel.pcolmenero (Universidad Rey Juan Carlos)"
"APLICACIONES DE LA INTELIGENCIA ARTIFICIAL","Pérez Colmenero, María Raquel","2025-09-01","2361037-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pérez Colmenero, María Raquel (2025). APLICACIONES DE LA INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2361_2361037_raquel.pcolmenero (Universidad Rey Juan Carlos)"
"PENTESTING","Pérez Colmenero, María Raquel","2025-09-01","2285034-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pérez Colmenero, María Raquel (2025). PENTESTING. Universdiad Rey Juan Carlos","2025-26_2285_2285034_raquel.pcolmenero (Universidad Rey Juan Carlos)"
"MALWARE Y AMENAZAS DIRIGIDAS","Pérez Colmenero, María Raquel","2024-09-01","2285027-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pérez Colmenero, María Raquel (2024). MALWARE Y AMENAZAS DIRIGIDAS. Universdiad Rey Juan Carlos","2024-25_2285_2285027_raquel.pcolmenero (Universidad Rey Juan Carlos)"
"COMPUTER SCIENCE AND DIGITAL COMPETENCY","Pérez Colmenero, María Raquel","2024-09-01","2170006-2170","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pérez Colmenero, María Raquel (2024). COMPUTER SCIENCE AND DIGITAL COMPETENCY. Universdiad Rey Juan Carlos","2024-25_2170_2170006_raquel.pcolmenero (Universidad Rey Juan Carlos)"
"COMPUTER SCIENCE DIGITAL COMPETENCY","Pérez Colmenero, María Raquel","2024-09-01","2128006-2128","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pérez Colmenero, María Raquel (2024). COMPUTER SCIENCE DIGITAL COMPETENCY. Universdiad Rey Juan Carlos","2024-25_2128_2128006_raquel.pcolmenero (Universidad Rey Juan Carlos)"
"ICT IN EDUCATION","Pérez Colmenero, María Raquel","2024-09-01","2109006-2109","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pérez Colmenero, María Raquel (2024). ICT IN EDUCATION. Universdiad Rey Juan Carlos","2024-25_2109_2109006_raquel.pcolmenero (Universidad Rey Juan Carlos)"
"REGULACION Y GOBERNANZA DE LA SEGURIDAD","Pérez Colmenero, María Raquel","2024-09-01","2285038-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pérez Colmenero, María Raquel (2024). REGULACION Y GOBERNANZA DE LA SEGURIDAD. Universdiad Rey Juan Carlos","2024-25_2285_2285038_raquel.pcolmenero (Universidad Rey Juan Carlos)"
