"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"REDES AVANZADAS Y COMPUTACION EN LA NUBE","Pérez Martínez, Alfonso de Jesús","2025-09-01","2285029-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pérez Martínez, Alfonso de Jesús (2025). REDES AVANZADAS Y COMPUTACION EN LA NUBE. Universdiad Rey Juan Carlos","2025-26_2285_2285029_alfonsodejesus.perez (Universidad Rey Juan Carlos)"
"AUDITORIA","Pérez Martínez, Alfonso de Jesús","2025-09-01","2285032-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pérez Martínez, Alfonso de Jesús (2025). AUDITORIA. Universdiad Rey Juan Carlos","2025-26_2285_2285032_alfonsodejesus.perez (Universidad Rey Juan Carlos)"
"RESILIENCIA FRENTE A ATAQUES DDOS EN PLATAFORMAS CLOUD BASADAS EN KUBERNETES: UN ENFOQUE MEDIANTE TEORÍA DE COLAS Y ESCALADO DINÁMICO","Pérez Martínez, Alfonso de Jesús (Tutor)","2025-07-09","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Pérez Martínez, Alfonso de Jesús (Tutor) (2025). RESILIENCIA FRENTE A ATAQUES DDOS EN PLATAFORMAS CLOUD BASADAS EN KUBERNETES: UN ENFOQUE MEDIANTE TEORÍA DE COLAS Y ESCALADO DINÁMICO.","-"
"EXPLOTACIÓN OFENSIVA DE ENTORNOS KUBERNETES MAL CONFIGURADOS UTILIZANDO POLÍTICAS DE KYVERNO","Pérez Martínez, Alfonso de Jesús (Tutor)","2025-07-09","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Pérez Martínez, Alfonso de Jesús (Tutor) (2025). EXPLOTACIÓN OFENSIVA DE ENTORNOS KUBERNETES MAL CONFIGURADOS UTILIZANDO POLÍTICAS DE KYVERNO.","-"
"AUDITORIA","Pérez Martínez, Alfonso de Jesús","2024-09-01","2285032-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pérez Martínez, Alfonso de Jesús (2024). AUDITORIA. Universdiad Rey Juan Carlos","2024-25_2285_2285032_alfonsodejesus.perez (Universidad Rey Juan Carlos)"
"REDES AVANZADAS Y COMPUTACION EN LA NUBE","Pérez Martínez, Alfonso de Jesús","2024-09-01","2285029-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pérez Martínez, Alfonso de Jesús (2024). REDES AVANZADAS Y COMPUTACION EN LA NUBE. Universdiad Rey Juan Carlos","2024-25_2285_2285029_alfonsodejesus.perez (Universidad Rey Juan Carlos)"
"AUTOMATION OF SECURITY RULE MANAGEMENT THROUGH AI IN CLOUD NATIVE APPLICATIONS","Pérez Martínez, Alfonso de Jesús (Tutor)","2024-07-18","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Pérez Martínez, Alfonso de Jesús (Tutor) (2024). AUTOMATION OF SECURITY RULE MANAGEMENT THROUGH AI IN CLOUD NATIVE APPLICATIONS.","-"
"AUDITORIA","Pérez Martínez, Alfonso de Jesús","2023-09-01","2285032-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pérez Martínez, Alfonso de Jesús (2023). AUDITORIA. Universdiad Rey Juan Carlos","2023-24_2285_2285032_alfonsodejesus.perez (Universidad Rey Juan Carlos)"
"REDES AVANZADAS Y COMPUTACION EN LA NUBE","Pérez Martínez, Alfonso de Jesús","2023-09-01","2285029-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pérez Martínez, Alfonso de Jesús (2023). REDES AVANZADAS Y COMPUTACION EN LA NUBE. Universdiad Rey Juan Carlos","2023-24_2285_2285029_alfonsodejesus.perez (Universidad Rey Juan Carlos)"
"AUDITORIA","Pérez Martínez, Alfonso de Jesús","2022-09-01","2285032-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pérez Martínez, Alfonso de Jesús (2022). AUDITORIA. Universdiad Rey Juan Carlos","2022-23_2285_2285032_alfonsodejesus.perez (Universidad Rey Juan Carlos)"
"REDES AVANZADAS Y COMPUTACION EN LA NUBE","Pérez Martínez, Alfonso de Jesús","2022-09-01","2285029-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pérez Martínez, Alfonso de Jesús (2022). REDES AVANZADAS Y COMPUTACION EN LA NUBE. Universdiad Rey Juan Carlos","2022-23_2285_2285029_alfonsodejesus.perez (Universidad Rey Juan Carlos)"
"INCIDENCE AND RISK FACTORS FOR CATHETER-ASSOCIATED URINARY TRACT INFECTION IN A MEDICAL ICU","Monge, FJC; Perez, AJ; Vivas, AM","2011-09-01","-","-","Publicaciones","Meeting-Abstract","Ciências biológicas i; Ciências biológicas ii; Ciências biológicas iii; Critical care and intensive care medicine; Critical care medicine; Educação física; Emergency medicine & critical care; Enfermagem; Engenharias iv; Farmacia; General medicine; Interdisciplinar; Medicina i; Medicina ii; Medicina iii; Nutrição; Odontología; Saúde coletiva","Intensive Care Medicine","2.861","-","-","-","Q1","Monge, FJC; Perez, AJ; Vivas, AM (2011). INCIDENCE AND RISK FACTORS FOR CATHETER-ASSOCIATED URINARY TRACT INFECTION IN A MEDICAL ICU. Intensive Care Medicine, 37(), S81-S81","WOS:000209082800303 (WoS)"
