"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"Greedy Randomized Adaptive Search Procedures with Path Relinking. An analytical review of designs and implementations","Laguna, Manuel; Marti, Rafael; Martinez-Gavara, Anna; Perez-Pelo, Sergio; Resende, Mauricio G C","2025-09-03","10.1016/j.ejor.2025.02.022","N","Publicaciones","Review","Administração pública e de empresas, ciências contábeis e turismo; Administração, ciências contábeis e turismo; Biotecnología; Ciência da computação; Ciência política e relações internacionais; Ciências agrárias i; Ciências ambientais; Ciencias sociales; Computer science (all); Computer science (miscellaneous); Comunicación e información; Direito; Economia; Engenharias i; Engenharias ii; Engenharias iii; Engenharias iv; Farmacia; General computer science; Industrial and manufacturing engineering; Información y documentación; Information systems and management; Interdisciplinar; Management; Management science and operations research; Matemática / probabilidade e estatística; Medicina i; Modeling and simulation; Operations research & management science; Planejamento urbano e regional / demografia","European Journal Of Operational Research","2.239","-","-","-","Q1","Laguna, Manuel; Marti, Rafael; Martinez-Gavara, Anna; Perez-Pelo, Sergio; Resende, Mauricio G C (2025). Greedy Randomized Adaptive Search Procedures with Path Relinking. An analytical review of designs and implementations. European Journal Of Operational Research, 327(3), 717-734. DOI: 10.1016/j.ejor.2025.02.022","10300591 (iMarina);2-s2.0-86000145957 (Scopus);WOS:001566251500001 (WoS)"
"DISEÑO Y ANALISIS DE ALGORITMOS","Pérez Peló, Sergio","2025-09-01","2316031-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pérez Peló, Sergio (2025). DISEÑO Y ANALISIS DE ALGORITMOS. Universdiad Rey Juan Carlos","2025-26_2316_2316031_sergio.perez.pelo (Universidad Rey Juan Carlos)"
"DISEÑO Y ANALISIS DE ALGORITMOS","Pérez Peló, Sergio","2025-09-01","2118033-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pérez Peló, Sergio (2025). DISEÑO Y ANALISIS DE ALGORITMOS. Universdiad Rey Juan Carlos","2025-26_2118_2118033_sergio.perez.pelo (Universidad Rey Juan Carlos)"
"ALGORITMOS PARA JUEGOS","Pérez Peló, Sergio","2025-09-01","2321031-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pérez Peló, Sergio (2025). ALGORITMOS PARA JUEGOS. Universdiad Rey Juan Carlos","2025-26_2321_2321031_sergio.perez.pelo (Universidad Rey Juan Carlos)"
"DISEÑO Y ANALISIS DE ALGORITMOS","Pérez Peló, Sergio","2025-09-01","2114019-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pérez Peló, Sergio (2025). DISEÑO Y ANALISIS DE ALGORITMOS. Universdiad Rey Juan Carlos","2025-26_2114_2114019_sergio.perez.pelo (Universidad Rey Juan Carlos)"
"DISEÑO Y ANALISIS DE ALGORITMOS","Pérez Peló, Sergio","2025-09-01","2034019-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pérez Peló, Sergio (2025). DISEÑO Y ANALISIS DE ALGORITMOS. Universdiad Rey Juan Carlos","2025-26_2034_2034019_sergio.perez.pelo (Universidad Rey Juan Carlos)"
"INTELIGENCIA ARTIFICIAL EN CIBERSEGURIDAD","Pérez Peló, Sergio","2025-09-01","2361038-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pérez Peló, Sergio (2025). INTELIGENCIA ARTIFICIAL EN CIBERSEGURIDAD. Universdiad Rey Juan Carlos","2025-26_2361_2361038_sergio.perez.pelo (Universidad Rey Juan Carlos)"
"ALGORITMOS PARA JUEGOS","Pérez Peló, Sergio","2025-09-01","2175029-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pérez Peló, Sergio (2025). ALGORITMOS PARA JUEGOS. Universdiad Rey Juan Carlos","2025-26_2175_2175029_sergio.perez.pelo (Universidad Rey Juan Carlos)"
"ALGORITMOS","Pérez Peló, Sergio","2025-09-01","2361011-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pérez Peló, Sergio (2025). ALGORITMOS. Universdiad Rey Juan Carlos","2025-26_2361_2361011_sergio.perez.pelo (Universidad Rey Juan Carlos)"
"METODOLOGIAS DE DESARROLLO SEGURO","Pérez Peló, Sergio","2025-09-01","2285028-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Pérez Peló, Sergio (2025). METODOLOGIAS DE DESARROLLO SEGURO. Universdiad Rey Juan Carlos","2025-26_2285_2285028_sergio.perez.pelo (Universidad Rey Juan Carlos)"
