"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"INTERACCION PERSONA-ORDENADOR","Ramos Vega, María Cristina","2025-09-01","2034029-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ramos Vega, María Cristina (2025). INTERACCION PERSONA-ORDENADOR. Universdiad Rey Juan Carlos","2025-26_2034_2034029_mariacristina.ramos (Universidad Rey Juan Carlos)"
"GESTION Y DIRECCIÓN DE PROYECTOS","Ramos Vega, María Cristina","2025-09-01","2321045-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ramos Vega, María Cristina (2025). GESTION Y DIRECCIÓN DE PROYECTOS. Universdiad Rey Juan Carlos","2025-26_2321_2321045_mariacristina.ramos (Universidad Rey Juan Carlos)"
"EMPRESA Y VIDEOJUEGOS","Ramos Vega, María Cristina","2025-09-01","2175019-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ramos Vega, María Cristina (2025). EMPRESA Y VIDEOJUEGOS. Universdiad Rey Juan Carlos","2025-26_2175_2175019_mariacristina.ramos (Universidad Rey Juan Carlos)"
"INTERACCION PERSONA-MAQUINA Y USABILIDAD","Ramos Vega, María Cristina","2025-09-01","2175026-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ramos Vega, María Cristina (2025). INTERACCION PERSONA-MAQUINA Y USABILIDAD. Universdiad Rey Juan Carlos","2025-26_2175_2175026_mariacristina.ramos (Universidad Rey Juan Carlos)"
"INTERACCION PERSONA-ORDENADOR","Ramos Vega, María Cristina","2025-09-01","2316041-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ramos Vega, María Cristina (2025). INTERACCION PERSONA-ORDENADOR. Universdiad Rey Juan Carlos","2025-26_2316_2316041_mariacristina.ramos (Universidad Rey Juan Carlos)"
"GESTIÓN Y DIRECCIÓN DE PROYECTOS","Ramos Vega, María Cristina","2025-09-01","2175036-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ramos Vega, María Cristina (2025). GESTIÓN Y DIRECCIÓN DE PROYECTOS. Universdiad Rey Juan Carlos","2025-26_2175_2175036_mariacristina.ramos (Universidad Rey Juan Carlos)"
"INTERACCION PERSONA-ORDENADOR","Ramos Vega, María Cristina","2025-09-01","2118036-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ramos Vega, María Cristina (2025). INTERACCION PERSONA-ORDENADOR. Universdiad Rey Juan Carlos","2025-26_2118_2118036_mariacristina.ramos (Universidad Rey Juan Carlos)"
"RE-MEMORY: UN VIDEOJUEGO ACCESIBLE PARA EJERCITAR LA MEMORIA","Ramos Vega, María Cristina (Tutor)","2025-07-19","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Ramos Vega, María Cristina (Tutor) (2025). RE-MEMORY: UN VIDEOJUEGO ACCESIBLE PARA EJERCITAR LA MEMORIA.","-"
"SPECIAL READS: TU READING JOURNAL INTELIGENTE","Ramos Vega, María Cristina (Tutor)","2025-07-10","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Ramos Vega, María Cristina (Tutor) (2025). SPECIAL READS: TU READING JOURNAL INTELIGENTE.","-"
"NOTALAB: APRENDIZAJE POTENCIADO POR IA","Ramos Vega, María Cristina (Tutor)","2025-07-10","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Ramos Vega, María Cristina (Tutor) (2025). NOTALAB: APRENDIZAJE POTENCIADO POR IA.","-"
"WANDERERS OF THE GUILD","Ramos Vega, María Cristina (Tutor)","2025-06-04","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Ramos Vega, María Cristina (Tutor) (2025). WANDERERS OF THE GUILD.","-"
"HARMONY: EL FUTURO DE LA BU¿SQUEDA DE COMPAN¿EROS DE PISO","Ramos Vega, María Cristina (Tutor)","2025-05-29","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Ramos Vega, María Cristina (Tutor) (2025). HARMONY: EL FUTURO DE LA BU¿SQUEDA DE COMPAN¿EROS DE PISO.","-"
"Adquisición de equipamiento para Cognición, Robótica, Visión Artificial y Ciencia de Datos: Consorcio de Innovación Digital.","Garre del Olmo, Carlos (Investigador/a); Velasco González, Iván (Investigador/a); Ortega del Campo, David (Investigador/a); Toader, Nicusor Cosmin (Investigador/a); Lancho Martín, María del Carmen (Investigador/a); Gutiérrez Peña, Gema (Investigador/a); Guillén García, Julio (Investigador principal (IP)); Gómez Macías, Cristian (Investigador/a); Zapata Cáceres, María (Investigador/a); Ramos Vega, María Cristina (Investigador/a); Sújar Garrido, Aarón (Investigador/a); Comino Trinidad, Marc (Investigador/a); Pérez Blanco, Francisco Javier (Investigador/a); Aceña Gil, Víctor (Investigador/a); López Cano, Emilio (Investigador/a); Granada Mejía, Juan David (Investigador/a)","2025-01-01","2024/SOLCON-64840","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","","-","-","-","-","-","-","Ref.:2024/SOLCON-64840. Adquisición de equipamiento para Cognición, Robótica, Visión Artificial y Ciencia de Datos: Consorcio de Innovación Digital.. Garre del Olmo, Carlos (Investigador/a); Velasco González, Iván (Investigador/a); Ortega del Campo, David (Investigador/a); Toader, Nicusor Cosmin (Investigador/a); Lancho Martín, María del Carmen (Investigador/a); Gutiérrez Peña, Gema (Investigador/a); Guillén García, Julio (Investigador principal (IP)); Gómez Macías, Cristian (Investigador/a); Zapata Cáceres, María (Investigador/a); Ramos Vega, María Cristina (Investigador/a); Sújar Garrido, Aarón (Investigador/a); Comino Trinidad, Marc (Investigador/a); Pérez Blanco, Francisco Javier (Investigador/a); Aceña Gil, Víctor (Investigador/a); López Cano, Emilio (Investigador/a); Granada Mejía, Juan David (Investigador/a).  Financiadora: Universidad Rey Juan Carlos  (2025-01-01 / 2025-12-31)","M3696 (Universidad Rey Juan Carlos)"
