"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"Inglés","Ramírez Díaz, Iván","2025-09-18","-","-","Idiomas","Conocimiento de idiomas","-","-","-","-","-","-","-","Inglés:  () 2025","ivan.ramirez_Inglés_C1 (Universidad Rey Juan Carlos)"
"LLNN: A Scalable LUT-Based Logic Neural Network Architecture for FPGAs","Ramirez, Ivan; Garcia-Espinosa, Francisco J; Concha, David; Aranda, Luis Alberto; Schiavi, Emanuele","2025-09-10","10.1109/TCSI.2025.3606054","N","Publicaciones","Artículo pendiente de publicación","Astronomia / física; Ciência da computação; Electrical and electronic engineering; Engenharias iii; Engenharias iv; Engineering (all); Engineering, electrical & electronic; Hardware and architecture; Interdisciplinar; Matemática / probabilidade e estatística","Ieee Transactions On Circuits And Systems I-Regular Papers","1.734","-","-","-","Q1","Ramirez, Ivan; Garcia-Espinosa, Francisco J; Concha, David; Aranda, Luis Alberto; Schiavi, Emanuele (2025). LLNN: A Scalable LUT-Based Logic Neural Network Architecture for FPGAs. Ieee Transactions On Circuits And Systems I-Regular Papers, (), -. DOI: 10.1109/TCSI.2025.3606054","10.1109/tcsi.2025.3606054 (Crossref);2-s2.0-105016491859 (Scopus);WOS:001571490600001 (WoS)"
"INTRODUCCIÓN A LA INVESTIGACIÓN EN VISIÓN ARTIFICIAL","Ramírez Díaz, Iván","2025-09-01","623017-6230","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ramírez Díaz, Iván (2025). INTRODUCCIÓN A LA INVESTIGACIÓN EN VISIÓN ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_6230_623017_ivan.ramirez (Universidad Rey Juan Carlos)"
"APRENDIZAJE AUTOMATICO II","Ramírez Díaz, Iván","2025-09-01","2361022-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ramírez Díaz, Iván (2025). APRENDIZAJE AUTOMATICO II. Universdiad Rey Juan Carlos","2025-26_2361_2361022_ivan.ramirez (Universidad Rey Juan Carlos)"
"SISTEMAS BASADOS EN CONOCIMIENTO","Ramírez Díaz, Iván","2025-09-01","2059032-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ramírez Díaz, Iván (2025). SISTEMAS BASADOS EN CONOCIMIENTO. Universdiad Rey Juan Carlos","2025-26_2059_2059032_ivan.ramirez (Universidad Rey Juan Carlos)"
"TECNOLOGIA DE COMPUTADORES","Ramírez Díaz, Iván","2025-09-01","2321005-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ramírez Díaz, Iván (2025). TECNOLOGIA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2321_2321005_ivan.ramirez (Universidad Rey Juan Carlos)"
"TECNOLOGIA DE COMPUTADORES","Ramírez Díaz, Iván","2025-09-01","2113001-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ramírez Díaz, Iván (2025). TECNOLOGIA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2113_2113001_ivan.ramirez (Universidad Rey Juan Carlos)"
"TECNOLOGIA DE COMPUTADORES","Ramírez Díaz, Iván","2025-09-01","2032002-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ramírez Díaz, Iván (2025). TECNOLOGIA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2032_2032002_ivan.ramirez (Universidad Rey Juan Carlos)"
"FUNDAMENTOS MATEMÁTICOS","Ramírez Díaz, Iván","2025-09-01","623015-6230","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ramírez Díaz, Iván (2025). FUNDAMENTOS MATEMÁTICOS. Universdiad Rey Juan Carlos","2025-26_6230_623015_ivan.ramirez (Universidad Rey Juan Carlos)"
"APLICACIONES DE LA INTELIGENCIA ARTIFICIAL","Ramírez Díaz, Iván","2025-09-01","2361037-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ramírez Díaz, Iván (2025). APLICACIONES DE LA INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2361_2361037_ivan.ramirez (Universidad Rey Juan Carlos)"
