"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"INTRODUCCION A LA INFORMATICA","Recio Isasi, Gustavo","2025-09-01","2316009-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Recio Isasi, Gustavo (2025). INTRODUCCION A LA INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2316_2316009_gustavo.recio (Universidad Rey Juan Carlos)"
"SISTEMAS DE INFORMACION","Recio Isasi, Gustavo","2025-09-01","2114034-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Recio Isasi, Gustavo (2025). SISTEMAS DE INFORMACION. Universdiad Rey Juan Carlos","2025-26_2114_2114034_gustavo.recio (Universidad Rey Juan Carlos)"
"SISTEMAS DE INFORMACION","Recio Isasi, Gustavo","2025-09-01","2285030-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Recio Isasi, Gustavo (2025). SISTEMAS DE INFORMACION. Universdiad Rey Juan Carlos","2025-26_2285_2285030_gustavo.recio (Universidad Rey Juan Carlos)"
"SISTEMAS DE INFORMACION","Recio Isasi, Gustavo","2025-09-01","2113045-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Recio Isasi, Gustavo (2025). SISTEMAS DE INFORMACION. Universdiad Rey Juan Carlos","2025-26_2113_2113045_gustavo.recio (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA INFORMATICA","Recio Isasi, Gustavo","2025-09-01","2034009-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Recio Isasi, Gustavo (2025). INTRODUCCION A LA INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2034_2034009_gustavo.recio (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA INFORMATICA","Recio Isasi, Gustavo","2025-09-01","2118011-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Recio Isasi, Gustavo (2025). INTRODUCCION A LA INFORMATICA. Universdiad Rey Juan Carlos","2025-26_2118_2118011_gustavo.recio (Universidad Rey Juan Carlos)"
"SISTEMAS DE INFORMACION","Recio Isasi, Gustavo","2025-09-01","2033035-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Recio Isasi, Gustavo (2025). SISTEMAS DE INFORMACION. Universdiad Rey Juan Carlos","2025-26_2033_2033035_gustavo.recio (Universidad Rey Juan Carlos)"
"HERRAMIENTA PARA LA OBSERVACIÓN Y EVALUACIÓN DE COMPORTAMIENTOS EMERGENTES - JUEGO 4X BASADO EN AGENTES","Recio Isasi, Gustavo (Tutor); Crespo Herrero, Jonathan (Cotutor)","2025-02-27","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Recio Isasi, Gustavo (Tutor); Crespo Herrero, Jonathan (Cotutor) (2025). HERRAMIENTA PARA LA OBSERVACIÓN Y EVALUACIÓN DE COMPORTAMIENTOS EMERGENTES - JUEGO 4X BASADO EN AGENTES.","-"
"HERRAMIENTA DE GESTIÓN DE CATÁLOGOS DE DATOS GEORREFERENCIADOS","Recio Isasi, Gustavo (Tutor)","2025-01-08","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Recio Isasi, Gustavo (Tutor) (2025). HERRAMIENTA DE GESTIÓN DE CATÁLOGOS DE DATOS GEORREFERENCIADOS.","-"
"INTRODUCCION A LA INFORMATICA","Recio Isasi, Gustavo","2024-09-01","2118011-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Recio Isasi, Gustavo (2024). INTRODUCCION A LA INFORMATICA. Universdiad Rey Juan Carlos","2024-25_2118_2118011_gustavo.recio (Universidad Rey Juan Carlos)"
