"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"PRÁCTICAS EXTERNAS","Redchuk Cisterna, Andrés","2025-09-01","619320-6193","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Redchuk Cisterna, Andrés (2025). PRÁCTICAS EXTERNAS. Universdiad Rey Juan Carlos","2025-26_6193_619320_andres.redchuk (Universidad Rey Juan Carlos)"
"INTERNSHIP","Redchuk Cisterna, Andrés","2025-09-01","626220-6262","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Redchuk Cisterna, Andrés (2025). INTERNSHIP. Universdiad Rey Juan Carlos","2025-26_6262_626220_andres.redchuk (Universidad Rey Juan Carlos)"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Redchuk Cisterna, Andrés","2025-09-01","2113017-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Redchuk Cisterna, Andrés (2025). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2025-26_2113_2113017_andres.redchuk (Universidad Rey Juan Carlos)"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Redchuk Cisterna, Andrés","2025-09-01","2285011-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Redchuk Cisterna, Andrés (2025). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2025-26_2285_2285011_andres.redchuk (Universidad Rey Juan Carlos)"
"TRABAJO FIN DE MÁSTER","Redchuk Cisterna, Andrés","2025-09-01","619321-6193","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Redchuk Cisterna, Andrés (2025). TRABAJO FIN DE MÁSTER. Universdiad Rey Juan Carlos","2025-26_6193_619321_andres.redchuk (Universidad Rey Juan Carlos)"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Redchuk Cisterna, Andrés","2025-09-01","2315017-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Redchuk Cisterna, Andrés (2025). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2025-26_2315_2315017_andres.redchuk (Universidad Rey Juan Carlos)"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Redchuk Cisterna, Andrés","2025-09-01","2114017-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Redchuk Cisterna, Andrés (2025). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2025-26_2114_2114017_andres.redchuk (Universidad Rey Juan Carlos)"
"INTERNATIONAL TOURISM AND HOSPITALITY CONSULTANCY","Redchuk Cisterna, Andrés","2025-09-01","626210-6262","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Redchuk Cisterna, Andrés (2025). INTERNATIONAL TOURISM AND HOSPITALITY CONSULTANCY. Universdiad Rey Juan Carlos","2025-26_6262_626210_andres.redchuk (Universidad Rey Juan Carlos)"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Redchuk Cisterna, Andrés","2025-09-01","2034017-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Redchuk Cisterna, Andrés (2025). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2025-26_2034_2034017_andres.redchuk (Universidad Rey Juan Carlos)"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Redchuk Cisterna, Andrés","2025-09-01","2059017-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Redchuk Cisterna, Andrés (2025). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2025-26_2059_2059017_andres.redchuk (Universidad Rey Juan Carlos)"
"SUSTAINABLE TOURISM IN NATURAL PROTECTED AREAS","Redchuk Cisterna, Andrés","2025-09-01","626217-6262","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Redchuk Cisterna, Andrés (2025). SUSTAINABLE TOURISM IN NATURAL PROTECTED AREAS. Universdiad Rey Juan Carlos","2025-26_6262_626217_andres.redchuk (Universidad Rey Juan Carlos)"
"CONSULTORÍA DE PROYECTOS TURÍSTICOS INTERNACIONALES","Redchuk Cisterna, Andrés","2025-09-01","619310-6193","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Redchuk Cisterna, Andrés (2025). CONSULTORÍA DE PROYECTOS TURÍSTICOS INTERNACIONALES. Universdiad Rey Juan Carlos","2025-26_6193_619310_andres.redchuk (Universidad Rey Juan Carlos)"
"Calidad: Seis Sigma y Nuevas Tendencias","Redchuk Cisterna, Andrés","2025-09-01","639902-6399","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Redchuk Cisterna, Andrés (2025). Calidad: Seis Sigma y Nuevas Tendencias. Universdiad Rey Juan Carlos","2025-26_6399_639902_andres.redchuk (Universidad Rey Juan Carlos)"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Redchuk Cisterna, Andrés","2025-09-01","2118023-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Redchuk Cisterna, Andrés (2025). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2025-26_2118_2118023_andres.redchuk (Universidad Rey Juan Carlos)"
