"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"INGENIERIA DEL SOFTWARE","Reyes Salgado, Gerardo","2025-09-01","2361023-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Reyes Salgado, Gerardo (2025). INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2361_2361023_gerardo.reyes (Universidad Rey Juan Carlos)"
"GESTION DE DATOS EN MEDIOS DIGITALES","Reyes Salgado, Gerardo","2025-09-01","2321033-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Reyes Salgado, Gerardo (2025). GESTION DE DATOS EN MEDIOS DIGITALES. Universdiad Rey Juan Carlos","2025-26_2321_2321033_gerardo.reyes (Universidad Rey Juan Carlos)"
"INGENIERIA DE SISTEMAS DE INFORMACION","Reyes Salgado, Gerardo","2025-09-01","2034031-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Reyes Salgado, Gerardo (2025). INGENIERIA DE SISTEMAS DE INFORMACION. Universdiad Rey Juan Carlos","2025-26_2034_2034031_gerardo.reyes (Universidad Rey Juan Carlos)"
"INTELIGENCIA ARTIFICIAL EN CIBERSEGURIDAD","Reyes Salgado, Gerardo","2025-09-01","2361038-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Reyes Salgado, Gerardo (2025). INTELIGENCIA ARTIFICIAL EN CIBERSEGURIDAD. Universdiad Rey Juan Carlos","2025-26_2361_2361038_gerardo.reyes (Universidad Rey Juan Carlos)"
"GESTION DE DATOS EN MEDIOS DIGITALES","Reyes Salgado, Gerardo","2025-09-01","2175031-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Reyes Salgado, Gerardo (2025). GESTION DE DATOS EN MEDIOS DIGITALES. Universdiad Rey Juan Carlos","2025-26_2175_2175031_gerardo.reyes (Universidad Rey Juan Carlos)"
"REDES DE COMPUTADORES","Reyes Salgado, Gerardo","2025-09-01","2285014-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Reyes Salgado, Gerardo (2025). REDES DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2285_2285014_gerardo.reyes (Universidad Rey Juan Carlos)"
"APRENDIZAJE AUTOMATICO I","Reyes Salgado, Gerardo","2025-09-01","2361016-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Reyes Salgado, Gerardo (2025). APRENDIZAJE AUTOMATICO I. Universdiad Rey Juan Carlos","2025-26_2361_2361016_gerardo.reyes (Universidad Rey Juan Carlos)"
"DISEÑO Y ARQUITECTURA DEL SOFTWARE","Reyes Salgado, Gerardo","2024-09-01","2316036-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Reyes Salgado, Gerardo (2024). DISEÑO Y ARQUITECTURA DEL SOFTWARE. Universdiad Rey Juan Carlos","2024-25_2316_2316036_gerardo.reyes (Universidad Rey Juan Carlos)"
"DISEÑO Y ARQUITECTURA DEL SOFTWARE","Reyes Salgado, Gerardo","2024-09-01","2034024-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Reyes Salgado, Gerardo (2024). DISEÑO Y ARQUITECTURA DEL SOFTWARE. Universdiad Rey Juan Carlos","2024-25_2034_2034024_gerardo.reyes (Universidad Rey Juan Carlos)"
"GESTION Y DIRECCIÓN DE PROYECTOS","Reyes Salgado, Gerardo","2024-09-01","2321045-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Reyes Salgado, Gerardo (2024). GESTION Y DIRECCIÓN DE PROYECTOS. Universdiad Rey Juan Carlos","2024-25_2321_2321045_gerardo.reyes (Universidad Rey Juan Carlos)"
"GESTIÓN Y DIRECCIÓN DE PROYECTOS","Reyes Salgado, Gerardo","2024-09-01","2175036-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Reyes Salgado, Gerardo (2024). GESTIÓN Y DIRECCIÓN DE PROYECTOS. Universdiad Rey Juan Carlos","2024-25_2175_2175036_gerardo.reyes (Universidad Rey Juan Carlos)"
"INGENIERIA DE SISTEMAS DE INFORMACION","Reyes Salgado, Gerardo","2024-09-01","2034031-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Reyes Salgado, Gerardo (2024). INGENIERIA DE SISTEMAS DE INFORMACION. Universdiad Rey Juan Carlos","2024-25_2034_2034031_gerardo.reyes (Universidad Rey Juan Carlos)"
