"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"ESTRUCTURA DE COMPUTADORES","Rincón Córcoles, Luis","2025-09-01","2321008-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rincón Córcoles, Luis (2025). ESTRUCTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2321_2321008_luis.rincon (Universidad Rey Juan Carlos)"
"ESTRUCTURA DE COMPUTADORES","Rincón Córcoles, Luis","2025-09-01","2269017-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rincón Córcoles, Luis (2025). ESTRUCTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2269_2269017_luis.rincon (Universidad Rey Juan Carlos)"
"ARQUITECTURAS AVANZADAS DE COMPUTADORES","Rincón Córcoles, Luis","2025-09-01","2059039-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rincón Córcoles, Luis (2025). ARQUITECTURAS AVANZADAS DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2059_2059039_luis.rincon (Universidad Rey Juan Carlos)"
"ORGANIZACION DE COMPUTADORES","Rincón Córcoles, Luis","2025-09-01","2032013-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rincón Córcoles, Luis (2025). ORGANIZACION DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2032_2032013_luis.rincon (Universidad Rey Juan Carlos)"
"ESTRUCTURA DE COMPUTADORES","Rincón Córcoles, Luis","2025-09-01","2113009-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rincón Córcoles, Luis (2025). ESTRUCTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2113_2113009_luis.rincon (Universidad Rey Juan Carlos)"
"ESTRUCTURA DE COMPUTADORES","Rincón Córcoles, Luis","2025-09-01","2032006-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rincón Córcoles, Luis (2025). ESTRUCTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2032_2032006_luis.rincon (Universidad Rey Juan Carlos)"
"ESTRUCTURA DE COMPUTADORES","Rincón Córcoles, Luis","2025-09-01","2059013-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rincón Córcoles, Luis (2025). ESTRUCTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2059_2059013_luis.rincon (Universidad Rey Juan Carlos)"
"ORGANIZACION DE COMPUTADORES","Rincón Córcoles, Luis","2025-09-01","2113016-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rincón Córcoles, Luis (2025). ORGANIZACION DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2113_2113016_luis.rincon (Universidad Rey Juan Carlos)"
"ESTRUCTURA DE COMPUTADORES","Rincón Córcoles, Luis","2025-09-01","2073017-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rincón Córcoles, Luis (2025). ESTRUCTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2073_2073017_luis.rincon (Universidad Rey Juan Carlos)"
"ORGANIZACION DE COMPUTADORES","Rincón Córcoles, Luis","2025-09-01","2321020-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rincón Córcoles, Luis (2025). ORGANIZACION DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2321_2321020_luis.rincon (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE ARQUITECTURA DE COMPUTADORES","Rincón Córcoles, Luis","2025-09-01","2361007-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rincón Córcoles, Luis (2025). FUNDAMENTOS DE ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2361_2361007_luis.rincon (Universidad Rey Juan Carlos)"
