"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"ESTRUCTURAS DE DATOS","Robles Rodríguez, Marcos","2025-09-01","2118010-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Robles Rodríguez, Marcos (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2118_2118010_marcos.robles (Universidad Rey Juan Carlos)"
"INGENIERIA DEL SOFTWARE","Robles Rodríguez, Marcos","2025-09-01","2033020-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Robles Rodríguez, Marcos (2025). INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2033_2033020_marcos.robles (Universidad Rey Juan Carlos)"
"INGENIERIA DEL SOFTWARE","Robles Rodríguez, Marcos","2025-09-01","2113022-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Robles Rodríguez, Marcos (2025). INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2113_2113022_marcos.robles (Universidad Rey Juan Carlos)"
"INGENIERIA DEL SOFTWARE","Robles Rodríguez, Marcos","2025-09-01","2117035-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Robles Rodríguez, Marcos (2025). INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2117_2117035_marcos.robles (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Robles Rodríguez, Marcos","2025-09-01","2316008-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Robles Rodríguez, Marcos (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2316_2316008_marcos.robles (Universidad Rey Juan Carlos)"
"INGENIERIA DEL SOFTWARE","Robles Rodríguez, Marcos","2025-09-01","2097021-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Robles Rodríguez, Marcos (2025). INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2097_2097021_marcos.robles (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Robles Rodríguez, Marcos","2025-09-01","2114010-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Robles Rodríguez, Marcos (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2114_2114010_marcos.robles (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Robles Rodríguez, Marcos","2025-09-01","2034008-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Robles Rodríguez, Marcos (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2034_2034008_marcos.robles (Universidad Rey Juan Carlos)"
"INGENIERIA DEL SOFTWARE","Robles Rodríguez, Marcos","2025-09-01","2315031-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Robles Rodríguez, Marcos (2025). INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2315_2315031_marcos.robles (Universidad Rey Juan Carlos)"
"APLICACIÓN WEB DE WORDLE EDUCATIVO PARA EL APRENDIZAJE EN EL AULA","Robles Rodríguez, Marcos (Cotutor); Cavero Díaz, Sergio (Tutor)","2025-07-07","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Robles Rodríguez, Marcos (Cotutor); Cavero Díaz, Sergio (Tutor) (2025). APLICACIÓN WEB DE WORDLE EDUCATIVO PARA EL APRENDIZAJE EN EL AULA.","-"
