"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"ORGANIZACION Y ARQUITECTURA DE COMPUTADORES","Robles Sánchez, Óscar David","2025-09-01","2114022-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Robles Sánchez, Óscar David (2025). ORGANIZACION Y ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2114_2114022_oscardavid.robles (Universidad Rey Juan Carlos)"
"ORGANIZACION Y ARQUITECTURA DE COMPUTADORES","Robles Sánchez, Óscar David","2025-09-01","2097026-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Robles Sánchez, Óscar David (2025). ORGANIZACION Y ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2097_2097026_oscardavid.robles (Universidad Rey Juan Carlos)"
"ORGANIZACION Y ARQUITECTURA DE COMPUTADORES","Robles Sánchez, Óscar David","2025-09-01","2117021-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Robles Sánchez, Óscar David (2025). ORGANIZACION Y ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2117_2117021_oscardavid.robles (Universidad Rey Juan Carlos)"
"ORGANIZACION Y ARQUITECTURA DE COMPUTADORES","Robles Sánchez, Óscar David","2025-09-01","2315018-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Robles Sánchez, Óscar David (2025). ORGANIZACION Y ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2315_2315018_oscardavid.robles (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE ARQUITECTURA DE COMPUTADORES","Robles Sánchez, Óscar David","2025-09-01","2361007-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Robles Sánchez, Óscar David (2025). FUNDAMENTOS DE ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2361_2361007_oscardavid.robles (Universidad Rey Juan Carlos)"
"ORGANIZACION DE COMPUTADORES","Robles Sánchez, Óscar David","2025-09-01","2032013-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Robles Sánchez, Óscar David (2025). ORGANIZACION DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2032_2032013_oscardavid.robles (Universidad Rey Juan Carlos)"
"ORGANIZACION Y ARQUITECTURA DE COMPUTADORES","Robles Sánchez, Óscar David","2025-09-01","2033016-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Robles Sánchez, Óscar David (2025). ORGANIZACION Y ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2033_2033016_oscardavid.robles (Universidad Rey Juan Carlos)"
"ORGANIZACION DE COMPUTADORES","Robles Sánchez, Óscar David","2025-09-01","2113016-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Robles Sánchez, Óscar David (2025). ORGANIZACION DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2113_2113016_oscardavid.robles (Universidad Rey Juan Carlos)"
"ORGANIZACION DE COMPUTADORES","Robles Sánchez, Óscar David","2025-09-01","2321020-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Robles Sánchez, Óscar David (2025). ORGANIZACION DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2321_2321020_oscardavid.robles (Universidad Rey Juan Carlos)"
"Miembro. Programa de Doctorado en Tecnologías de la Información y las Comunicaciones","Robles Sánchez, Óscar David","2025-01-01","1813556-4220","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
"Technological tools for the digital society Education: wellneSs & Health and TEChnology.","García Lorenzo, Marcos José (Investigador/a); Mata Fernández, Susana (Investigador/a); Zapata Cáceres, María (Investigador/a); Sújar Garrido, Aarón (Investigador/a); Bayona Beriso, Sofía (Investigador/a); Robles Sánchez, Óscar David (Investigador/a); Martín Barroso, Estefanía (Investigador/a); Pastor Pérez, Luis Ignacio (Investigador principal (IP))","2025-01-01","2024/SOLCON-137497","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","","-","-","-","-","-","-","Ref.:2024/SOLCON-137497. Technological tools for the digital society Education: wellneSs & Health and TEChnology.. García Lorenzo, Marcos José (Investigador/a); Mata Fernández, Susana (Investigador/a); Zapata Cáceres, María (Investigador/a); Sújar Garrido, Aarón (Investigador/a); Bayona Beriso, Sofía (Investigador/a); Robles Sánchez, Óscar David (Investigador/a); Martín Barroso, Estefanía (Investigador/a); Pastor Pérez, Luis Ignacio (Investigador principal (IP)).  Financiadora: Universidad Rey Juan Carlos  (2025-01-01 / 2025-12-31)","M3706 (Universidad Rey Juan Carlos)"
"ORGANIZACION Y ARQUITECTURA DE COMPUTADORES","Robles Sánchez, Óscar David","2024-09-01","2114022-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Robles Sánchez, Óscar David (2024). ORGANIZACION Y ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2024-25_2114_2114022_oscardavid.robles (Universidad Rey Juan Carlos)"
"ORGANIZACION Y ARQUITECTURA DE COMPUTADORES","Robles Sánchez, Óscar David","2024-09-01","2033016-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Robles Sánchez, Óscar David (2024). ORGANIZACION Y ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2024-25_2033_2033016_oscardavid.robles (Universidad Rey Juan Carlos)"
"ARQUITECTURA E INGENIERIA DE COMPUTADORES","Robles Sánchez, Óscar David","2024-09-01","2316012-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Robles Sánchez, Óscar David (2024). ARQUITECTURA E INGENIERIA DE COMPUTADORES. Universdiad Rey Juan Carlos","2024-25_2316_2316012_oscardavid.robles (Universidad Rey Juan Carlos)"
"ARQUITECTURA E INGENIERIA DE COMPUTADORES","Robles Sánchez, Óscar David","2024-09-01","2034013-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Robles Sánchez, Óscar David (2024). ARQUITECTURA E INGENIERIA DE COMPUTADORES. Universdiad Rey Juan Carlos","2024-25_2034_2034013_oscardavid.robles (Universidad Rey Juan Carlos)"
"ARQUITECTURA E INGENIERIA DE COMPUTADORES","Robles Sánchez, Óscar David","2024-09-01","2118015-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Robles Sánchez, Óscar David (2024). ARQUITECTURA E INGENIERIA DE COMPUTADORES. Universdiad Rey Juan Carlos","2024-25_2118_2118015_oscardavid.robles (Universidad Rey Juan Carlos)"
"ORGANIZACION Y ARQUITECTURA DE COMPUTADORES","Robles Sánchez, Óscar David","2024-09-01","2315018-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Robles Sánchez, Óscar David (2024). ORGANIZACION Y ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2024-25_2315_2315018_oscardavid.robles (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE ARQUITECTURA DE COMPUTADORES","Robles Sánchez, Óscar David","2024-09-01","2361007-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Robles Sánchez, Óscar David (2024). FUNDAMENTOS DE ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2024-25_2361_2361007_oscardavid.robles (Universidad Rey Juan Carlos)"
"ORGANIZACION Y ARQUITECTURA DE COMPUTADORES","Robles Sánchez, Óscar David","2024-09-01","2117021-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Robles Sánchez, Óscar David (2024). ORGANIZACION Y ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2024-25_2117_2117021_oscardavid.robles (Universidad Rey Juan Carlos)"
"ORGANIZACION DE COMPUTADORES","Robles Sánchez, Óscar David","2024-09-01","2321020-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Robles Sánchez, Óscar David (2024). ORGANIZACION DE COMPUTADORES. Universdiad Rey Juan Carlos","2024-25_2321_2321020_oscardavid.robles (Universidad Rey Juan Carlos)"
"ORGANIZACION Y ARQUITECTURA DE COMPUTADORES","Robles Sánchez, Óscar David","2024-09-01","2097026-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Robles Sánchez, Óscar David (2024). ORGANIZACION Y ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2024-25_2097_2097026_oscardavid.robles (Universidad Rey Juan Carlos)"
