"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"PROGRAMACION CONCURRENTE","Rodríguez Bernal, Cristian","2025-09-01","2113024-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rodríguez Bernal, Cristian (2025). PROGRAMACION CONCURRENTE. Universdiad Rey Juan Carlos","2025-26_2113_2113024_cristian.rodriguez (Universidad Rey Juan Carlos)"
"Procesadores Gráficos y Aplicaciones en Tiempo Real-I","Rodríguez Bernal, Cristian","2025-09-01","634312-6343","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rodríguez Bernal, Cristian (2025). Procesadores Gráficos y Aplicaciones en Tiempo Real-I. Universdiad Rey Juan Carlos","2025-26_6343_634312_cristian.rodriguez (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Rodríguez Bernal, Cristian","2025-09-01","2243010-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rodríguez Bernal, Cristian (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2243_2243010_cristian.rodriguez (Universidad Rey Juan Carlos)"
"SISTEMAS DISTRIBUIDOS DE PROCESAMIENTO DE DATOS I","Rodríguez Bernal, Cristian","2025-09-01","2360027-2360","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rodríguez Bernal, Cristian (2025). SISTEMAS DISTRIBUIDOS DE PROCESAMIENTO DE DATOS I. Universdiad Rey Juan Carlos","2025-26_2360_2360027_cristian.rodriguez (Universidad Rey Juan Carlos)"
"INFORMATICA GRAFICA","Rodríguez Bernal, Cristian","2025-09-01","2265016-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rodríguez Bernal, Cristian (2025). INFORMATICA GRAFICA. Universdiad Rey Juan Carlos","2025-26_2265_2265016_cristian.rodriguez (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Rodríguez Bernal, Cristian","2025-09-01","2269012-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rodríguez Bernal, Cristian (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2269_2269012_cristian.rodriguez (Universidad Rey Juan Carlos)"
"BASES DE DATOS","Rodríguez Bernal, Cristian","2025-09-01","2360024-2360","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rodríguez Bernal, Cristian (2025). BASES DE DATOS. Universdiad Rey Juan Carlos","2025-26_2360_2360024_cristian.rodriguez (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS Y PROGRAMACION ORIENTADA A OBJETOS","Rodríguez Bernal, Cristian","2025-09-01","2360013-2360","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rodríguez Bernal, Cristian (2025). ESTRUCTURAS DE DATOS Y PROGRAMACION ORIENTADA A OBJETOS. Universdiad Rey Juan Carlos","2025-26_2360_2360013_cristian.rodriguez (Universidad Rey Juan Carlos)"
"INTERACCION PERSONA-MAQUINA Y USABILIDAD","Rodríguez Bernal, Cristian","2025-09-01","2265026-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rodríguez Bernal, Cristian (2025). INTERACCION PERSONA-MAQUINA Y USABILIDAD. Universdiad Rey Juan Carlos","2025-26_2265_2265026_cristian.rodriguez (Universidad Rey Juan Carlos)"
"PROGRAMACION CONCURRENTE","Rodríguez Bernal, Cristian","2025-09-01","2032025-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rodríguez Bernal, Cristian (2025). PROGRAMACION CONCURRENTE. Universdiad Rey Juan Carlos","2025-26_2032_2032025_cristian.rodriguez (Universidad Rey Juan Carlos)"
