"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"ANTECEDENTES Y DESARROLLO DE LA INTELIGENCIA ARTIFICIAL","Rodríguez Fernández, Rubén","2025-09-01","2361001-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rodríguez Fernández, Rubén (2025). ANTECEDENTES Y DESARROLLO DE LA INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2361_2361001_ruben.rodriguez (Universidad Rey Juan Carlos)"
"Big Data Processing II","Rodríguez Fernández, Rubén","2025-09-01","641211-6412","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rodríguez Fernández, Rubén (2025). Big Data Processing II. Universdiad Rey Juan Carlos","2025-26_6412_641211_ruben.rodriguez (Universidad Rey Juan Carlos)"
"BASE DE DATOS","Rodríguez Fernández, Rubén","2025-09-01","2265012-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rodríguez Fernández, Rubén (2025). BASE DE DATOS. Universdiad Rey Juan Carlos","2025-26_2265_2265012_ruben.rodriguez (Universidad Rey Juan Carlos)"
"JUEGOS EN RED","Rodríguez Fernández, Rubén","2025-09-01","2265027-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rodríguez Fernández, Rubén (2025). JUEGOS EN RED. Universdiad Rey Juan Carlos","2025-26_2265_2265027_ruben.rodriguez (Universidad Rey Juan Carlos)"
"JUEGOS EN RED","Rodríguez Fernández, Rubén","2025-09-01","2175027-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rodríguez Fernández, Rubén (2025). JUEGOS EN RED. Universdiad Rey Juan Carlos","2025-26_2175_2175027_ruben.rodriguez (Universidad Rey Juan Carlos)"
"Programación Orientada al Análisis de Datos","Rodríguez Fernández, Rubén","2025-09-01","641204-6412","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rodríguez Fernández, Rubén (2025). Programación Orientada al Análisis de Datos. Universdiad Rey Juan Carlos","2025-26_6412_641204_ruben.rodriguez (Universidad Rey Juan Carlos)"
"Tramo de Investigación (Sexenio)","Rodríguez Fernández, Rubén","2024-12-31","-","-","Reconocimientos","Tramo de Investigación (Sexenio)","-","-","-","-","-","-","-","Tramo de Investigación (Sexenio) (2024)","ruben.rodriguez-sexenios (Universidad Rey Juan Carlos)"
"JUEGOS EN RED","Rodríguez Fernández, Rubén","2024-09-01","2175027-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rodríguez Fernández, Rubén (2024). JUEGOS EN RED. Universdiad Rey Juan Carlos","2024-25_2175_2175027_ruben.rodriguez (Universidad Rey Juan Carlos)"
"JUEGOS EN RED","Rodríguez Fernández, Rubén","2024-09-01","2265027-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rodríguez Fernández, Rubén (2024). JUEGOS EN RED. Universdiad Rey Juan Carlos","2024-25_2265_2265027_ruben.rodriguez (Universidad Rey Juan Carlos)"
"GESTION DE DATOS EN MEDIOS DIGITALES","Rodríguez Fernández, Rubén","2024-09-01","2265031-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rodríguez Fernández, Rubén (2024). GESTION DE DATOS EN MEDIOS DIGITALES. Universdiad Rey Juan Carlos","2024-25_2265_2265031_ruben.rodriguez (Universidad Rey Juan Carlos)"
"Real-time classification of cattle behavior using Wireless Sensor Networks","Navarro, Jorge; Fernandez, Ruben R; Acena, Victor; Fernandez-Isabel, Alberto; Lancho, Carmen; de Diego, Isaac Martin","2024-04-01","10.1016/j.iot.2023.101008","N","Publicaciones","Artículo","Artificial intelligence; Ciencias sociales; Computer science (miscellaneous); Computer science applications; Computer science, information systems; Engineering (miscellaneous); Engineering, electrical & electronic; Hardware and architecture; Information systems; Management of technology and innovation; Software; Telecommunications","Internet Of Things","1.527","-","-","-","Q1","Navarro, Jorge; Fernandez, Ruben R; Acena, Victor; Fernandez-Isabel, Alberto; Lancho, Carmen; de Diego, Isaac Martin (2024). Real-time classification of cattle behavior using Wireless Sensor Networks. Internet Of Things, 25(), 101008-. DOI: 10.1016/j.iot.2023.101008","2-s2.0-85183654015 (Scopus);WOS:001128927300001 (WoS)"
"Support subsets estimation for support vector machines retraining","Aceña, V; de Diego, IM; Fernández, RR; Moguerza, JM","2023-02-01","10.1016/j.patcog.2022.109117","-","Publicaciones","Artículo","Artificial intelligence; Astronomia / física; Biodiversidade; Ciência da computação; Ciências biológicas i; Ciências biológicas iii; Computer science, artificial intelligence; Computer vision and pattern recognition; Engenharias iii; Engenharias iv; Engineering, electrical & electronic; Geociências; Interdisciplinar; Matemática / probabilidade e estatística; Medicina ii; Signal processing; Software","Pattern Recognition","2.732","-","-","-","Q1","Aceña, V; de Diego, IM; Fernández, RR; Moguerza, JM (2023). Support subsets estimation for support vector machines retraining. Pattern Recognition, 134(), 109117-. DOI: 10.1016/j.patcog.2022.109117","2-s2.0-85141226237 (Scopus);WOS:000883052900004 (WoS)"
"Explanation sets: A general framework for machine learning explainability","Fernández, RR; de Diego, IM; Moguerza, JM; Herrera, F","2022-12-01","10.1016/j.ins.2022.10.084","-","Publicaciones","Artículo","Administração pública e de empresas, ciências contábeis e turismo; Artificial intelligence; Astronomia / física; Biodiversidade; Ciência da computação; Ciências agrárias i; Ciências ambientais; Ciências biológicas i; Ciencias sociales; Computer science applications; Computer science, information systems; Comunicação e informação; Control and systems engineering; Engenharias i; Engenharias iii; Engenharias iv; Ensino; Information systems and management; Interdisciplinar; Matemática / probabilidade e estatística; Medicina ii; Software; Theoretical computer science","Information Sciences","2.285","-","-","-","Q1","Fernández, RR; de Diego, IM; Moguerza, JM; Herrera, F (2022). Explanation sets: A general framework for machine learning explainability. Information Sciences, 617(), 464-481. DOI: 10.1016/j.ins.2022.10.084","2-s2.0-85141789958 (Scopus);WOS:000901486800015 (WoS)"
"Minimally overfitted learners: A general framework for ensemble learning","Aceña, V; de Diego, IM; Fernández, RR; Moguerza, JM","2022-10-27","10.1016/j.knosys.2022.109669","Y","Publicaciones","Artículo","Administração pública e de empresas, ciências contábeis e turismo; Artificial intelligence; Astronomia / física; Ciência da computação; Ciências biológicas i; Ciencias sociales; Computer science, artificial intelligence; Comunicación e información; Economia; Engenharias iii; Engenharias iv; Información y documentación; Information systems and management; Interdisciplinar; Management information systems; Matemática / probabilidade e estatística; Software","Knowledge-Based Systems","2.065","-","-","-","Q1","Aceña, V; de Diego, IM; Fernández, RR; Moguerza, JM (2022). Minimally overfitted learners: A general framework for ensemble learning. Knowledge-Based Systems, 254(), 109669-. DOI: 10.1016/j.knosys.2022.109669","10.1016/j.knosys.2022.109669 (Crossref);2-s2.0-85135991429 (Scopus);WOS:000861089400004 (WoS)"
"DICYME: Dynamic Industrial CYberrisk Modelling based on Evidence","Rodríguez Fernández, Rubén (Investigador/a); Calvo Matalobos, Miguel (Investigador/a); Beltrán Pardo, Marta (Investigador/a); Martín de Diego, Isaac (Investigador principal (IP)); López Cano, Emilio (Investigador/a); Fernández Isabel, Alberto (Investigador principal (IP))","2022-09-01","CPP2021-009025","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","-","-","-","-","-","-","-","Ref.:CPP2021-009025. DICYME: Dynamic Industrial CYberrisk Modelling based on Evidence. Rodríguez Fernández, Rubén (Investigador/a); Calvo Matalobos, Miguel (Investigador/a); Beltrán Pardo, Marta (Investigador/a); Martín de Diego, Isaac (Investigador principal (IP)); López Cano, Emilio (Investigador/a); Fernández Isabel, Alberto (Investigador principal (IP)).  Financiadora: Ministerio de Ciencia e Innovación  (2022-09-01 / 2025-08-31)","M2953 (Otros);M2953 (Universidad Rey Juan Carlos)"
"Matemáticas explicables para soluciones interdisciplinares de ciencia de datos.","Alfaro Gimeno, César (Investigador/a); Gómez Miguel, Javier (Investigador/a); Aceña Gil, Víctor (Investigador/a); Fernández Muñoz, Juan José (Investigador/a); López Cano, Emilio (Investigador/a); Ortega Soto, José Felipe (Investigador/a); Udías Moinelo, Ángel Luis (Investigador/a); Alonso Ayuso, Antonio (Investigador/a); Garzás Parra, Javier (Investigador/a); Fernández Isabel, Alberto (Investigador/a); González de Lena Alonso, María Teresa (Investigador/a); TERAN VIADERO, PAULA MILAGROS (Investigador/a); Sierra Paradinas, María (Investigador/a); Cuesta Santa Teresa, Marina (Investigador/a); Escudero Bueno, Laureano Fernando (Investigador/a); NAVARRO  GARCÍA, JORGE (Investigador/a); Martín Campo, Francisco Javier (Investigador/a); Lancho Martín, María del Carmen (Investigador/a); Gutiérrez Peña, Gema (Investigador/a); Rodríguez Fernández, Rubén (Investigador/a); Martín de Diego, Isaac (Investigador/a); Algar Díaz, María Jesús (Investigador/a); Martínez Moguerza, Javier (Investigador principal (IP))","2022-09-01","PID2021-122640OB-I00","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","-","-","-","-","-","-","-","Ref.:PID2021-122640OB-I00. Matemáticas explicables para soluciones interdisciplinares de ciencia de datos.. Alfaro Gimeno, César (Investigador/a); Gómez Miguel, Javier (Investigador/a); Aceña Gil, Víctor (Investigador/a); Fernández Muñoz, Juan José (Investigador/a); López Cano, Emilio (Investigador/a); Ortega Soto, José Felipe (Investigador/a); Udías Moinelo, Ángel Luis (Investigador/a); Alonso Ayuso, Antonio (Investigador/a); Garzás Parra, Javier (Investigador/a); Fernández Isabel, Alberto (Investigador/a); González de Lena Alonso, María Teresa (Investigador/a); TERAN VIADERO, PAULA MILAGROS (Investigador/a); Sierra Paradinas, María (Investigador/a); Cuesta Santa Teresa, Marina (Investigador/a); Escudero Bueno, Laureano Fernando (Investigador/a); NAVARRO  GARCÍA, JORGE (Investigador/a); Martín Campo, Francisco Javier (Investigador/a); Lancho Martín, María del Carmen (Investigador/a); Gutiérrez Peña, Gema (Investigador/a); Rodríguez Fernández, Rubén (Investigador/a); Martín de Diego, Isaac (Investigador/a); Algar Díaz, María Jesús (Investigador/a); Martínez Moguerza, Javier (Investigador principal (IP)).  Financiadora: Agencia Estatal de Investigación  (2022-09-01 / 2026-08-31)","M2824 (Otros);M2824 (Universidad Rey Juan Carlos)"
"General Performance Score for classification problems","De Diego, IM; Redondo, AR; Fernández, RR; Navarro, J; Moguerza, JM","2022-08-01","10.1007/s10489-021-03041-7","Y","Publicaciones","Artículo","Administração, ciências contábeis e turismo; Artificial intelligence; Biotecnología; Ciência da computação; Ciências agrárias i; Ciências ambientais; Computer science, artificial intelligence; Engenharias iii; Engenharias iv; Interdisciplinar; Matemática / probabilidade e estatística","Applied Intelligence","1.145","-","-","-","Q2","De Diego, IM; Redondo, AR; Fernández, RR; Navarro, J; Moguerza, JM (2022). General Performance Score for classification problems. Applied Intelligence, 52(10), 12049-12063. DOI: 10.1007/s10489-021-03041-7","10.1007/s10489-021-03041-7 (Crossref);2-s2.0-85123958799 (Scopus);WOS:000750773800004 (WoS)"
"CIENCIA DE DATOS APLICADA AL SECTOR TURÍSTICO","Lancho Martín, María del Carmen (Investigador/a); Rodríguez Fernández, Rubén (Investigador principal (IP)); Martín de Diego, Isaac (Investigador/a); Martínez Moguerza, Javier (Investigador/a); Cuesta Santa Teresa, Marina (Investigador/a); López Cano, Emilio (Investigador/a); Fernández Isabel, Alberto (Investigador principal (IP))","2022-07-21","-","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","-","-","-","-","-","-","-","CIENCIA DE DATOS APLICADA AL SECTOR TURÍSTICO. Lancho Martín, María del Carmen (Investigador/a); Rodríguez Fernández, Rubén (Investigador principal (IP)); Martín de Diego, Isaac (Investigador/a); Martínez Moguerza, Javier (Investigador/a); Cuesta Santa Teresa, Marina (Investigador/a); López Cano, Emilio (Investigador/a); Fernández Isabel, Alberto (Investigador principal (IP)).  Financiadora: DEPHIMATICA S.L.  (2022-07-21 / 2023-07-20)","M2850 (Otros);M2850 (Universidad Rey Juan Carlos)"
"Combining user behavioural information at the feature level to enhance continuous authentication systems","Martín, AG; de Diego, IM; Fernández-Isabel, A; Beltrán, M; Fernández, RR","2022-05-23","10.1016/j.knosys.2022.108544","Y","Publicaciones","Artículo","Administração pública e de empresas, ciências contábeis e turismo; Artificial intelligence; Astronomia / física; Ciência da computação; Ciências biológicas i; Ciencias sociales; Computer science, artificial intelligence; Comunicación e información; Economia; Engenharias iii; Engenharias iv; Información y documentación; Information systems and management; Interdisciplinar; Management information systems; Matemática / probabilidade e estatística; Software","Knowledge-Based Systems","2.065","-","-","-","Q1","Martín, AG; de Diego, IM; Fernández-Isabel, A; Beltrán, M; Fernández, RR (2022). Combining user behavioural information at the feature level to enhance continuous authentication systems. Knowledge-Based Systems, 244(108544), 108544-. DOI: 10.1016/j.knosys.2022.108544","2-s2.0-85126996354 (Scopus);WOS:000793397800007 (WoS)"
"Modelos de clasificación del dataset de Madrid Decide","García de Marina Martín, Alejandro (Investigador/a); Lancho Martín, María del Carmen (Investigador/a); Rodríguez Fernández, Rubén (Investigador/a); Martín de Diego, Isaac (Investigador/a); Martínez Moguerza, Javier (Investigador/a); Cuesta Santa Teresa, Marina (Investigador/a); Aceña Gil, Víctor (Investigador principal (IP)); Fernández Isabel, Alberto (Investigador/a)","2022-03-01","-","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","-","-","-","-","-","-","-","Modelos de clasificación del dataset de Madrid Decide. García de Marina Martín, Alejandro (Investigador/a); Lancho Martín, María del Carmen (Investigador/a); Rodríguez Fernández, Rubén (Investigador/a); Martín de Diego, Isaac (Investigador/a); Martínez Moguerza, Javier (Investigador/a); Cuesta Santa Teresa, Marina (Investigador/a); Aceña Gil, Víctor (Investigador principal (IP)); Fernández Isabel, Alberto (Investigador/a).  Financiadora: DEIMOS SPACE SL  (2022-03-01 / 2023-02-28)","M2842 (Otros);M2842 (Universidad Rey Juan Carlos)"
"PREDICCIÓN DE LA CAPACIDAD PARA DEAMBULACIÓN AL MES DE FRACTURA DE CADERA","García de Marina Martín, Alejandro (Investigador/a); Lancho Martín, María del Carmen (Investigador/a); Rodríguez Fernández, Rubén (Investigador principal (IP)); Martín de Diego, Isaac (Investigador/a); Cuesta Santa Teresa, Marina (Investigador/a); Fernández Isabel, Alberto (Investigador/a)","2021-11-30","-","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","-","-","-","-","-","-","-","PREDICCIÓN DE LA CAPACIDAD PARA DEAMBULACIÓN AL MES DE FRACTURA DE CADERA. García de Marina Martín, Alejandro (Investigador/a); Lancho Martín, María del Carmen (Investigador/a); Rodríguez Fernández, Rubén (Investigador principal (IP)); Martín de Diego, Isaac (Investigador/a); Cuesta Santa Teresa, Marina (Investigador/a); Fernández Isabel, Alberto (Investigador/a).  Financiadora: Hospital Universitario Fundación Alcorcón  (2021-11-30 / 2023-11-29)","M2624 (Otros);M2624 (Universidad Rey Juan Carlos)"
