"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"DISEÑO Y ANALISIS DE ALGORITMOS","Rodríguez Uribe, Nicolás","2025-09-01","2360025-2360","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rodríguez Uribe, Nicolás (2025). DISEÑO Y ANALISIS DE ALGORITMOS. Universdiad Rey Juan Carlos","2025-26_2360_2360025_nicolas.rodriguez (Universidad Rey Juan Carlos)"
"DISEÑO Y ANALISIS DE ALGORITMOS","Rodríguez Uribe, Nicolás","2025-09-01","2285022-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rodríguez Uribe, Nicolás (2025). DISEÑO Y ANALISIS DE ALGORITMOS. Universdiad Rey Juan Carlos","2025-26_2285_2285022_nicolas.rodriguez (Universidad Rey Juan Carlos)"
"APLICACIONES DE LA INTELIGENCIA ARTIFICIAL","Rodríguez Uribe, Nicolás","2025-09-01","2361037-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rodríguez Uribe, Nicolás (2025). APLICACIONES DE LA INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2361_2361037_nicolas.rodriguez (Universidad Rey Juan Carlos)"
"PROCESAMIENTO DEL LENGUAJE NATURAL II","Rodríguez Uribe, Nicolás","2025-09-01","2361034-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rodríguez Uribe, Nicolás (2025). PROCESAMIENTO DEL LENGUAJE NATURAL II. Universdiad Rey Juan Carlos","2025-26_2361_2361034_nicolas.rodriguez (Universidad Rey Juan Carlos)"
"REMIXIFY: DESARROLLO DE UNA SPA DE RECETAS DE COMIDA CON ENFOQUE EN UX","Rodríguez Uribe, Nicolás (Tutor)","2025-07-22","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Rodríguez Uribe, Nicolás (Tutor) (2025). REMIXIFY: DESARROLLO DE UNA SPA DE RECETAS DE COMIDA CON ENFOQUE EN UX.","-"
"DESARROLLO Y DESPLIEGUE DE UNA SPA CON TEMÁTICA DE ENTRENADORES PERSONALES ONLINE UTILIZANDO HERRAMIENTAS DE AWS","Rodríguez Uribe, Nicolás (Tutor)","2025-07-18","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Rodríguez Uribe, Nicolás (Tutor) (2025). DESARROLLO Y DESPLIEGUE DE UNA SPA CON TEMÁTICA DE ENTRENADORES PERSONALES ONLINE UTILIZANDO HERRAMIENTAS DE AWS.","-"
"APLICACIÓN WEB INTERACTIVA PARA LA DOCENCIA DE ALGORITMOS DE BÚSQUEDA","Rodríguez Uribe, Nicolás (Tutor)","2025-07-18","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Rodríguez Uribe, Nicolás (Tutor) (2025). APLICACIÓN WEB INTERACTIVA PARA LA DOCENCIA DE ALGORITMOS DE BÚSQUEDA.","-"
"MEJORA DE LA IA DE PERSONAJES EN ANIMAL CROSSING: NEW LEAF","María Arribas, David (Tutor); Rodríguez Uribe, Nicolás (Cotutor)","2025-07-18","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","María Arribas, David (Tutor); Rodríguez Uribe, Nicolás (Cotutor) (2025). MEJORA DE LA IA DE PERSONAJES EN ANIMAL CROSSING: NEW LEAF.","-"
"DESARROLLO DE UN SISTEMA DE RECOMENDACIÓN PARA LA APLICACIÓN WEB PAWPET","Rodríguez Uribe, Nicolás (Tutor)","2025-07-12","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Rodríguez Uribe, Nicolás (Tutor) (2025). DESARROLLO DE UN SISTEMA DE RECOMENDACIÓN PARA LA APLICACIÓN WEB PAWPET.","-"
"PAWPET - UNA RED SOCIAL DE MASCOTAS","Rodríguez Uribe, Nicolás (Tutor)","2025-07-12","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Rodríguez Uribe, Nicolás (Tutor) (2025). PAWPET - UNA RED SOCIAL DE MASCOTAS.","-"
