"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"MATEMATICAS III","Rojas Patuelli, Karina Hortensia","2025-09-01","2119009-2119","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rojas Patuelli, Karina Hortensia (2025). MATEMATICAS III. Universdiad Rey Juan Carlos","2025-26_2119_2119009_karinah.rpatuelli (Universidad Rey Juan Carlos)"
"MATEMATICAS III","Rojas Patuelli, Karina Hortensia","2025-09-01","2336009-2336","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rojas Patuelli, Karina Hortensia (2025). MATEMATICAS III. Universdiad Rey Juan Carlos","2025-26_2336_2336009_karinah.rpatuelli (Universidad Rey Juan Carlos)"
"ESTADISTICA MATEMATICA","Rojas Patuelli, Karina Hortensia","2025-09-01","2347011-2347","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rojas Patuelli, Karina Hortensia (2025). ESTADISTICA MATEMATICA. Universdiad Rey Juan Carlos","2025-26_2347_2347011_karinah.rpatuelli (Universidad Rey Juan Carlos)"
"ESTADISTICA MATEMATICA","Rojas Patuelli, Karina Hortensia","2025-09-01","2178039-2178","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rojas Patuelli, Karina Hortensia (2025). ESTADISTICA MATEMATICA. Universdiad Rey Juan Carlos","2025-26_2178_2178039_karinah.rpatuelli (Universidad Rey Juan Carlos)"
"ESTADISTICA MATEMATICA","Rojas Patuelli, Karina Hortensia","2025-09-01","2118018-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rojas Patuelli, Karina Hortensia (2025). ESTADISTICA MATEMATICA. Universdiad Rey Juan Carlos","2025-26_2118_2118018_karinah.rpatuelli (Universidad Rey Juan Carlos)"
"ESTADISTICA","Rojas Patuelli, Karina Hortensia","2025-09-01","2321012-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rojas Patuelli, Karina Hortensia (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2321_2321012_karinah.rpatuelli (Universidad Rey Juan Carlos)"
"ESTADISTICA MATEMATICA","Rojas Patuelli, Karina Hortensia","2025-09-01","2315039-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rojas Patuelli, Karina Hortensia (2025). ESTADISTICA MATEMATICA. Universdiad Rey Juan Carlos","2025-26_2315_2315039_karinah.rpatuelli (Universidad Rey Juan Carlos)"
"METODOS OPERATIVOS Y ESTADISTICOS DE GESTION","Rojas Patuelli, Karina Hortensia","2025-09-01","2243019-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rojas Patuelli, Karina Hortensia (2025). METODOS OPERATIVOS Y ESTADISTICOS DE GESTION. Universdiad Rey Juan Carlos","2025-26_2243_2243019_karinah.rpatuelli (Universidad Rey Juan Carlos)"
"ESTADISTICA MATEMATICA","Rojas Patuelli, Karina Hortensia","2025-09-01","2316039-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rojas Patuelli, Karina Hortensia (2025). ESTADISTICA MATEMATICA. Universdiad Rey Juan Carlos","2025-26_2316_2316039_karinah.rpatuelli (Universidad Rey Juan Carlos)"
"ESTADISTICA","Rojas Patuelli, Karina Hortensia","2025-09-01","2175014-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Rojas Patuelli, Karina Hortensia (2025). ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2175_2175014_karinah.rpatuelli (Universidad Rey Juan Carlos)"
