"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"INTRODUCCION A LA ESTADISTICA","Ruiz Parrado, Victoria","2025-09-01","2373016-2373","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ruiz Parrado, Victoria (2025). INTRODUCCION A LA ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2373_2373016_victoria.ruiz.parrado (Universidad Rey Juan Carlos)"
"VISION ARTIFICIAL APLICADA A LA CIBERSEGURIDAD","Ruiz Parrado, Victoria","2025-09-01","2285031-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ruiz Parrado, Victoria (2025). VISION ARTIFICIAL APLICADA A LA CIBERSEGURIDAD. Universdiad Rey Juan Carlos","2025-26_2285_2285031_victoria.ruiz.parrado (Universidad Rey Juan Carlos)"
"FUNDAMENTOS MATEMÁTICOS","Ruiz Parrado, Victoria","2025-09-01","623015-6230","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ruiz Parrado, Victoria (2025). FUNDAMENTOS MATEMÁTICOS. Universdiad Rey Juan Carlos","2025-26_6230_623015_victoria.ruiz.parrado (Universidad Rey Juan Carlos)"
"METODOS BAYESIANOS","Ruiz Parrado, Victoria","2025-09-01","2360030-2360","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ruiz Parrado, Victoria (2025). METODOS BAYESIANOS. Universdiad Rey Juan Carlos","2025-26_2360_2360030_victoria.ruiz.parrado (Universidad Rey Juan Carlos)"
"APLICACIÓN WEB DE GESTIÓN DE CITAS PARA UNA BARBERÍA","Ruiz Parrado, Victoria (Tutor)","2025-07-17","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Ruiz Parrado, Victoria (Tutor) (2025). APLICACIÓN WEB DE GESTIÓN DE CITAS PARA UNA BARBERÍA.","-"
"ESTUDIO DE LÓGICA DIFUSA APLICADA A PROBLEMAS DE CLASIFICACIÓN Y OPTIMIZACIÓN","Simón de Blas, Clara (Tutor); Ruiz Parrado, Victoria (Cotutor)","2025-05-10","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Simón de Blas, Clara (Tutor); Ruiz Parrado, Victoria (Cotutor) (2025). ESTUDIO DE LÓGICA DIFUSA APLICADA A PROBLEMAS DE CLASIFICACIÓN Y OPTIMIZACIÓN.","-"
"LA RELACIÓN ENTRE LA TEORÍA DE GRAFOS Y LAS REDES NEURONALES","Ramírez Díaz, Iván (Cotutor); Ruiz Parrado, Victoria (Tutor)","2025-03-18","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Ramírez Díaz, Iván (Cotutor); Ruiz Parrado, Victoria (Tutor) (2025). LA RELACIÓN ENTRE LA TEORÍA DE GRAFOS Y LAS REDES NEURONALES.","-"
"DESARROLLO DE PROPUESTAS DE ACTIVIDADES MATEMÁTICAS  PARA AMPLIACIÓN DE CURRÍCULO DIRIGIDO A ESTUDIANTES CON  ALTAS CAPACIDADES","Simón de Blas, Clara (Tutor); Ruiz Parrado, Victoria (Cotutor)","2025-03-04","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Simón de Blas, Clara (Tutor); Ruiz Parrado, Victoria (Cotutor) (2025). DESARROLLO DE PROPUESTAS DE ACTIVIDADES MATEMÁTICAS  PARA AMPLIACIÓN DE CURRÍCULO DIRIGIDO A ESTUDIANTES CON  ALTAS CAPACIDADES.","-"
"Los artefactos de la liturgia medieval y su presencia en la cultura visual: objetos, vestiduras y libros (ss.VI-XVI)","PAZOS LOPEZ, ANGEL (Investigador principal (IP)); Moure Cuadrado, Marta María (Investigador/a); Soguero Ruíz, Cristina (Investigador/a); Arredondo Conchillo, Belén (Investigador/a); Rodríguez Rubio, María Carmen (Investigador/a); Aizpún Bobadilla, Teresa (Investigador/a); Medina Tomás, Nicolás (Investigador/a); García Marqués, Antonio (Investigador/a); Martín Martín, Diego (Investigador/a); García Sánchez, Beatriz (Investigador/a); Villa Ortiz, Agustín (Investigador/a); Barquero Pérez, Óscar (Investigador/a); Toledo Serrano, Javier (Investigador principal (IP)); Yela Uceda, Mercedes (Investigador principal (IP)); Écija Gallardo, Mª Carmen (Investigador/a); Moreno Olivo, Francisco Miguel (Investigador principal (IP)); García Valdés, Raúl (Investigador principal (IP)); Martín Rodríguez, Gabriel (Investigador/a); Buciulea Vlas, Andrei (Investigador/a); Pérez Rodríguez, Rodrigo (Investigador/a); Merinero Mesa, Sonia (Investigador principal (IP)); González León, Carlos (Investigador/a); Sánchez Rosa, Antonio (Investigador/a); Beltrán de la Cita, Jorge (Investigador principal (IP)); Millanes Romero, Ana María (Investigador/a); López de Zubiría Díaz, Sandra (Investigador/a); Artigas Arnaudas, José Joaquín (Investigador/a); Guerrero Hernández, José Miguel (Investigador/a); Ureña Fernández, Alejandro (Investigador/a); Pérez Pérez, Cristina (Investigador principal (IP)); Laguna Sánchez, María Pilar (Investigador/a); Díaz Mena, Victor (Investigador/a); Valverde Albacete, Francisco José (Investigador/a); Fernández Sánchez-Romate, Xoan Xosé (Investigador principal (IP)); Bonilla Priego, María Jesús (Investigador/a); Prado Escudero, Javier de (Investigador/a); Goya Esteban, Rebeca (Investigador/a); Sánchez Martínez, María (Investigador/a); Santero Sánchez, Rosa (Investigador/a); González Banciella, Andrés (Investigador/a); Soriano Salvador, Enrique (Investigador/a); Gómez Ruiz, Santiago (Investigador/a); Segovia Pérez, Mónica (Investigador/a); Muñoz Moreno, Bianca Karelia (Investigador/a); Chidean, Mihaela Ioana (Investigador principal (IP)); García Benito, Inés (Investigador principal (IP)); Nájera Sánchez, Juan José (Investigador/a); Bakkali, Hicham (Investigador/a); Villacrés Estrada, Grace Silvana (Investigador principal (IP)); Díaz García, Diana (Investigador principal (IP)); González Torres, Thais (Investigador principal (IP)); Martínez Martínez, Fernando (Investigador/a); Enciso Alonso-Muñumer, Isabel Luisa (Investigador/a); Méndez Arriaga, José Manuel (Investigador/a); Martín Barroso, Estefanía (Investigador/a); Villacé Molinero, María Teresa (Investigador/a); Perruca Gracia, Marina (Investigador principal (IP)); Prashar, Sanjiv (Investigador/a); Ardoy Cuadros, Juan (Investigador/a); Calle Durán, María Carmen de la (Investigador/a); Ama Espinosa, Antonio José del (Investigador/a); Bayona Beriso, Sofía (Investigador/a); Pelechano Barahona, Eva (Investigador/a); Lora Millán, Julio Salvador (Investigador principal (IP)); Sújar Garrido, Aarón (Investigador principal (IP)); Campos García, Irene (Investigador principal (IP)); Torrado Carvajal, Ángel (Investigador/a); Zapata Cáceres, María (Investigador/a); Morere Molinero, Nuria Elisa (Investigador/a); Molina Rueda, Francisco (Investigador/a); Castaño Peña, Juan Alejandro (Investigador principal (IP)); Mata Fernández, Susana (Investigador/a); González Sánchez, Rocío (Investigador principal (IP)); Bartolomé Vílchez, Javier (Investigador principal (IP)); Ordás López, María del Camino (Investigador/a); Fuentes Moraleda, Laura (Investigador/a); Sánchez de Madariaga, Elena (Investigador/a); Coya Párraga, María Carmen (Investigador/a); Quintana González, Julia (Investigador principal (IP)); Menchero Sánchez, Miriam (Investigador principal (IP)); Peláez Cordeiro, Irene Julia (Investigador/a); Vila Santos, María (Investigador/a); Gómez Sánchez, José (Investigador/a); Pastor Palomar, Antonio (Investigador/a); Galán Delgado, Diego (Investigador/a); Cadarso Morga, Luis (Investigador/a); Vélez Serrano, José Francisco (Investigador/a); Mercado Romero, Francisco (Investigador/a); Celis Fernández, Raúl de (Investigador/a); Sánchez Calle, Ángel (Investigador/a); Barjola Valero, Paloma (Investigador/a); Saavedra García, Jorge (Investigador principal (IP)); Ruiz Parrado, Victoria (Investigador principal (IP)); Fernandes Magalhaes, Roberto (Investigador/a); Muñoz Mohedano, Miguel Ángel (Investigador/a); Olivares González, Alberto (Investigador/a); Campo Gómez, Mónica (Investigador/a); Ferrera García, David (Investigador/a); Moreno Díaz, Ana Belén (Investigador/a); Marinescu Belenkov, Marius Alexandru (Investigador/a); Cortés Fernández, Alejandro (Investigador principal (IP)); Martín Buro García de Dionisio, María del Carmen (Investigador principal (IP)); Buenaposada Biencinto, José Miguel (Investigador/a); Staffetti Giammaria, Ernesto (Investigador/a); González Prolongo, Silvia (Investigador/a); Alzina Lozano, Álvaro (Investigador principal (IP)); Peñacoba Puente, María Cecilia (Investigador/a); García Valdés, Raúl (Investigador/a); Buelta Méndez, Almudena José (Investigador principal (IP)); Alique Amor, David (Investigador/a); Fernández Abad, Carlos (Investigador/a); Catalá Mesón, Patricia (Investigador principal (IP)); Markesteijn, Lars (Investigador/a); Urrutxua Cereijo, Hodei (Investigador/a); Jiménez Suárez, Alberto (Investigador/a); Debasa Navalpotro, Felipe Rodolfo (Investigador/a); Gutiérrez Hermoso, Lorena (Investigador/a); Carbó Molina, Andreu (Investigador/a); Chen, Xin (Investigador/a); Martínez Díaz, David (Investigador principal (IP)); Jiménez García, Francisco (Investigador/a); Balea Carbajo, Paula (Investigador principal (IP)); Paz Méndez, Javier (Investigador/a); Rey Escudero, Samuel (Investigador principal (IP)); ESPEUTE, EMMA VIOLETTE (Investigador/a); Ropero Carrasco, Julia (Investigador/a); Alcalá Martín, José Andrés (Investigador principal (IP))","2024-11-01","LÍNEA A. CP2301","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","","-","-","-","-","-","-","Ref.:LÍNEA A. CP2301. Los artefactos de la liturgia medieval y su presencia en la cultura visual: objetos, vestiduras y libros (ss.VI-XVI). PAZOS LOPEZ, ANGEL (Investigador principal (IP)); Moure Cuadrado, Marta María (Investigador/a); Soguero Ruíz, Cristina (Investigador/a); Arredondo Conchillo, Belén (Investigador/a); Rodríguez Rubio, María Carmen (Investigador/a); Aizpún Bobadilla, Teresa (Investigador/a); Medina Tomás, Nicolás (Investigador/a); García Marqués, Antonio (Investigador/a); Martín Martín, Diego (Investigador/a); García Sánchez, Beatriz (Investigador/a); Villa Ortiz, Agustín (Investigador/a); Barquero Pérez, Óscar (Investigador/a); Toledo Serrano, Javier (Investigador principal (IP)); Yela Uceda, Mercedes (Investigador principal (IP)); Écija Gallardo, Mª Carmen (Investigador/a); Moreno Olivo, Francisco Miguel (Investigador principal (IP)); García Valdés, Raúl (Investigador principal (IP)); Martín Rodríguez, Gabriel (Investigador/a); Buciulea Vlas, Andrei (Investigador/a); Pérez Rodríguez, Rodrigo (Investigador/a); Merinero Mesa, Sonia (Investigador principal (IP)); González León, Carlos (Investigador/a); Sánchez Rosa, Antonio (Investigador/a); Beltrán de la Cita, Jorge (Investigador principal (IP)); Millanes Romero, Ana María (Investigador/a); López de Zubiría Díaz, Sandra (Investigador/a); Artigas Arnaudas, José Joaquín (Investigador/a); Guerrero Hernández, José Miguel (Investigador/a); Ureña Fernández, Alejandro (Investigador/a); Pérez Pérez, Cristina (Investigador principal (IP)); Laguna Sánchez, María Pilar (Investigador/a); Díaz Mena, Victor (Investigador/a); Valverde Albacete, Francisco José (Investigador/a); Fernández Sánchez-Romate, Xoan Xosé (Investigador principal (IP)); Bonilla Priego, María Jesús (Investigador/a); Prado Escudero, Javier de (Investigador/a); Goya Esteban, Rebeca (Investigador/a); Sánchez Martínez, María (Investigador/a); Santero Sánchez, Rosa (Investigador/a); González Banciella, Andrés (Investigador/a); Soriano Salvador, Enrique (Investigador/a); Gómez Ruiz, Santiago (Investigador/a); Segovia Pérez, Mónica (Investigador/a); Muñoz Moreno, Bianca Karelia (Investigador/a); Chidean, Mihaela Ioana (Investigador principal (IP)); García Benito, Inés (Investigador principal (IP)); Nájera Sánchez, Juan José (Investigador/a); Bakkali, Hicham (Investigador/a); Villacrés Estrada, Grace Silvana (Investigador principal (IP)); Díaz García, Diana (Investigador principal (IP)); González Torres, Thais (Investigador principal (IP)); Martínez Martínez, Fernando (Investigador/a); Enciso Alonso-Muñumer, Isabel Luisa (Investigador/a); Méndez Arriaga, José Manuel (Investigador/a); Martín Barroso, Estefanía (Investigador/a); Villacé Molinero, María Teresa (Investigador/a); Perruca Gracia, Marina (Investigador principal (IP)); Prashar, Sanjiv (Investigador/a); Ardoy Cuadros, Juan (Investigador/a); Calle Durán, María Carmen de la (Investigador/a); Ama Espinosa, Antonio José del (Investigador/a); Bayona Beriso, Sofía (Investigador/a); Pelechano Barahona, Eva (Investigador/a); Lora Millán, Julio Salvador (Investigador principal (IP)); Sújar Garrido, Aarón (Investigador principal (IP)); Campos García, Irene (Investigador principal (IP)); Torrado Carvajal, Ángel (Investigador/a); Zapata Cáceres, María (Investigador/a); Morere Molinero, Nuria Elisa (Investigador/a); Molina Rueda, Francisco (Investigador/a); Castaño Peña, Juan Alejandro (Investigador principal (IP)); Mata Fernández, Susana (Investigador/a); González Sánchez, Rocío (Investigador principal (IP)); Bartolomé Vílchez, Javier (Investigador principal (IP)); Ordás López, María del Camino (Investigador/a); Fuentes Moraleda, Laura (Investigador/a); Sánchez de Madariaga, Elena (Investigador/a); Coya Párraga, María Carmen (Investigador/a); Quintana González, Julia (Investigador principal (IP)); Menchero Sánchez, Miriam (Investigador principal (IP)); Peláez Cordeiro, Irene Julia (Investigador/a); Vila Santos, María (Investigador/a); Gómez Sánchez, José (Investigador/a); Pastor Palomar, Antonio (Investigador/a); Galán Delgado, Diego (Investigador/a); Cadarso Morga, Luis (Investigador/a); Vélez Serrano, José Francisco (Investigador/a); Mercado Romero, Francisco (Investigador/a); Celis Fernández, Raúl de (Investigador/a); Sánchez Calle, Ángel (Investigador/a); Barjola Valero, Paloma (Investigador/a); Saavedra García, Jorge (Investigador principal (IP)); Ruiz Parrado, Victoria (Investigador principal (IP)); Fernandes Magalhaes, Roberto (Investigador/a); Muñoz Mohedano, Miguel Ángel (Investigador/a); Olivares González, Alberto (Investigador/a); Campo Gómez, Mónica (Investigador/a); Ferrera García, David (Investigador/a); Moreno Díaz, Ana Belén (Investigador/a); Marinescu Belenkov, Marius Alexandru (Investigador/a); Cortés Fernández, Alejandro (Investigador principal (IP)); Martín Buro García de Dionisio, María del Carmen (Investigador principal (IP)); Buenaposada Biencinto, José Miguel (Investigador/a); Staffetti Giammaria, Ernesto (Investigador/a); González Prolongo, Silvia (Investigador/a); Alzina Lozano, Álvaro (Investigador principal (IP)); Peñacoba Puente, María Cecilia (Investigador/a); García Valdés, Raúl (Investigador/a); Buelta Méndez, Almudena José (Investigador principal (IP)); Alique Amor, David (Investigador/a); Fernández Abad, Carlos (Investigador/a); Catalá Mesón, Patricia (Investigador principal (IP)); Markesteijn, Lars (Investigador/a); Urrutxua Cereijo, Hodei (Investigador/a); Jiménez Suárez, Alberto (Investigador/a); Debasa Navalpotro, Felipe Rodolfo (Investigador/a); Gutiérrez Hermoso, Lorena (Investigador/a); Carbó Molina, Andreu (Investigador/a); Chen, Xin (Investigador/a); Martínez Díaz, David (Investigador principal (IP)); Jiménez García, Francisco (Investigador/a); Balea Carbajo, Paula (Investigador principal (IP)); Paz Méndez, Javier (Investigador/a); Rey Escudero, Samuel (Investigador principal (IP)); ESPEUTE, EMMA VIOLETTE (Investigador/a); Ropero Carrasco, Julia (Investigador/a); Alcalá Martín, José Andrés (Investigador principal (IP)).  Financiadora: Comunidad de Madrid  (2024-11-01 / 2026-10-31)","A622 (Universidad Rey Juan Carlos);A623 (Universidad Rey Juan Carlos);A624 (Universidad Rey Juan Carlos);F1176 (Universidad Rey Juan Carlos);F1177 (Universidad Rey Juan Carlos);F1178 (Universidad Rey Juan Carlos);F1179 (Universidad Rey Juan Carlos);F1180 (Universidad Rey Juan Carlos);F1181 (Universidad Rey Juan Carlos);F1182 (Universidad Rey Juan Carlos);F1183 (Universidad Rey Juan Carlos);M3579 (Universidad Rey Juan Carlos);M3580 (Universidad Rey Juan Carlos);M3581 (Universidad Rey Juan Carlos);M3582 (Universidad Rey Juan Carlos);M3583 (Universidad Rey Juan Carlos);M3584 (Universidad Rey Juan Carlos);M3585 (Universidad Rey Juan Carlos);M3586 (Universidad Rey Juan Carlos);M3587 (Universidad Rey Juan Carlos);M3588 (Universidad Rey Juan Carlos);V1502 (Universidad Rey Juan Carlos);V1503 (Universidad Rey Juan Carlos);V1504 (Universidad Rey Juan Carlos);V1505 (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA ESTADISTICA","Ruiz Parrado, Victoria","2024-09-01","2373016-2373","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Ruiz Parrado, Victoria (2024). INTRODUCCION A LA ESTADISTICA. Universdiad Rey Juan Carlos","2024-25_2373_2373016_victoria.ruiz.parrado (Universidad Rey Juan Carlos)"
