"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"INFORMATICA Y COMPETENCIA DIGITAL DOCENTE","Santacruz Valencia, Liliana Patricia","2025-09-01","2018006-2018","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Santacruz Valencia, Liliana Patricia (2025). INFORMATICA Y COMPETENCIA DIGITAL DOCENTE. Universdiad Rey Juan Carlos","2025-26_2018_2018006_liliana.santacruz (Universidad Rey Juan Carlos)"
"MULTIMEDIA","Santacruz Valencia, Liliana Patricia","2025-09-01","2114039-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Santacruz Valencia, Liliana Patricia (2025). MULTIMEDIA. Universdiad Rey Juan Carlos","2025-26_2114_2114039_liliana.santacruz (Universidad Rey Juan Carlos)"
"MULTIMEDIA","Santacruz Valencia, Liliana Patricia","2025-09-01","2034034-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Santacruz Valencia, Liliana Patricia (2025). MULTIMEDIA. Universdiad Rey Juan Carlos","2025-26_2034_2034034_liliana.santacruz (Universidad Rey Juan Carlos)"
"LABORATORIO DE DISPOSITIVOS MOVILES","Santacruz Valencia, Liliana Patricia","2025-09-01","2034040-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Santacruz Valencia, Liliana Patricia (2025). LABORATORIO DE DISPOSITIVOS MOVILES. Universdiad Rey Juan Carlos","2025-26_2034_2034040_liliana.santacruz (Universidad Rey Juan Carlos)"
"ÁREA COMPETENCIAL DE COMUNICACIÓN Y COLABORACIÓN","Santacruz Valencia, Liliana Patricia","2025-09-01","630403-6304","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Santacruz Valencia, Liliana Patricia (2025). ÁREA COMPETENCIAL DE COMUNICACIÓN Y COLABORACIÓN. Universdiad Rey Juan Carlos","2025-26_6304_630403_liliana.santacruz (Universidad Rey Juan Carlos)"
"LABORATORIO DE DISPOSITIVOS MOVILES","Santacruz Valencia, Liliana Patricia","2025-09-01","2032032-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Santacruz Valencia, Liliana Patricia (2025). LABORATORIO DE DISPOSITIVOS MOVILES. Universdiad Rey Juan Carlos","2025-26_2032_2032032_liliana.santacruz (Universidad Rey Juan Carlos)"
"Área Competencial de Comunicación y Colaboración","Santacruz Valencia, Liliana Patricia","2025-09-01","641903-6419","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Santacruz Valencia, Liliana Patricia (2025). Área Competencial de Comunicación y Colaboración. Universdiad Rey Juan Carlos","2025-26_6419_641903_liliana.santacruz (Universidad Rey Juan Carlos)"
"LABORATORIO DE DISPOSITIVOS MOVILES","Santacruz Valencia, Liliana Patricia","2025-09-01","2113044-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Santacruz Valencia, Liliana Patricia (2025). LABORATORIO DE DISPOSITIVOS MOVILES. Universdiad Rey Juan Carlos","2025-26_2113_2113044_liliana.santacruz (Universidad Rey Juan Carlos)"
"LABORATORIO DE DISPOSITIVOS MOVILES","Santacruz Valencia, Liliana Patricia","2025-09-01","2033041-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Santacruz Valencia, Liliana Patricia (2025). LABORATORIO DE DISPOSITIVOS MOVILES. Universdiad Rey Juan Carlos","2025-26_2033_2033041_liliana.santacruz (Universidad Rey Juan Carlos)"
"¿DÓNDE ESTÁN LAS LLAVES?: APLICACIÓN BASADA EN REALIDAD AUMENTADA PARA LA ENSEÑANZA DE CONCEPTOS BÁSICOS DE PROGRAMACIÓN EN EDADES TEMPRANAS","Santacruz Valencia, Liliana Patricia (Tutor)","2025-07-24","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Santacruz Valencia, Liliana Patricia (Tutor) (2025). ¿DÓNDE ESTÁN LAS LLAVES?: APLICACIÓN BASADA EN REALIDAD AUMENTADA PARA LA ENSEÑANZA DE CONCEPTOS BÁSICOS DE PROGRAMACIÓN EN EDADES TEMPRANAS.","-"
"ANÁLISIS DE LA EVOLUCIÓN DEL ESTILO GRÁFICO DE LOS VIDEOJUEGOS A LO LARGO DE LA HISTORIA","Santacruz Valencia, Liliana Patricia (Tutor)","2025-07-24","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Santacruz Valencia, Liliana Patricia (Tutor) (2025). ANÁLISIS DE LA EVOLUCIÓN DEL ESTILO GRÁFICO DE LOS VIDEOJUEGOS A LO LARGO DE LA HISTORIA.","-"
"ANÁLISIS Y DESARROLLO DE LAS TÉCNICAS DE ANIMACIÓN 3D Y LAS CINEMÁTICAS EN LOS VIDEOJUEGOS","Santacruz Valencia, Liliana Patricia (Tutor)","2025-07-24","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Santacruz Valencia, Liliana Patricia (Tutor) (2025). ANÁLISIS Y DESARROLLO DE LAS TÉCNICAS DE ANIMACIÓN 3D Y LAS CINEMÁTICAS EN LOS VIDEOJUEGOS.","-"
"ESCAPAR DE LA ISLA: JUEGO BASADO EN REALIDAD AUMENTADA PARA EL DESARROLLO DE CONCEPTOS DE PROGRAMACIÓN EN EDUCACIÓN PRIMARIA","Santacruz Valencia, Liliana Patricia (Tutor)","2025-07-23","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Santacruz Valencia, Liliana Patricia (Tutor) (2025). ESCAPAR DE LA ISLA: JUEGO BASADO EN REALIDAD AUMENTADA PARA EL DESARROLLO DE CONCEPTOS DE PROGRAMACIÓN EN EDUCACIÓN PRIMARIA.","-"
