"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"ESTRUCTURAS DE DATOS","Sanz Montemayor, Antonio","2025-09-01","2033008-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sanz Montemayor, Antonio (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2033_2033008_antonio.sanz (Universidad Rey Juan Carlos)"
"TRATAMIENTO DIGITAL DE IMÁGENES","Sanz Montemayor, Antonio","2025-09-01","623001-6230","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sanz Montemayor, Antonio (2025). TRATAMIENTO DIGITAL DE IMÁGENES. Universdiad Rey Juan Carlos","2025-26_6230_623001_antonio.sanz (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Sanz Montemayor, Antonio","2025-09-01","2315008-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sanz Montemayor, Antonio (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2315_2315008_antonio.sanz (Universidad Rey Juan Carlos)"
"INTRODUCCIÓN A LA INVESTIGACIÓN EN VISIÓN ARTIFICIAL","Sanz Montemayor, Antonio","2025-09-01","623017-6230","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sanz Montemayor, Antonio (2025). INTRODUCCIÓN A LA INVESTIGACIÓN EN VISIÓN ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_6230_623017_antonio.sanz (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Sanz Montemayor, Antonio","2025-09-01","2097012-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sanz Montemayor, Antonio (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2097_2097012_antonio.sanz (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS I","Sanz Montemayor, Antonio","2025-09-01","2361012-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sanz Montemayor, Antonio (2025). ESTRUCTURAS DE DATOS I. Universdiad Rey Juan Carlos","2025-26_2361_2361012_antonio.sanz (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Sanz Montemayor, Antonio","2025-09-01","2117010-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sanz Montemayor, Antonio (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2117_2117010_antonio.sanz (Universidad Rey Juan Carlos)"
"APLICACIONES DE LA INTELIGENCIA ARTIFICIAL","Sanz Montemayor, Antonio","2025-09-01","2361037-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sanz Montemayor, Antonio (2025). APLICACIONES DE LA INTELIGENCIA ARTIFICIAL. Universdiad Rey Juan Carlos","2025-26_2361_2361037_antonio.sanz (Universidad Rey Juan Carlos)"
"DESARROLLO DE UN MAPA INTERACTIVO MEDIANTE REALIDAD AUMENTADA: INNOVACIÓN EN LA EDUCACIÓN TOPOGRÁFICA","Sanz Montemayor, Antonio (Tutor); Rincón Ramos, Marta (Cotutor)","2025-07-30","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Sanz Montemayor, Antonio (Tutor); Rincón Ramos, Marta (Cotutor) (2025). DESARROLLO DE UN MAPA INTERACTIVO MEDIANTE REALIDAD AUMENTADA: INNOVACIÓN EN LA EDUCACIÓN TOPOGRÁFICA.","-"
"Real-like synthetic sperm video generation from learned behaviors","Hernandez-Garcia, Sergio; Cuesta-Infante, Alfredo; Makris, Dimitrios; Montemayor, Antonio S","2025-04-01","10.1007/s10489-025-06407-3","N","Publicaciones","Artículo","Administração, ciências contábeis e turismo; Artificial intelligence; Biotecnología; Ciência da computação; Ciências agrárias i; Ciências ambientais; Computer science, artificial intelligence; Engenharias iii; Engenharias iv; Interdisciplinar; Matemática / probabilidade e estatística","Applied Intelligence","0.932","-","-","-","Q2","Hernandez-Garcia, Sergio; Cuesta-Infante, Alfredo; Makris, Dimitrios; Montemayor, Antonio S (2025). Real-like synthetic sperm video generation from learned behaviors. Applied Intelligence, 55(6), 518-. DOI: 10.1007/s10489-025-06407-3","10.1007/s10489-025-06407-3 (Crossref);10303063 (iMarina);2-s2.0-86000790760 (Scopus);WOS:001481406100001 (WoS)"
