"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"PROGRAMACION DECLARATIVA","Serrano Hidalgo, Juan Manuel","2025-09-01","2114023-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Hidalgo, Juan Manuel (2025). PROGRAMACION DECLARATIVA. Universdiad Rey Juan Carlos","2025-26_2114_2114023_juanmanuel.serrano (Universidad Rey Juan Carlos)"
"MAQUINAS SECUENCIALES, AUTOMATAS Y LENGUAJES","Serrano Hidalgo, Juan Manuel","2025-09-01","2032035-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Hidalgo, Juan Manuel (2025). MAQUINAS SECUENCIALES, AUTOMATAS Y LENGUAJES. Universdiad Rey Juan Carlos","2025-26_2032_2032035_juanmanuel.serrano (Universidad Rey Juan Carlos)"
"PROGRAMACION DECLARATIVA","Serrano Hidalgo, Juan Manuel","2025-09-01","2269044-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Hidalgo, Juan Manuel (2025). PROGRAMACION DECLARATIVA. Universdiad Rey Juan Carlos","2025-26_2269_2269044_juanmanuel.serrano (Universidad Rey Juan Carlos)"
"PROGRAMACION DECLARATIVA","Serrano Hidalgo, Juan Manuel","2025-09-01","2315026-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Hidalgo, Juan Manuel (2025). PROGRAMACION DECLARATIVA. Universdiad Rey Juan Carlos","2025-26_2315_2315026_juanmanuel.serrano (Universidad Rey Juan Carlos)"
"PROGRAMACION DECLARATIVA","Serrano Hidalgo, Juan Manuel","2025-09-01","2117039-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Hidalgo, Juan Manuel (2025). PROGRAMACION DECLARATIVA. Universdiad Rey Juan Carlos","2025-26_2117_2117039_juanmanuel.serrano (Universidad Rey Juan Carlos)"
"PROGRAMACION DECLARATIVA","Serrano Hidalgo, Juan Manuel","2025-09-01","2243049-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Hidalgo, Juan Manuel (2025). PROGRAMACION DECLARATIVA. Universdiad Rey Juan Carlos","2025-26_2243_2243049_juanmanuel.serrano (Universidad Rey Juan Carlos)"
"PROGRAMACION DECLARATIVA","Serrano Hidalgo, Juan Manuel","2025-09-01","2361009-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Hidalgo, Juan Manuel (2025). PROGRAMACION DECLARATIVA. Universdiad Rey Juan Carlos","2025-26_2361_2361009_juanmanuel.serrano (Universidad Rey Juan Carlos)"
"LOGICA","Serrano Hidalgo, Juan Manuel","2025-09-01","2361003-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Hidalgo, Juan Manuel (2025). LOGICA. Universdiad Rey Juan Carlos","2025-26_2361_2361003_juanmanuel.serrano (Universidad Rey Juan Carlos)"
"PROGRAMACION DECLARATIVA","Serrano Hidalgo, Juan Manuel","2025-09-01","2059023-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Hidalgo, Juan Manuel (2025). PROGRAMACION DECLARATIVA. Universdiad Rey Juan Carlos","2025-26_2059_2059023_juanmanuel.serrano (Universidad Rey Juan Carlos)"
"PROGRAMACION DECLARATIVA","Serrano Hidalgo, Juan Manuel","2025-09-01","2097044-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Hidalgo, Juan Manuel (2025). PROGRAMACION DECLARATIVA. Universdiad Rey Juan Carlos","2025-26_2097_2097044_juanmanuel.serrano (Universidad Rey Juan Carlos)"
