"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"Inglés","Serrano Luján, Lucía","2025-09-18","-","-","Idiomas","Conocimiento de idiomas","-","-","-","-","-","-","-","Inglés:  () 2025","lucia.serrano_Inglés_C1 (Universidad Rey Juan Carlos)"
"ICT IN EDUCATION","Serrano Luján, Lucía","2025-09-01","2109006-2109","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Luján, Lucía (2025). ICT IN EDUCATION. Universdiad Rey Juan Carlos","2025-26_2109_2109006_lucia.serrano (Universidad Rey Juan Carlos)"
"COMPUTER SCIENCE AND DIGITAL COMPETENCY","Serrano Luján, Lucía","2025-09-01","2170006-2170","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Luján, Lucía (2025). COMPUTER SCIENCE AND DIGITAL COMPETENCY. Universdiad Rey Juan Carlos","2025-26_2170_2170006_lucia.serrano (Universidad Rey Juan Carlos)"
"COMPUTER SCIENCE DIGITAL COMPETENCY","Serrano Luján, Lucía","2025-09-01","2128006-2128","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Luján, Lucía (2025). COMPUTER SCIENCE DIGITAL COMPETENCY. Universdiad Rey Juan Carlos","2025-26_2128_2128006_lucia.serrano (Universidad Rey Juan Carlos)"
"MEMRISTORES: FUNDAMENTOS, TECNOLOGÍAS Y COMPARACIÓN CON MEMORIAS TRADICIONALES","Serrano Luján, Lucía (Tutor)","2025-03-08","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Serrano Luján, Lucía (Tutor) (2025). MEMRISTORES: FUNDAMENTOS, TECNOLOGÍAS Y COMPARACIÓN CON MEMORIAS TRADICIONALES.","-"
"Miembro. Programa de Doctorado en Tecnologías de la Información y las Comunicaciones","Serrano Luján, Lucía","2025-01-01","1813571-4769","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
"Miembro. Programa de Doctorado en Tecnologías Industriales: Química, Ambiental, Energética, Electrónica, Mecánica, y de los Materiales","Serrano Luján, Lucía","2025-01-01","1813691-4769","-","Experiencia profesional","Cargos y actividades desempeñadas anteriores a la actual","-","-","-","-","-","-","-","-","-"
"Ciberseguridad e inteligencia artificial resiliente para la Comunidad de Madrid. (GRAFO)","Serrano Luján, Lucía (Investigador/a); Penedo Ventosa, Iván (Investigador/a); Pérez Peló, Sergio (Investigador/a); Martín García, Lucas (Investigador/a); Cavero Díaz, Sergio (Investigador/a); Colmenar Verdugo, José Manuel (Investigador/a); Salazar Cárdenas, Sergio (Investigador/a); Martín Santamaría, Raúl (Investigador/a); Ventura Cabrejas, Silvia (Investigador/a); Lozano Osorio, Isaac (Investigador/a); García Pardo, Eduardo (Investigador/a); Herrán González, Alberto (Investigador/a); Casado Ceballos, Alejandra (Investigador/a); Diaconescu, Teodor Andrei (Investigador/a); Duarte Muñoz, Abraham (Investigador/a); Sánchez-Oro Calvo, Jesús (Investigador principal (IP)); Yuste Moure, Javier (Investigador/a); Fernández Timón, Alfonso (Investigador/a); González Pardo, Antonio (Investigador/a); Robles Rodríguez, Marcos (Investigador/a); Rodríguez Uribe, Nicolás (Investigador/a); Viejo Fernández, Manuel (Investigador/a)","2025-01-01","TEC-2024/COM-404","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","","-","-","-","-","-","-","Ref.:TEC-2024/COM-404. Ciberseguridad e inteligencia artificial resiliente para la Comunidad de Madrid. (GRAFO). Serrano Luján, Lucía (Investigador/a); Penedo Ventosa, Iván (Investigador/a); Pérez Peló, Sergio (Investigador/a); Martín García, Lucas (Investigador/a); Cavero Díaz, Sergio (Investigador/a); Colmenar Verdugo, José Manuel (Investigador/a); Salazar Cárdenas, Sergio (Investigador/a); Martín Santamaría, Raúl (Investigador/a); Ventura Cabrejas, Silvia (Investigador/a); Lozano Osorio, Isaac (Investigador/a); García Pardo, Eduardo (Investigador/a); Herrán González, Alberto (Investigador/a); Casado Ceballos, Alejandra (Investigador/a); Diaconescu, Teodor Andrei (Investigador/a); Duarte Muñoz, Abraham (Investigador/a); Sánchez-Oro Calvo, Jesús (Investigador principal (IP)); Yuste Moure, Javier (Investigador/a); Fernández Timón, Alfonso (Investigador/a); González Pardo, Antonio (Investigador/a); Robles Rodríguez, Marcos (Investigador/a); Rodríguez Uribe, Nicolás (Investigador/a); Viejo Fernández, Manuel (Investigador/a).  Financiadora: Comunidad de Madrid  (2025-01-01 / 2028-12-31)","M3832 (Universidad Rey Juan Carlos)"
"Control de los procesos iónico-electrónicos de degradación en dispositivos fotovoltaicos de perovskita mediante técnicas transitorias.","Cuadrado Conde, Alexander (Investigador/a); Hernández Balaguera, Enrique (Investigador principal (IP)); Pozo Melero, Gonzalo del (Investigador/a); Serrano Luján, Lucía (Investigador/a); Romero Herrero, Beatriz (Investigador/a)","2025-01-01","2024/SOLCON-135843","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","","-","-","-","-","-","-","Ref.:2024/SOLCON-135843. Control de los procesos iónico-electrónicos de degradación en dispositivos fotovoltaicos de perovskita mediante técnicas transitorias.. Cuadrado Conde, Alexander (Investigador/a); Hernández Balaguera, Enrique (Investigador principal (IP)); Pozo Melero, Gonzalo del (Investigador/a); Serrano Luján, Lucía (Investigador/a); Romero Herrero, Beatriz (Investigador/a).  Financiadora: Universidad Rey Juan Carlos  (2025-01-01 / 2025-12-31)","M3712 (Universidad Rey Juan Carlos)"
"COMPUTER SCIENCE AND DIGITAL COMPETENCY","Serrano Luján, Lucía","2024-09-01","2170006-2170","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Luján, Lucía (2024). COMPUTER SCIENCE AND DIGITAL COMPETENCY. Universdiad Rey Juan Carlos","2024-25_2170_2170006_lucia.serrano (Universidad Rey Juan Carlos)"
"ICT IN EDUCATION","Serrano Luján, Lucía","2024-09-01","2109006-2109","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Luján, Lucía (2024). ICT IN EDUCATION. Universdiad Rey Juan Carlos","2024-25_2109_2109006_lucia.serrano (Universidad Rey Juan Carlos)"
"COMPUTER SCIENCE DIGITAL COMPETENCY","Serrano Luján, Lucía","2024-09-01","2128006-2128","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Luján, Lucía (2024). COMPUTER SCIENCE DIGITAL COMPETENCY. Universdiad Rey Juan Carlos","2024-25_2128_2128006_lucia.serrano (Universidad Rey Juan Carlos)"
"GESTION DE DATOS EN MEDIOS DIGITALES","Serrano Luján, Lucía","2024-09-01","2175031-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Luján, Lucía (2024). GESTION DE DATOS EN MEDIOS DIGITALES. Universdiad Rey Juan Carlos","2024-25_2175_2175031_lucia.serrano (Universidad Rey Juan Carlos)"
"GESTION DE DATOS EN MEDIOS DIGITALES","Serrano Luján, Lucía","2024-09-01","2321033-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Luján, Lucía (2024). GESTION DE DATOS EN MEDIOS DIGITALES. Universdiad Rey Juan Carlos","2024-25_2321_2321033_lucia.serrano (Universidad Rey Juan Carlos)"
"GAMESHARE: PORTAL WEB PARA COMPARTIR EXPERIENCIAS DE VIDEOJUEGOS BASADO EN ANGULAR Y FIREBASE","Serrano Luján, Lucía (Tutor)","2024-07-15","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Serrano Luján, Lucía (Tutor) (2024). GAMESHARE: PORTAL WEB PARA COMPARTIR EXPERIENCIAS DE VIDEOJUEGOS BASADO EN ANGULAR Y FIREBASE.","-"
"Neural Network-Based Digital Camera Spectrophotometer: Application to Chromogenic Technologies Characterization","Cánovas-Saura, A; Serrano-Luján, L; Beltrán, V; Padilla, J","2024-06-28","10.1021/acsaom.4c00180","-","Publicaciones","Artículo","Atomic and molecular physics, and optics; Electronic, optical and magnetic materials; Materials science, multidisciplinary; Optics; Spectroscopy","Acs Applied Optical Materials","0.573","-","-","-","Q2","Cánovas-Saura, A; Serrano-Luján, L; Beltrán, V; Padilla, J (2024). Neural Network-Based Digital Camera Spectrophotometer: Application to Chromogenic Technologies Characterization. Acs Applied Optical Materials, 2(7), 1403-1412. DOI: 10.1021/acsaom.4c00180","2-s2.0-85197596686 (Scopus);9828667 (iMarina);WOS:001371202300001 (WoS)"
"Hybrid Metaheuristic Algorithms for Optimization of Countrywide Primary Energy: Analysing Estimation and Year-Ahead Prediction","Jamil, B; Serrano-Luján, L","2024-04-01","10.3390/en17071697","Y","Publicaciones","Artículo","Astronomia / física; Biodiversidade; Biotecnología; Building and construction; Ciência da computação; Ciências agrárias i; Ciências ambientais; Control and optimization; Economia; Electrical and electronic engineering; Energy & fuels; Energy (miscellaneous); Energy engineering and power technology; Engenharias ii; Engenharias iii; Engenharias iv; Engineering (miscellaneous); Fuel technology; General computer science; Interdisciplinar; Renewable energy, sustainability and the environment; Zootecnia / recursos pesqueiros","Energies","0.713","-","-","-","Q1","Jamil, B; Serrano-Luján, L (2024). Hybrid Metaheuristic Algorithms for Optimization of Countrywide Primary Energy: Analysing Estimation and Year-Ahead Prediction. Energies, 17(7), 1697-. DOI: 10.3390/en17071697","10.3390/en17071697 (Crossref);2-s2.0-85190237808 (Scopus);WOS:001200980500001 (WoS)"
"Photovoltaic technology as a tool for ecosystem recovery: A case study for the Mar Menor coastal lagoon","Toledo, Carlos; Ramos-Escudero, Adela; Serrano-Lujan, Lucia; Urbina, Antonio","2024-02-15","10.1016/j.apenergy.2023.122350","N","Publicaciones","Artículo","Arquitetura, urbanismo e design; Biodiversidade; Biotecnología; Building and construction; Ciência da computação; Ciência de alimentos; Ciências agrárias i; Ciências ambientais; Ciências biológicas i; Ciências biológicas iii; Civil and structural engineering; Economia; Energy & fuels; Energy (all); Energy (miscellaneous); Energy engineering and power technology; Engenharias i; Engenharias ii; Engenharias iii; Engenharias iv; Engineering, chemical; Farmacia; Fuel technology; General energy; Geociências; Interdisciplinar; Management, monitoring, policy and law; Matemática / probabilidade e estatística; Materiais; Mechanical engineering; Nuclear energy and engineering; Química; Renewable energy, sustainability and the environment","Applied Energy","2.902","-","-","-","Q1","Toledo, Carlos; Ramos-Escudero, Adela; Serrano-Lujan, Lucia; Urbina, Antonio (2024). Photovoltaic technology as a tool for ecosystem recovery: A case study for the Mar Menor coastal lagoon. Applied Energy, 356(), 122350-. DOI: 10.1016/j.apenergy.2023.122350","10.1016/j.apenergy.2023.122350 (Crossref);2-s2.0-85178104781 (Scopus);WOS:001135649300001 (WoS)"
"A Hybrid Escape Room to Foster Motivation and Programming Education for Pre-Service Teachers","Borras-Gene, Oriol; Hijon-Neira, Raquel; Paredes-Barragan, Pedro; Serrano-Lujan, Lucia","2024-01-01","10.4018/IJGBL.343525","N","Publicaciones","Artículo","Ciencias sociales; Developmental and educational psychology; E-learning; Educação; Education; Education & educational research; Interdisciplinar; Psicología","International Journal Of Game-Based Learning","0.311","-","-","-","Q3","Borras-Gene, Oriol; Hijon-Neira, Raquel; Paredes-Barragan, Pedro; Serrano-Lujan, Lucia (2024). A Hybrid Escape Room to Foster Motivation and Programming Education for Pre-Service Teachers. International Journal Of Game-Based Learning, 14(1), 343525-. DOI: 10.4018/IJGBL.343525","10.4018/ijgbl.343525 (Crossref);2-s2.0-85193060507 (Scopus);9814275 (iMarina);WOS:001229581000001 (WoS)"
"Adaptación virtual en docencia gamificada:: efectos de la COVID-19","Miguel Ángel Rodríguez García; Lucía Serrano Luján; Dolores Cuadra Fernández","2024-01-01","-","-","Publicaciones","Artículo","Educação; Educación","Ie Comunicaciones","-","-","-","-","-","Miguel Ángel Rodríguez García; Lucía Serrano Luján; Dolores Cuadra Fernández (2024). Adaptación virtual en docencia gamificada:: efectos de la COVID-19. Ie Comunicaciones, (39), 1-9","9617097ARTREV (Dialnet)"
"Tramo de Investigación (Sexenio)","Serrano Luján, Lucía","2023-12-31","-","-","Reconocimientos","Tramo de Investigación (Sexenio)","-","-","-","-","-","-","-","Tramo de Investigación (Sexenio) (2023)","lucia.serrano-sexenios (Universidad Rey Juan Carlos)"
"Sustainable materials acceleration platform reveals stable and efficient wide-bandgap metal halide perovskite alloys","Wang, Tonghui; Li, Ruipeng; Ardekani, Hossein; Serrano-Lujan, Lucia; Wang, Jiantao; Ramezani, Mahdi; Wilmington, Ryan; Chauhan, Mihirsinh; Epps, Robert W; Darabi, Kasra; Guo, Boyu; Sun, Dali; Abolhasani, Milad; Gundogdu, Kenan; Amassian, Aram","2023-09-06","10.1016/j.matt.2023.06.040","N","Publicaciones","Artículo","General materials science; Materials science (all); Materials science (miscellaneous); Materials science, multidisciplinary","Matter","5.048","-","-","-","Q1","Wang, Tonghui; Li, Ruipeng; Ardekani, Hossein; Serrano-Lujan, Lucia; Wang, Jiantao; Ramezani, Mahdi; Wilmington, Ryan; Chauhan, Mihirsinh; Epps, Rober (2023). Sustainable materials acceleration platform reveals stable and efficient wide-bandgap metal halide perovskite alloys. Matter, 6(9), 2963-2986. DOI: 10.1016/j.matt.2023.06.040","2-s2.0-85169801625 (Scopus);WOS:001073837400001 (WoS)"
