"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"ARQUITECTURA E INGENIERIA DE COMPUTADORES","Serrano Sánchez de León, Ángel","2025-09-01","2118015-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Sánchez de León, Ángel (2025). ARQUITECTURA E INGENIERIA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2118_2118015_angel.serrano (Universidad Rey Juan Carlos)"
"ARQUITECTURA DE COMPUTADORES","Serrano Sánchez de León, Ángel","2025-09-01","2113021-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Sánchez de León, Ángel (2025). ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2113_2113021_angel.serrano (Universidad Rey Juan Carlos)"
"ANIMACION 3D","Serrano Sánchez de León, Ángel","2025-09-01","2265023-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Sánchez de León, Ángel (2025). ANIMACION 3D. Universdiad Rey Juan Carlos","2025-26_2265_2265023_angel.serrano (Universidad Rey Juan Carlos)"
"ARQUITECTURA DE COMPUTADORES","Serrano Sánchez de León, Ángel","2025-09-01","2032016-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Sánchez de León, Ángel (2025). ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2032_2032016_angel.serrano (Universidad Rey Juan Carlos)"
"ARQUITECTURA E INGENIERIA DE COMPUTADORES","Serrano Sánchez de León, Ángel","2025-09-01","2316012-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Sánchez de León, Ángel (2025). ARQUITECTURA E INGENIERIA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2316_2316012_angel.serrano (Universidad Rey Juan Carlos)"
"ARQUITECTURA DE COMPUTADORES","Serrano Sánchez de León, Ángel","2025-09-01","2321016-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Sánchez de León, Ángel (2025). ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2321_2321016_angel.serrano (Universidad Rey Juan Carlos)"
"ARQUITECTURA E INGENIERIA DE COMPUTADORES","Serrano Sánchez de León, Ángel","2025-09-01","2034013-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Sánchez de León, Ángel (2025). ARQUITECTURA E INGENIERIA DE COMPUTADORES. Universdiad Rey Juan Carlos","2025-26_2034_2034013_angel.serrano (Universidad Rey Juan Carlos)"
"DISEÑO E IMPLEMENTACIÓN DE UNA APLICACIÓN VISUAL PARA EL ESTUDIO Y LA MODIFICACIÓN DEL CAMINO DE DATOS MULTICICLO DEL PROCESADOR MIPS","Serrano Sánchez de León, Ángel (Tutor)","2025-07-19","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Serrano Sánchez de León, Ángel (Tutor) (2025). DISEÑO E IMPLEMENTACIÓN DE UNA APLICACIÓN VISUAL PARA EL ESTUDIO Y LA MODIFICACIÓN DEL CAMINO DE DATOS MULTICICLO DEL PROCESADOR MIPS.","-"
"ARM VS X86: PERSPECTIVAS TECNOLÓGICAS Y TENDENCIAS FUTURAS","Serrano Sánchez de León, Ángel (Tutor)","2025-05-01","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Serrano Sánchez de León, Ángel (Tutor) (2025). ARM VS X86: PERSPECTIVAS TECNOLÓGICAS Y TENDENCIAS FUTURAS.","-"
"Uso de avatares parlantes para la gamificación de la asignatura de Derecho Penitenciario","Ángel Serrano Sánchez de León; Victoria García de Blanco; Pedro Javier Herrera Caro","2025-01-01","-","-","Publicaciones","Capítulos de Libro","-","Aprendizaje Jurídico Colaborativo","-","-","-","-","-","Ángel Serrano Sánchez de León; Victoria García de Blanco; Pedro Javier Herrera Caro (2025). Uso de avatares parlantes para la gamificación de la asignatura de Derecho Penitenciario. En . Aprendizaje Jurídico Colaborativo (pp. 403-410). : ARANZADI","10156433ARTLIB (Dialnet)"
"ARQUITECTURA DE COMPUTADORES","Serrano Sánchez de León, Ángel","2024-09-01","2321016-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Sánchez de León, Ángel (2024). ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2024-25_2321_2321016_angel.serrano (Universidad Rey Juan Carlos)"
"ARQUITECTURA DE COMPUTADORES","Serrano Sánchez de León, Ángel","2024-09-01","2113021-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Sánchez de León, Ángel (2024). ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2024-25_2113_2113021_angel.serrano (Universidad Rey Juan Carlos)"
"ARQUITECTURA E INGENIERIA DE COMPUTADORES","Serrano Sánchez de León, Ángel","2024-09-01","2118015-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Sánchez de León, Ángel (2024). ARQUITECTURA E INGENIERIA DE COMPUTADORES. Universdiad Rey Juan Carlos","2024-25_2118_2118015_angel.serrano (Universidad Rey Juan Carlos)"
"ARQUITECTURA E INGENIERIA DE COMPUTADORES","Serrano Sánchez de León, Ángel","2024-09-01","2316012-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Sánchez de León, Ángel (2024). ARQUITECTURA E INGENIERIA DE COMPUTADORES. Universdiad Rey Juan Carlos","2024-25_2316_2316012_angel.serrano (Universidad Rey Juan Carlos)"
"ARQUITECTURA DE COMPUTADORES","Serrano Sánchez de León, Ángel","2024-09-01","2032016-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Sánchez de León, Ángel (2024). ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2024-25_2032_2032016_angel.serrano (Universidad Rey Juan Carlos)"
"ANIMACION 3D","Serrano Sánchez de León, Ángel","2024-09-01","2265023-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Sánchez de León, Ángel (2024). ANIMACION 3D. Universdiad Rey Juan Carlos","2024-25_2265_2265023_angel.serrano (Universidad Rey Juan Carlos)"
"ARQUITECTURA E INGENIERIA DE COMPUTADORES","Serrano Sánchez de León, Ángel","2024-09-01","2034013-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Sánchez de León, Ángel (2024). ARQUITECTURA E INGENIERIA DE COMPUTADORES. Universdiad Rey Juan Carlos","2024-25_2034_2034013_angel.serrano (Universidad Rey Juan Carlos)"
"DISEÑO E IMPLEMENTACIÓN DE UN SIMULADOR VISUAL DE UN PROCESADOR CON SEGMENTACIÓN","Serrano Sánchez de León, Ángel (Tutor)","2024-07-22","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Serrano Sánchez de León, Ángel (Tutor) (2024). DISEÑO E IMPLEMENTACIÓN DE UN SIMULADOR VISUAL DE UN PROCESADOR CON SEGMENTACIÓN.","-"
"Reconocimiento, Acreditacion Docente o Referencias","Serrano Sánchez de León, Ángel","2023-11-30","-","-","Reconocimientos","Reconocimiento, Acreditacion Docente o Referencias","-","-","-","-","-","-","-","Reconocimiento, Acreditacion Docente o Referencias (2023)","angel.serrano-quinquenios (Universidad Rey Juan Carlos)"
"ARQUITECTURA DE COMPUTADORES","Serrano Sánchez de León, Ángel","2023-09-01","2032016-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Sánchez de León, Ángel (2023). ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2023-24_2032_2032016_angel.serrano (Universidad Rey Juan Carlos)"
"ARQUITECTURA E INGENIERIA DE COMPUTADORES","Serrano Sánchez de León, Ángel","2023-09-01","2316012-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Sánchez de León, Ángel (2023). ARQUITECTURA E INGENIERIA DE COMPUTADORES. Universdiad Rey Juan Carlos","2023-24_2316_2316012_angel.serrano (Universidad Rey Juan Carlos)"
"ARQUITECTURA E INGENIERIA DE COMPUTADORES","Serrano Sánchez de León, Ángel","2023-09-01","2034013-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Sánchez de León, Ángel (2023). ARQUITECTURA E INGENIERIA DE COMPUTADORES. Universdiad Rey Juan Carlos","2023-24_2034_2034013_angel.serrano (Universidad Rey Juan Carlos)"
"ARQUITECTURA E INGENIERIA DE COMPUTADORES","Serrano Sánchez de León, Ángel","2023-09-01","2118015-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Sánchez de León, Ángel (2023). ARQUITECTURA E INGENIERIA DE COMPUTADORES. Universdiad Rey Juan Carlos","2023-24_2118_2118015_angel.serrano (Universidad Rey Juan Carlos)"
"ANIMACION 3D","Serrano Sánchez de León, Ángel","2023-09-01","2265023-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Sánchez de León, Ángel (2023). ANIMACION 3D. Universdiad Rey Juan Carlos","2023-24_2265_2265023_angel.serrano (Universidad Rey Juan Carlos)"
"ARQUITECTURA DE COMPUTADORES","Serrano Sánchez de León, Ángel","2023-09-01","2321016-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Sánchez de León, Ángel (2023). ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2023-24_2321_2321016_angel.serrano (Universidad Rey Juan Carlos)"
"ARQUITECTURA DE COMPUTADORES","Serrano Sánchez de León, Ángel","2023-09-01","2113021-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Sánchez de León, Ángel (2023). ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2023-24_2113_2113021_angel.serrano (Universidad Rey Juan Carlos)"
"EASY MONITORING: UNA HERRAMIENTA DE MONITORIZACIÓN DE SISTEMAS Y RECURSOS EN TIEMPO REAL","Serrano Sánchez de León, Ángel (Tutor)","2023-06-13","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Serrano Sánchez de León, Ángel (Tutor) (2023). EASY MONITORING: UNA HERRAMIENTA DE MONITORIZACIÓN DE SISTEMAS Y RECURSOS EN TIEMPO REAL. Universidad Rey Juan Carlos","TFG_2034037_a.dominguezf.2018_5aa5707119f51e5fdb395e057bda03cf (Universidad Rey Juan Carlos)"
"Coordinador/a en funciones del Título de Grado en Ingeniería de la Ciberseguridad ETSII","Serrano Sánchez de León, Ángel (Coordinador/a en funciones del Título de Grado en Ingeniería de la Ciberseguridad ETSII)","2022-12-01","-","-","Gestión","Cargos Unipersonales en Equipo de Gobierno Universidad","-","-","-","-","-","-","-","Coordinador/a en funciones del Título de Grado en Ingeniería de la Ciberseguridad ETSII. Universdiad Rey Juan Carlos (2022-2023)","angel.serrano_8e79e8c74d684e73380cc13eed82bb83 (Universidad Rey Juan Carlos)"
"ARQUITECTURA E INGENIERIA DE COMPUTADORES","Serrano Sánchez de León, Ángel","2022-09-01","2034013-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Sánchez de León, Ángel (2022). ARQUITECTURA E INGENIERIA DE COMPUTADORES. Universdiad Rey Juan Carlos","2022-23_2034_2034013_angel.serrano (Universidad Rey Juan Carlos)"
"ARQUITECTURA DE COMPUTADORES","Serrano Sánchez de León, Ángel","2022-09-01","2321016-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Sánchez de León, Ángel (2022). ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2022-23_2321_2321016_angel.serrano (Universidad Rey Juan Carlos)"
"FISICA PARA VIDEOJUEGOS","Serrano Sánchez de León, Ángel","2022-09-01","2175002-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Sánchez de León, Ángel (2022). FISICA PARA VIDEOJUEGOS. Universdiad Rey Juan Carlos","2022-23_2175_2175002_angel.serrano (Universidad Rey Juan Carlos)"
"FISICA PARA VIDEOJUEGOS","Serrano Sánchez de León, Ángel","2022-09-01","2321001-2321","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Sánchez de León, Ángel (2022). FISICA PARA VIDEOJUEGOS. Universdiad Rey Juan Carlos","2022-23_2321_2321001_angel.serrano (Universidad Rey Juan Carlos)"
"ARQUITECTURA DE COMPUTADORES","Serrano Sánchez de León, Ángel","2022-09-01","2113021-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Serrano Sánchez de León, Ángel (2022). ARQUITECTURA DE COMPUTADORES. Universdiad Rey Juan Carlos","2022-23_2113_2113021_angel.serrano (Universidad Rey Juan Carlos)"
