"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"INTRODUCCION A LA PROGRAMACION","Sierra Alonso, Almudena","2025-09-01","2269006-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sierra Alonso, Almudena (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2269_2269006_almudena.sierra (Universidad Rey Juan Carlos)"
"INGENIERIA DEL SOFTWARE","Sierra Alonso, Almudena","2025-09-01","2061020-2061","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sierra Alonso, Almudena (2025). INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2025-26_2061_2061020_almudena.sierra (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Sierra Alonso, Almudena","2025-09-01","2117010-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sierra Alonso, Almudena (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2117_2117010_almudena.sierra (Universidad Rey Juan Carlos)"
"Obtención y Almacenamiento de Datos Deportivos","Sierra Alonso, Almudena","2025-09-01","641205-6412","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sierra Alonso, Almudena (2025). Obtención y Almacenamiento de Datos Deportivos. Universdiad Rey Juan Carlos","2025-26_6412_641205_almudena.sierra (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Sierra Alonso, Almudena","2025-09-01","2113004-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sierra Alonso, Almudena (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2113_2113004_almudena.sierra (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Sierra Alonso, Almudena","2025-09-01","2059008-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sierra Alonso, Almudena (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2059_2059008_almudena.sierra (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Sierra Alonso, Almudena","2025-09-01","2032004-2032","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sierra Alonso, Almudena (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2032_2032004_almudena.sierra (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Sierra Alonso, Almudena","2025-09-01","2073012-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sierra Alonso, Almudena (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2073_2073012_almudena.sierra (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Sierra Alonso, Almudena","2025-09-01","2243010-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sierra Alonso, Almudena (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2243_2243010_almudena.sierra (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Sierra Alonso, Almudena","2025-09-01","2315008-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sierra Alonso, Almudena (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2315_2315008_almudena.sierra (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Sierra Alonso, Almudena","2025-09-01","2269012-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sierra Alonso, Almudena (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2269_2269012_almudena.sierra (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Sierra Alonso, Almudena","2025-09-01","2073006-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sierra Alonso, Almudena (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2073_2073006_almudena.sierra (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Sierra Alonso, Almudena","2025-09-01","2243004-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sierra Alonso, Almudena (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2243_2243004_almudena.sierra (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Sierra Alonso, Almudena","2025-09-01","2097012-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sierra Alonso, Almudena (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2097_2097012_almudena.sierra (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Sierra Alonso, Almudena","2025-09-01","2033008-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sierra Alonso, Almudena (2025). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2025-26_2033_2033008_almudena.sierra (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Sierra Alonso, Almudena","2025-09-01","2059004-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sierra Alonso, Almudena (2025). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2025-26_2059_2059004_almudena.sierra (Universidad Rey Juan Carlos)"
"REVHOTEL: APLICACIÓN WEB PARA RESERVAS EN UNA CADENA HOTELERA","Sierra Alonso, Almudena (Tutor)","2025-02-14","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Sierra Alonso, Almudena (Tutor) (2025). REVHOTEL: APLICACIÓN WEB PARA RESERVAS EN UNA CADENA HOTELERA.","-"
"INTRODUCCION A LA PROGRAMACION","Sierra Alonso, Almudena","2024-09-01","2059004-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sierra Alonso, Almudena (2024). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2024-25_2059_2059004_almudena.sierra (Universidad Rey Juan Carlos)"
"HERRAMIENTAS TECNOLOGICAS PARA EL EJERCICIO DE LA PSICOLOGIA","Sierra Alonso, Almudena","2024-09-01","2038019-2038","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sierra Alonso, Almudena (2024). HERRAMIENTAS TECNOLOGICAS PARA EL EJERCICIO DE LA PSICOLOGIA. Universdiad Rey Juan Carlos","2024-25_2038_2038019_almudena.sierra (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Sierra Alonso, Almudena","2024-09-01","2269006-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sierra Alonso, Almudena (2024). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2024-25_2269_2269006_almudena.sierra (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Sierra Alonso, Almudena","2024-09-01","2243010-2243","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sierra Alonso, Almudena (2024). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2024-25_2243_2243010_almudena.sierra (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Sierra Alonso, Almudena","2024-09-01","2315008-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sierra Alonso, Almudena (2024). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2024-25_2315_2315008_almudena.sierra (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Sierra Alonso, Almudena","2024-09-01","2117010-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sierra Alonso, Almudena (2024). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2024-25_2117_2117010_almudena.sierra (Universidad Rey Juan Carlos)"
"INGENIERIA DEL SOFTWARE","Sierra Alonso, Almudena","2024-09-01","2061020-2061","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sierra Alonso, Almudena (2024). INGENIERIA DEL SOFTWARE. Universdiad Rey Juan Carlos","2024-25_2061_2061020_almudena.sierra (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Sierra Alonso, Almudena","2024-09-01","2033008-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sierra Alonso, Almudena (2024). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2024-25_2033_2033008_almudena.sierra (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Sierra Alonso, Almudena","2024-09-01","2269012-2269","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sierra Alonso, Almudena (2024). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2024-25_2269_2269012_almudena.sierra (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Sierra Alonso, Almudena","2024-09-01","2059008-2059","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sierra Alonso, Almudena (2024). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2024-25_2059_2059008_almudena.sierra (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Sierra Alonso, Almudena","2024-09-01","2073006-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sierra Alonso, Almudena (2024). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2024-25_2073_2073006_almudena.sierra (Universidad Rey Juan Carlos)"
"HERRAMIENTAS TECNOLOGICAS PARA EL EJERCICIO DE LA PSICOLOGIA","Sierra Alonso, Almudena","2024-09-01","2241019-2241","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sierra Alonso, Almudena (2024). HERRAMIENTAS TECNOLOGICAS PARA EL EJERCICIO DE LA PSICOLOGIA. Universdiad Rey Juan Carlos","2024-25_2241_2241019_almudena.sierra (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Sierra Alonso, Almudena","2024-09-01","2034004-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sierra Alonso, Almudena (2024). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2024-25_2034_2034004_almudena.sierra (Universidad Rey Juan Carlos)"
"ESTRUCTURAS DE DATOS","Sierra Alonso, Almudena","2024-09-01","2073012-2073","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sierra Alonso, Almudena (2024). ESTRUCTURAS DE DATOS. Universdiad Rey Juan Carlos","2024-25_2073_2073012_almudena.sierra (Universidad Rey Juan Carlos)"
"INTRODUCCION A LA PROGRAMACION","Sierra Alonso, Almudena","2024-09-01","2316002-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Sierra Alonso, Almudena (2024). INTRODUCCION A LA PROGRAMACION. Universdiad Rey Juan Carlos","2024-25_2316_2316002_almudena.sierra (Universidad Rey Juan Carlos)"
