"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"GEOMETRIA COMPUTACIONAL","Simón de Blas, Clara","2025-09-01","2117042-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Simón de Blas, Clara (2025). GEOMETRIA COMPUTACIONAL. Universdiad Rey Juan Carlos","2025-26_2117_2117042_clara.simon (Universidad Rey Juan Carlos)"
"GEOMETRIA COMPUTACIONAL","Simón de Blas, Clara","2025-09-01","2347029-2347","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Simón de Blas, Clara (2025). GEOMETRIA COMPUTACIONAL. Universdiad Rey Juan Carlos","2025-26_2347_2347029_clara.simon (Universidad Rey Juan Carlos)"
"GEOMETRIA COMPUTACIONAL","Simón de Blas, Clara","2025-09-01","2315046-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Simón de Blas, Clara (2025). GEOMETRIA COMPUTACIONAL. Universdiad Rey Juan Carlos","2025-26_2315_2315046_clara.simon (Universidad Rey Juan Carlos)"
"GEOMETRIA COMPUTACIONAL","Simón de Blas, Clara","2025-09-01","2348053-2348","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Simón de Blas, Clara (2025). GEOMETRIA COMPUTACIONAL. Universdiad Rey Juan Carlos","2025-26_2348_2348053_clara.simon (Universidad Rey Juan Carlos)"
"GEOMETRIA COMPUTACIONAL","Simón de Blas, Clara","2025-09-01","2316046-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Simón de Blas, Clara (2025). GEOMETRIA COMPUTACIONAL. Universdiad Rey Juan Carlos","2025-26_2316_2316046_clara.simon (Universidad Rey Juan Carlos)"
"Modelización y Tratamiento de la Incertidumbre","Simón de Blas, Clara","2025-09-01","639904-6399","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Simón de Blas, Clara (2025). Modelización y Tratamiento de la Incertidumbre. Universdiad Rey Juan Carlos","2025-26_6399_639904_clara.simon (Universidad Rey Juan Carlos)"
"MATEMATICA DISCRETA","Simón de Blas, Clara","2025-09-01","2265003-2265","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Simón de Blas, Clara (2025). MATEMATICA DISCRETA. Universdiad Rey Juan Carlos","2025-26_2265_2265003_clara.simon (Universidad Rey Juan Carlos)"
"GEOMETRIA COMPUTACIONAL","Simón de Blas, Clara","2025-09-01","2118041-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Simón de Blas, Clara (2025). GEOMETRIA COMPUTACIONAL. Universdiad Rey Juan Carlos","2025-26_2118_2118041_clara.simon (Universidad Rey Juan Carlos)"
"Análisis de Datos Avanzados","Simón de Blas, Clara","2025-09-01","639907-6399","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Simón de Blas, Clara (2025). Análisis de Datos Avanzados. Universdiad Rey Juan Carlos","2025-26_6399_639907_clara.simon (Universidad Rey Juan Carlos)"
"METODOS BAYESIANOS","Simón de Blas, Clara","2025-09-01","2360030-2360","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Simón de Blas, Clara (2025). METODOS BAYESIANOS. Universdiad Rey Juan Carlos","2025-26_2360_2360030_clara.simon (Universidad Rey Juan Carlos)"
"GEOMETRIA COMPUTACIONAL","Simón de Blas, Clara","2025-09-01","2028029-2028","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Simón de Blas, Clara (2025). GEOMETRIA COMPUTACIONAL. Universdiad Rey Juan Carlos","2025-26_2028_2028029_clara.simon (Universidad Rey Juan Carlos)"
"GEOMETRIA COMPUTACIONAL","Simón de Blas, Clara","2025-09-01","2178053-2178","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Simón de Blas, Clara (2025). GEOMETRIA COMPUTACIONAL. Universdiad Rey Juan Carlos","2025-26_2178_2178053_clara.simon (Universidad Rey Juan Carlos)"
"GEOMETRIA COMPUTACIONAL","Simón de Blas, Clara","2025-09-01","2299053-2299","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Simón de Blas, Clara (2025). GEOMETRIA COMPUTACIONAL. Universdiad Rey Juan Carlos","2025-26_2299_2299053_clara.simon (Universidad Rey Juan Carlos)"
"MODELOS CON DATOS DE PANEL Y ANÁLISIS DE SUPERVIVENCIA","Simón de Blas, Clara (Tutor)","2025-07-22","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","Simón de Blas, Clara (Tutor) (2025). MODELOS CON DATOS DE PANEL Y ANÁLISIS DE SUPERVIVENCIA.","-"
"ANÁLISIS PREDICTIVO DE SERIES TEMPORALES MEDIANTE EL ALGORITMO KNN: APLICACIONES Y DESEMPEÑO","García Sipols, Ana Elizabeth (Cotutor); Simón de Blas, Clara (Tutor)","2025-07-15","-","-","Dirección de Tesis, TFG, TFM, etc.","TFG","-","-","-","-","-","-","-","García Sipols, Ana Elizabeth (Cotutor); Simón de Blas, Clara (Tutor) (2025). ANÁLISIS PREDICTIVO DE SERIES TEMPORALES MEDIANTE EL ALGORITMO KNN: APLICACIONES Y DESEMPEÑO.","-"
