"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"DISEÑO Y ANALISIS DE ALGORITMOS","Soto Sánchez, Francisco Javier","2025-09-01","2113020-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Francisco Javier (2025). DISEÑO Y ANALISIS DE ALGORITMOS. Universdiad Rey Juan Carlos","2025-26_2113_2113020_franciscojavier.soto (Universidad Rey Juan Carlos)"
"DISEÑO Y ANALISIS DE ALGORITMOS","Soto Sánchez, Francisco Javier","2025-09-01","2315030-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Francisco Javier (2025). DISEÑO Y ANALISIS DE ALGORITMOS. Universdiad Rey Juan Carlos","2025-26_2315_2315030_franciscojavier.soto (Universidad Rey Juan Carlos)"
"INFORMATICA TEORICA Y LENGUAJES FORMALES","Soto Sánchez, Francisco Javier","2025-09-01","2361013-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Francisco Javier (2025). INFORMATICA TEORICA Y LENGUAJES FORMALES. Universdiad Rey Juan Carlos","2025-26_2361_2361013_franciscojavier.soto (Universidad Rey Juan Carlos)"
"DISEÑO Y ANALISIS DE ALGORITMOS","Soto Sánchez, Francisco Javier","2025-09-01","2097038-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Francisco Javier (2025). DISEÑO Y ANALISIS DE ALGORITMOS. Universdiad Rey Juan Carlos","2025-26_2097_2097038_franciscojavier.soto (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE TECNOLOGIA DE VIDEOJUEGOS","Soto Sánchez, Francisco Javier","2025-09-01","2175015-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Francisco Javier (2025). FUNDAMENTOS DE TECNOLOGIA DE VIDEOJUEGOS. Universdiad Rey Juan Carlos","2025-26_2175_2175015_franciscojavier.soto (Universidad Rey Juan Carlos)"
"DISEÑO Y ANALISIS DE ALGORITMOS","Soto Sánchez, Francisco Javier","2025-09-01","2117034-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Francisco Javier (2025). DISEÑO Y ANALISIS DE ALGORITMOS. Universdiad Rey Juan Carlos","2025-26_2117_2117034_franciscojavier.soto (Universidad Rey Juan Carlos)"
"DISEÑO Y ANALISIS DE ALGORITMOS","Soto Sánchez, Francisco Javier","2025-09-01","2033019-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Francisco Javier (2025). DISEÑO Y ANALISIS DE ALGORITMOS. Universdiad Rey Juan Carlos","2025-26_2033_2033019_franciscojavier.soto (Universidad Rey Juan Carlos)"
"PROBABILIDAD Y ESTADISTICA","Soto Sánchez, Francisco Javier","2025-09-01","2361008-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Francisco Javier (2025). PROBABILIDAD Y ESTADISTICA. Universdiad Rey Juan Carlos","2025-26_2361_2361008_franciscojavier.soto (Universidad Rey Juan Carlos)"
"INFORMATICA TEORICA Y LENGUAJES FORMALES","Soto Sánchez, Francisco Javier","2024-09-01","2361013-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Francisco Javier (2024). INFORMATICA TEORICA Y LENGUAJES FORMALES. Universdiad Rey Juan Carlos","2024-25_2361_2361013_franciscojavier.soto (Universidad Rey Juan Carlos)"
"MATEMATICA DISCRETA","Soto Sánchez, Francisco Javier","2024-09-01","2175003-2175","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Francisco Javier (2024). MATEMATICA DISCRETA. Universdiad Rey Juan Carlos","2024-25_2175_2175003_franciscojavier.soto (Universidad Rey Juan Carlos)"
"Criptografía Matemática para un Futuro Cuántico: Recursos eficaces para Aplicaciones Reales.","Pérez del Pozo, Ángel Luis (Investigador/a); González Vasco, Maria Isabel (Investigador/a); Soto Sánchez, Francisco Javier (Investigador/a); Gómez Pérez, Ana Isabel (Investigador principal (IP))","2024-09-01","PID2023-151238OA-I00","-","Proyectos I+D+I  y Ayudas","Proyecto Competitivo","-","-","-","-","-","-","-","Ref.:PID2023-151238OA-I00. Criptografía Matemática para un Futuro Cuántico: Recursos eficaces para Aplicaciones Reales.. Pérez del Pozo, Ángel Luis (Investigador/a); González Vasco, Maria Isabel (Investigador/a); Soto Sánchez, Francisco Javier (Investigador/a); Gómez Pérez, Ana Isabel (Investigador principal (IP)).  Financiadora: Agencia Estatal de Investigación  (2024-09-01 / 2027-08-31)","M3512 (Otros);M3512 (Universidad Rey Juan Carlos)"
"INFORMATICA TEORICA Y LENGUAJES FORMALES","Soto Sánchez, Francisco Javier","2023-09-01","2361013-2361","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Francisco Javier (2023). INFORMATICA TEORICA Y LENGUAJES FORMALES. Universdiad Rey Juan Carlos","2023-24_2361_2361013_franciscojavier.soto (Universidad Rey Juan Carlos)"
