"TÍTULO","AUTORES","FECHA","INDENTIFICADOR","OPENACCESS","TIPO","TIPO DE PRODUCCIÓN","CATEGORÍAS","FUENTE","IF SJR","CITAS EUROPEPMC","CITAS INSPIRE","CITAS SCHOLAR","Q SJR","CITACIÓN","PIDs"
"DESARROLLO DE APLICACIONES WEB","Soto Sánchez, Óscar","2025-09-01","2034028-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Óscar (2025). DESARROLLO DE APLICACIONES WEB. Universdiad Rey Juan Carlos","2025-26_2034_2034028_oscar.soto (Universidad Rey Juan Carlos)"
"SISTEMAS DISTRIBUIDOS","Soto Sánchez, Óscar","2025-09-01","2113031-2113","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Óscar (2025). SISTEMAS DISTRIBUIDOS. Universdiad Rey Juan Carlos","2025-26_2113_2113031_oscar.soto (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE LA WEB","Soto Sánchez, Óscar","2025-09-01","2118029-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Óscar (2025). FUNDAMENTOS DE LA WEB. Universdiad Rey Juan Carlos","2025-26_2118_2118029_oscar.soto (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE LA WEB","Soto Sánchez, Óscar","2025-09-01","2114014-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Óscar (2025). FUNDAMENTOS DE LA WEB. Universdiad Rey Juan Carlos","2025-26_2114_2114014_oscar.soto (Universidad Rey Juan Carlos)"
"SISTEMAS DISTRIBUIDOS","Soto Sánchez, Óscar","2025-09-01","2117033-2117","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Óscar (2025). SISTEMAS DISTRIBUIDOS. Universdiad Rey Juan Carlos","2025-26_2117_2117033_oscar.soto (Universidad Rey Juan Carlos)"
"SISTEMAS DISTRIBUIDOS","Soto Sánchez, Óscar","2025-09-01","2033029-2033","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Óscar (2025). SISTEMAS DISTRIBUIDOS. Universdiad Rey Juan Carlos","2025-26_2033_2033029_oscar.soto (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE LA WEB","Soto Sánchez, Óscar","2025-09-01","2034015-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Óscar (2025). FUNDAMENTOS DE LA WEB. Universdiad Rey Juan Carlos","2025-26_2034_2034015_oscar.soto (Universidad Rey Juan Carlos)"
"DESARROLLO DE APLICACIONES WEB","Soto Sánchez, Óscar","2025-09-01","2114030-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Óscar (2025). DESARROLLO DE APLICACIONES WEB. Universdiad Rey Juan Carlos","2025-26_2114_2114030_oscar.soto (Universidad Rey Juan Carlos)"
"SISTEMAS DISTRIBUIDOS","Soto Sánchez, Óscar","2025-09-01","2315033-2315","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Óscar (2025). SISTEMAS DISTRIBUIDOS. Universdiad Rey Juan Carlos","2025-26_2315_2315033_oscar.soto (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE LA WEB","Soto Sánchez, Óscar","2025-09-01","2316035-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Óscar (2025). FUNDAMENTOS DE LA WEB. Universdiad Rey Juan Carlos","2025-26_2316_2316035_oscar.soto (Universidad Rey Juan Carlos)"
"Cloud Computing","Soto Sánchez, Óscar","2025-09-01","641214-6412","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Óscar (2025). Cloud Computing. Universdiad Rey Juan Carlos","2025-26_6412_641214_oscar.soto (Universidad Rey Juan Carlos)"
"DESARROLLO DE APLICACIONES WEB","Soto Sánchez, Óscar","2025-09-01","2118044-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Óscar (2025). DESARROLLO DE APLICACIONES WEB. Universdiad Rey Juan Carlos","2025-26_2118_2118044_oscar.soto (Universidad Rey Juan Carlos)"
"Big Data Processing I","Soto Sánchez, Óscar","2025-09-01","641207-6412","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Óscar (2025). Big Data Processing I. Universdiad Rey Juan Carlos","2025-26_6412_641207_oscar.soto (Universidad Rey Juan Carlos)"
"SISTEMAS DISTRIBUIDOS DE PROCESAMIENTO DE DATOS I","Soto Sánchez, Óscar","2025-09-01","2360027-2360","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Óscar (2025). SISTEMAS DISTRIBUIDOS DE PROCESAMIENTO DE DATOS I. Universdiad Rey Juan Carlos","2025-26_2360_2360027_oscar.soto (Universidad Rey Juan Carlos)"
"SISTEMAS DISTRIBUIDOS","Soto Sánchez, Óscar","2025-09-01","2114033-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Óscar (2025). SISTEMAS DISTRIBUIDOS. Universdiad Rey Juan Carlos","2025-26_2114_2114033_oscar.soto (Universidad Rey Juan Carlos)"
"SISTEMAS DISTRIBUIDOS","Soto Sánchez, Óscar","2025-09-01","2097050-2097","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Óscar (2025). SISTEMAS DISTRIBUIDOS. Universdiad Rey Juan Carlos","2025-26_2097_2097050_oscar.soto (Universidad Rey Juan Carlos)"
"DESARROLLO DE APLICACIONES WEB","Soto Sánchez, Óscar","2025-09-01","2316043-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Óscar (2025). DESARROLLO DE APLICACIONES WEB. Universdiad Rey Juan Carlos","2025-26_2316_2316043_oscar.soto (Universidad Rey Juan Carlos)"
"DESARROLLO WEB SEGURO","Soto Sánchez, Óscar","2025-09-01","2285017-2285","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Óscar (2025). DESARROLLO WEB SEGURO. Universdiad Rey Juan Carlos","2025-26_2285_2285017_oscar.soto (Universidad Rey Juan Carlos)"
"A heuristic algorithm to improving the coil slitting process in the steel industry","Soto-Sanchez, Oscar; Sierra-Paradinas, Maria; Gallego, Micael; Alonso-Ayuso, Antonio; Gortazar, Francisco","2025-03-01","10.1007/s10732-024-09546-x","N","Publicaciones","Artículo","Artificial intelligence; Ciência da computação; Ciencias sociales; Computer networks and communications; Computer science, artificial intelligence; Computer science, theory & methods; Control and optimization; Engenharias i; Engenharias ii; Engenharias iii; Engenharias iv; Information systems; Interdisciplinar; Management science and operations research; Software","Journal Of Heuristics","0.458","-","-","-","Q2","Soto-Sanchez, Oscar; Sierra-Paradinas, Maria; Gallego, Micael; Alonso-Ayuso, Antonio; Gortazar, Francisco (2025). A heuristic algorithm to improving the coil slitting process in the steel industry. Journal Of Heuristics, 31(1), 13-. DOI: 10.1007/s10732-024-09546-x","10.1007/s10732-024-09546-x (Crossref);2-s2.0-85217792722 (Scopus);WOS:001409634400001 (WoS)"
"FUNDAMENTOS DE LA WEB","Soto Sánchez, Óscar","2024-09-01","2118029-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Óscar (2024). FUNDAMENTOS DE LA WEB. Universdiad Rey Juan Carlos","2024-25_2118_2118029_oscar.soto (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE LA WEB","Soto Sánchez, Óscar","2024-09-01","2114014-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Óscar (2024). FUNDAMENTOS DE LA WEB. Universdiad Rey Juan Carlos","2024-25_2114_2114014_oscar.soto (Universidad Rey Juan Carlos)"
"DESARROLLO DE APLICACIONES WEB","Soto Sánchez, Óscar","2024-09-01","2034028-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Óscar (2024). DESARROLLO DE APLICACIONES WEB. Universdiad Rey Juan Carlos","2024-25_2034_2034028_oscar.soto (Universidad Rey Juan Carlos)"
"DESARROLLO DE APLICACIONES WEB","Soto Sánchez, Óscar","2024-09-01","2114030-2114","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Óscar (2024). DESARROLLO DE APLICACIONES WEB. Universdiad Rey Juan Carlos","2024-25_2114_2114030_oscar.soto (Universidad Rey Juan Carlos)"
"DESARROLLO DE APLICACIONES WEB","Soto Sánchez, Óscar","2024-09-01","2316043-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Óscar (2024). DESARROLLO DE APLICACIONES WEB. Universdiad Rey Juan Carlos","2024-25_2316_2316043_oscar.soto (Universidad Rey Juan Carlos)"
"DESARROLLO DE APLICACIONES WEB","Soto Sánchez, Óscar","2024-09-01","2118044-2118","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Óscar (2024). DESARROLLO DE APLICACIONES WEB. Universdiad Rey Juan Carlos","2024-25_2118_2118044_oscar.soto (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE LA WEB","Soto Sánchez, Óscar","2024-09-01","2316035-2316","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Óscar (2024). FUNDAMENTOS DE LA WEB. Universdiad Rey Juan Carlos","2024-25_2316_2316035_oscar.soto (Universidad Rey Juan Carlos)"
"FUNDAMENTOS DE LA WEB","Soto Sánchez, Óscar","2024-09-01","2034015-2034","-","Docencia Impartida","Docencia Oficial Nacional","-","-","-","-","-","-","-","Soto Sánchez, Óscar (2024). FUNDAMENTOS DE LA WEB. Universdiad Rey Juan Carlos","2024-25_2034_2034015_oscar.soto (Universidad Rey Juan Carlos)"
